patent_use_code,definition
U-1173,"TO REDUCE ELEVATED TOTAL-C, LDL-C, APO B AND NON-HDL-C IN PATIENTS WITH PRIMARY HYPERLIPIDEMIA BY ADMINISTRATION OF EZETIMIBE ALONE OR IN COMBINATION WITH A STATIN OR WITH FENOFIBRATE"
U-1174,"ADMINISTRATION OF REMODULIN DILUTED FOR INTRAVENOUS INFUSION WITH STERILE WATER FOR INJECTION, 0.9% SODIUM CHLORIDE INJECTION, OR FLOLAN STERILE DILUENT FOR INJECTION PRIOR TO ADMINISTRATION"
U-1175,REDUCTION OF CARDIAC TISSUE DAMAGE ASSOCIATED WITH MYOCARDIAL INFARCTION
U-1176,TREATMENT OR PREVENTION OF STROKE
U-1177,REDUCTION OF CARDIAC TISSUE DAMAGE ASSOCIATED WITH MYOCARDIAL INFARCTION
U-1178,RELIEF OF MODERATE TO SEVERE CHRONIC PAIN
U-1179,TREATMENT OF A CANCER MEDIATED BY AN ANAPLASTIC LYMPHOMA KINASE (ALK)
U-118,METHOD OF LOWERING BLOOD SUGAR LEVEL
U-1180,TREATMENT OF THE FOLLOWING INFECTIONS: COMPLICATED SKIN AND SKIN STRUCTURE INFECTIONS AND STAPHYLOCOCCUS AUREUS BLOODSTREAM INFECTIONS (BACTEREMIA) INCLUDING THOSE WITH RIGHT-SIDED INFECTIVE ENDOCARDITIS
U-1181,A METHOD OF TREATING OR PREVENTING OCULAR PAIN IN A PATIENT
U-1182,TREATMENT OF CYCLIC HEAVY MENSTRUAL BLEEDING
U-1183,A METHOD FOR ADMINISTERING FOLLICLE STIMULATING HORMONE (FSH) FOR OVARIAN FOLLICLE OR TESTICULAR STIMULATION IN THE HUMAN
U-1184,TREATMENT OF ERECTILE DYSFUNCTION AND THE SIGNS AND SYMPTOMS OF BENIGN PROSTATIC HYPERPLASIA
U-1185,TREATMENT OF OPIOID-INDUCED CONSTIPATION
U-1186,ADMINISTRATION OF AN INHALABLE POWDER COMPRISING TIOTROPIUM VIA DEVICE
U-1187,TREATMENT OF PATHOLOGICAL STATE BY ANTAGONIZING BRADYKININ RECEPTOR INCLUDING TREATMENT OF ACUTE ATTACKS OF HEREDITARY ANGIOEDEMA (HAE)
U-1188,METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN PATIENTS FOR WHOM TREATMENT WITH BOTH SITAGLIPTIN AND SIMVASTATIN IS APPROPRIATE
U-1189,"METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN PATIENTS FOR WHOM TREATMENT WITH BOTH SITAGLIPTIN AND SIMVASTATIN IS APPROPRIATE, IN COMBINATION WITH METFORMIN"
U-119,TREATMENT OF NASAL HYPERSECRETION
U-1190,"METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN PATIENTS FOR WHOM TREATMENT WITH BOTH SITAGLIPTIN AND SIMVASTATIN IS APPROPRIATE, IN COMBINATION WITH INSULIN"
U-1191,"METHOD OF TX TYPE 2 DM IN PTS FOR WHOM TREATMENT WITH BOTH SITAGLIPTIN AND SIMVASTATIN IS APPROPRIATE, IN COMBO WITH AN AGENT ACTING ON AN ATP-DEPENDENT CHANNEL IN BETA CELLS SUCH AS A SULFYONYLUREA(INCL GLIPIZIDE, GLIMEPIRIIDE & GLYBURIDE)"
U-1192,"METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN PATIENTS FOR WHOM TREATMENT WITH BOTH SITAGLIPTIN AND SIMVASTATIN IS APPROPRIATE, IN COMBINATION WITH A SULFONYLUREA (SUCH AS GLIPIZIDE, GLIMEPIRIDE AND GLYBURIDE)"
U-1193,"METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN PATIENTS FOR WHOM TREATMENT WITH BOTH SITAGLIPTIN AND SIMVASTATIN IS APPROPRIATE, IN COMBINATION WITH A PPAR-GAMMA AGONIST (SUCH AS PIOGLITAZONE AND ROSIGLITAZONE)"
U-1194,METHOD FOR TREATING INSOMNIA
U-1195,"PREVENTION AND TREATMENT OF SECONDARY HYPERPARATHYROIDISM ASSOCIATED WITH CHRONIC KIDNEY DISEASE (CKD) STAGE 5, WHICH MAY RESULT IN RENAL OSTEODYSTROPHY, WHILE AVOIDING HYPERPHOSPHATEMIA"
U-1196,RELIEF OF SIGNS AND SYMPTOMS OF RHEUMATOID ARTHRITIS AND OSTEOARTHRITIS AND TO DECREASE RISK OF DEVELOPING UPPER GASTROINTESTINAL ULCERS IN PATIENTS WHO ARE TAKING IBUPROFEN FOR THOSE INDICATIONS
U-1197,METHOD OF TREATMENT OF CHILDREN WITH CENTRAL PRECOCIOUS PUBERTY
U-1198,RECTIV IS A NITRATE VASODILATOR INDICATED FOR THE TREATMENT OF MODERATE TO SEVERE PAIN ASSOCIATED WITH CHRONIC ANAL FISSURE
U-1199,TREATMENT AND PREVENTION OF POSTMENOPAUSAL OR GLUCOCORTICOID-INDUCED OSTEOPOROSIS AND TREATMENT TO INCREASE BONE MASS IN MEN WITH OSTEOPOROSIS
U-12,METHOD OF TREATING [A] HUMAN SUFFERING FROM DEPRESSION
U-120,CONTROLLING OR PREVENTING POST-OPERATIVE INTRAOCULAR PRESSURE RISES ASSOCIATED WITH OPHTHALMIC LASER SURGICAL PROCEDURES
U-1200,REDUCING THE RISK OF STROKE AND SYSTEMIC EMBOLISM
U-1201,FOR THE TREATMENT OF INTERMEDIATE OR HIGH-RISK MYELOFIBROSIS
U-1202,METHOD FOR RELIEVING OR TREATING CONSTIPATION IN A PATIENT  WITH IRRITABLE BOWEL SYNDROME
U-1203,METHOD FOR RELIEVING OR TREATING CONSTIPATION IN A HUMAN CONSTIPATED PATIENT
U-1204,TREATMENT OF UVEITIS
U-1205,TREATMENT OF MACULAR EDEMA
U-1206,DELIVERING AN OCULAR IMPLANT AS DESCRIBED IN THE DOSAGE AND ADMINISTRATION SECTION OF THE APPROVED LABELING OF OZURDEX
U-1207,"INFANT USE AGED 1 MONTH TO LESS THAN ONE YEAR,  GERD AND EROSIVE ESOPHAGITIS"
U-1208,"TREATMENT OF HYPOTRICHOSIS OF THE EYELASHES BY INCREASING THEIR GROWTH INCLUDING LENGTH, THICKNESS AND DARKNESS"
U-1209,"TREATMENT OF HUMAN IMMUNODEFICIENCY VIRUS (HIV) INFECTION IN ADULT PATIENTS, AND TREATMENT OF HUMAN IMMUNODEFICIENCY VIRUS (HIV) INFECTION IN PEDIATRIC PATIENTS 3 YEARS OF AGE AND OLDER"
U-121,METHOD OF TREATING CONDITIONS MEDIATED THROUGH HISTAMINE H2-RECEPTORS
U-1210,USE OF REVLIMID (LENALIDOMIDE) WHILE PREVENTING THE EXPOSURE OF A FETUS OR OTHER CONTRAINDICATED INDIVIDUAL TO REVLIMID (LENALIDOMIDE)
U-1211,"USE OF REVLIMID (LENALIDOMIDE) TO INHIBIT THE SECRETION OF PRO-INFLAMMATORY CYTOKINES, INCLUDING TUMOR NECROSIS FACTOR ALPHA"
U-1212,USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF MULTIPLE MYELOMA AND TRANSFUSION-DEPENDENT ANEMIA IN MYELODYSPLASTIC SYNDROMES (MDS)
U-1213,TOPICAL TREATMENT OF SEBORRHEIC DERMATITIS IN IMMUNOCOMPETENT PATIENTS 12 YEARS OF AGE AND OLDER
U-1214,METHOD FOR RELIEVING CONSTIPATION IN A HUMAN PATIENT THAT COMPRISES ADMINISTERING TO THE PATIENT A DOSAGE UNIT COMPRISING (I) 24MCG+/- 10% OF A DRUG SUBSTANCE AND (II) A PHARMACEUTICALLY SUITABLE EXCIPIENT
U-1215,USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF TRANSFUSION-DEPENDENT ANEMIA IN MYELODYSPLASTIC SYNDROMES (MDS)
U-1216,USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF MULTIPLE MYELOMA
U-1217,METHOD OF INCREASING HAIR GROWTH
U-1218,METHOD OF STIMULATING HAIR GROWTH
U-1219,METHOD OF INCREASING THE NUMBER OF HAIRS
U-122,A THERAPEUTIC METHOD FOR CONTROLLING THROMBOSIS
U-1220,TREATMENT OF RENAL CELL CARCINOMA
U-1221,TO STIMULATE THE IMMUNE SYSTEM TO INDUCE T CELL PROLIFERATION
U-1222,TO INHIBIT THE PROLIFERATIVE ACTIVITY OF NEOPLASTIC CELLS
U-1223,METHOD FOR TREATING TYPE 2 DIABETES USING A SUSTAINED-RELEASE COMPOSITION CONTAINING EXENATIDE
U-1224,REDUCTIONS IN BODY WEIGHT ARE OBSERVED WITH EXENATIDE
U-1225,ACCELERATING THE  TIME TO UPPER AND LOWER GASTROINTESTINAL RECOVERY FOLLOWING PARTIAL LARGE OR SMALL BOWEL RESECTION SURGERY WITH PRIMARY ANASTOMOSIS
U-1226,A METHOD OF PROVIDING A PREDETERMINED CONCENTRATION OF NITRIC OXIDE TO A PATIENT
U-1227,METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN PATIENTS FOR WHOM TREATMENT WITH BOTH SITAGLIPTIN AND METFORMIN HCL EXTENDED RELEASE IS APPROPRIATE
U-1228,METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN PATIENTS FOR WHOM TREATMENT WITH BOTH SITAGLIPTIN AND METFORMIN HCL EXTENDED RELEASE IS APPROPRIATE ALONE OR IN COMBINATION WITH INSULIN
U-1229,TREATMENT OF MILDLY TO MODERATELY ACTIVE ULCERATIVE COLITIS IN MALE PATIENTS
U-123,METHOD FOR CONTROLLING THROMBOSIS AND DECREASING BLOOD HYPERCOAGULATION AND HEMORRHAGING RISKS
U-1230,A METHOD OF PROVIDING NITRIC OXIDE THERAPY TO A PATIENT
U-1231,TREATMENT OF MODERATE-TO-SEVERE PRIMARY RESTLESS LEG SYNDROME IN ADULTS
U-1232,"USE AS ANTICOAGULANT IN PTS W/ UNSTABLE ANGINA UNDERGOING PTCA; W/ PROVISIONAL USE OF GLYCOPROTEIN IIB/IIIA INHIBITOR, AS ANTICOAGULANT IN PTS UNDERGOING PCI AND FOR PTS W/, OR AT RISK OF, HIT/HITTS UNDERGOING PCI.INTENDED FOR USE W/ASPIRIN"
U-1233,"TREATMENT OF CHRONIC HEPATITIS C (CHC) GENOTYPE 1 INFECTION, ADMINISTERED WITH FOOD"
U-1234,"FOR REDUCING TOTAL CHOLESTEROL (TOTAL-C), LDL-C, APO-LIPOPROTEIN B, OR TOTAL TRIGLYCERIDES, AND TREATING HYPERTRIGLYCERIDEMIA"
U-1235,REDUCTION OF ELEVATED INTRAOCULAR PRESSURE IN PATIENTS WITH GLAUCOMA OR OCULAR HYPERTENSION
U-1236,USE OF THALOMID (THALIDOMIDE) FOR THE TREATMENT OF MULTIPLE MYELOMA
U-1237,"COMBO W/ OTHER ANTIRETROVIRALS FOR TX OF HIV-1 IN ANTIRETROVIRAL TX-EXPERIENCED PT 6 YEARS UP, WHO HAVE EVIDENCE OF VIRAL REPLICATION AND HIV-1 STRAINS RESISTANT TO NON-NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITOR AND OTHER  ANTIRETROVIRALS"
U-1238,TREATMENT OF ANEMIA DUE TO CHRONIC KIDNEY DISEASE
U-1239,MAGNETIC RESONANCE IMAGING OF THE LIVER
U-124,TREATMENT OF ACNE
U-1240,TREATMENT OF HEAVY MENSTRUAL BLEEDING IN WOMEN WITHOUT ORGANIC PATHOLOGY WHO CHOOSE TO USE AN ORAL CONTRACEPTIVE AS THEIR METHOD OF CONTRACEPTION
U-1241,MANAGEMENT OF MODERATE TO SEVERE PAIN BY ORALLY ADMINISTERING AN INTACT COMPOSITION AS CLAIMED
U-1242,PREVENTION OF RESPIRATORY DISTRESS (RDS) IN PREMATURE INFANTS
U-1243,"WITH DRY HANDS, GENTLY REMOVE THE SUPRENZA (PHENTERMINE HYDROCHLORIDE ODT) TABLET FROM THE BOTTLE. IMMEDIATELY PLACE THE SUPRENZA TABLET ON TOP OF THE TONGUE WHERE IT WILL DISSOLVE, THEN SWALLOW WITH OR WITHOUT WATER"
U-1244,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-4 INHIBITOR IN COMBINATION WITH SULFONLYUREA
U-1245,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-4 INHIBITOR IN COMBINATION WITH PIOGLITAZONE
U-1246,SINGLE DOSE ADMINISTRATION INTO THE SURGICAL SITE TO PRODUCE POSTSURGICAL ANALGESIA
U-1247,MANAGEMENT OF POSTHERPETIC NEURALGIA (PHN) IN ADULTS
U-1248,USE OF TOPICAL DICLOFENAC ON THE KNEE AND A SECOND TOPICAL MEDICATION ON THE SAME KNEE
U-1249,TREATMENT OF MALE PATIENT HAVING A DISEASE OR CONDITION RESPONSIVE TO A TERATOGENIC DRUG
U-125,TREATMENT NEUROGENERATIVE DISEASES
U-1250,"TREATMENT OF PAIN, INCLUDING NEUROPATHIC PAIN ASSOCIATED WITH DIABETIC PERIPHERAL NEUROPATHY OR SPINAL CORD INJURY, POSTHERPETIC NEURALGIA, AND FIBROMYALGIA"
U-1251,A METHOD OF CONTROLLING POSTOPERATIVE OCULAR PAIN AND BURNING/STINGING IN A PATIENT
U-1252,METHOD FOR CHRONIC WEIGHT MANAGEMENT BY DECREASING FOOD INTAKE
U-1253,METHOD FOR CHRONIC WEIGHT MANAGEMENT BY INDUCING SATIETY
U-1254,METHOD FOR CHRONIC WEIGHT MANAGEMENT BY CONTROLLING WEIGHT GAIN
U-1255,METHOD FOR CHRONIC WEIGHT MANAGEMENT BY TREATING OBESITY
U-1256,TREATMENT OF SEBORRHEIC DERMATITIS
U-1257,TREATMENT OF OPHTHALMIC DISORDERS
U-1258,VISUALIZATION DURING VITRECTOMY PROCEDURES
U-1259,PROPHYLAXIS OF HIV-1 INFECTION
U-126,TREATMENT OF GASTRITIS
U-1260,TREATMENT OF PATIENTS WITH MULTIPLE MYELOMA WHO HAVE RECEIVED AT LEAST TWO PRIOR THERAPIES INCLUDING BORTEZOMIB AND AN IMMUNOMODULATORY AGENT AND HAVE DEMONSTRATED DISEASE PROGRESSION ON OR WITHIN 60 DAYS OF COMPLETION OF THE LAST THERAPY
U-1261,REDUCTION OF THE RISK OF HOSPITALIZATION FOR ATRIAL FIBRILLATION
U-1262,"USE OF QSYMIA (PHENTERMINE AND TOPIRAMATE) FOR WEIGHT MANAGEMENT, INCLUDING, BUT NOT LIMITED TO EFFECTING WEIGHT LOSS, TREATING OBESITY, AND/OR TREATING OVERWEIGHT"
U-1263,TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD) OR CHRONIC BRONCHITIS
U-1264,TREATMENT OF A RESPIRATORY DISEASE
U-1265,PATENTED METHOD OF USING REPAGLINIDE IN COMBINATION WITH METFORMIN AS INDICATED FOR IMPROVING GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS
U-1266,METHOD OF TREATING MIDDLE-OF-THE-NIGHT INSOMNIA
U-1267,TREATMENT OF RHEUMATOID ARTHRITIS BY DELAYED RELEASE FORMULATION OF 1MG OR 2MG OF PREDNISONE
U-1268,"TREATMENT OF PULMONARY, GASTROINTESTINAL AND/OR RHEUMATOLOGICAL DISEASES OR CONDITIONS BY USE OF DELAYED RELEASE FORMULATIONS OF 1MG OR 2MG PREDNISONE"
U-1269,"TREATMENT OF RHEUMATOLOGIC, ALLERGIC, PULMONARY,  GASTROINTESTINAL,  DERMATOLOGIC DISEASES OR CONDITIONS BY THE USE OF A DELAYED RELEASE 5MG PREDNISONE TABLET"
U-127,METHOD OF PRODUCING NEUROMUSCULAR BLOCKADE
U-1270,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH INSULIN (WITH OR WITHOUT METFORMIN AND/OR PIOGLITAZONE)
U-1271,TREATMENT OF ADULT PATIENTS WITH PHILADELPHIA CHROMOSOME-NEGATIVE(PH-) ACUTE LYMPHOBLASTIC LEUKEMIA (ALL) IN SECOND OR GREATER RELAPSE OR WHOSE DISEASE HAS PROGRESSED FOLLOWING TWO OR MORE ANTI-LEUKEMIA THERAPIES
U-1272,TREATMENT OF SIGNS AND SYMPTOMS OF PARKINSON'S DISEASE BY APPLICATION OF CLAIMED TRANSDERMAL SYSTEM
U-1273,TREATMENT OF RESTLESS LEGS SYNDROME BY APPLICATION OF CLAIMED TRANSDERMAL DELIVERY SYSTEM
U-1274,TREATMENT OF EXOCRINE PANCREATIC INSUFFICIENCY DUE TO CYSTIC FIBROSIS OR OTHER CONDITIONS
U-1275,TREATMENT OF CHRONIC HEPATITIS B IN ADULTS AND PEDIATRIC PATIENTS 12 YEARS OF AGE AND OLDER
U-1276,MANAGEMENT OF NEUROPATHIC PAIN ASSOCIATED WITH DIABETIC PERIPHERAL NEUROPATHY
U-1277,"METHOD OF INCREASING EYELASH GROWTH INCLUDING LENGTH, THICKNESS, DARKNESS AND/OR NUMBER OF EYELASHES BY ADMINISTERING BIMATOPROST TO AN EYELID MARGIN"
U-1278,METHOD OF TREATING IRRITABLE BOWEL SYNDROME WITH CONSTIPATION IN ADULTS
U-1279,TREATMENT OF HIV INFECTION USING A COMPOSITION CONTAINING A PHARMACOKINETIC ENHANCER THAT INHIBITS CYTOCHROME P450 MONOOXYGENASE
U-128,METHOD FOR TREATMENT OF TUMORS
U-1280,USE OF A CALCIPOTRIENE CONTAINING FOAM FOR THE TREATMENT OF PSORIASIS
U-1281,THE TREATMENT OF PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER WHO HAVE PREVIOUSLY RECEIVED DOCETAXEL
U-1282,PREVENTION OF ACUTE AND DELAYED NAUSEA AND VOMITING
U-1283,A METHOD OF TREATING CHRONIC MYELOGENOUS LEUKEMIA
U-1284,A METHOD OF TREATING A NEOPLASM
U-1285,TREATMENT OF PATIENTS WITH RELAPSING FORMS OF MULTIPLE SCLEROSIS
U-1286,A METHOD OF REDUCING THE RISK OF PULMONARY EDEMA IN PATIENTS IN NEED OF TREATMENT WITH INHALED NITRIC OXIDE
U-1287,METHOD OF REDUCING TG LEVELS IN PATIENT SUFFERING FROM SEVERE HYPERTRIGLYCERIDEMIA
U-1288,TREATEMENT OF ERECTIILE DYSFUNCTION BY ADMINISTERING A FILM-COATED TABLET
U-1289,MANAGEMENT OF MODERATE TO SEVERE ACUTE PAIN
U-129,METHOD TO DESTROY OR IMPAIR TARGET CELLS
U-1290,TREATMENT OF LUNG CANCER
U-1291,TREATMENT OF ACUTE PROMYELOCYTIC LEUKEMIA (APL) IN PATIENTS WHOSE APL IS CHARACTERIZED BY THE PRESENCE OF THE (15;17) TRANSLOCATION OR PML/RAR-ALPHA GENE EXPRESSION
U-1292,"TREATMENT OF DISEASES OR CONDITIONS BY THE USE OF A DELAYED RELEASE 1, 2, OR 5 MG PREDNISONE TABLET"
U-1293,A METHOD OF LOWERING INTRAOCULAR PRESSURE IN A PATIENT WITH OPEN ANGLE GLAUCOMA OR OCULAR HYPERTENSION
U-1294,METHOD OF TREATING GLAUCOMA IN A PATIENT
U-1295,A METHOD OF TREATING A PATIENT WITH GLAUCOMA OR OCULAR HYPERTENSION
U-1296,USE OF PEMETREXED WITH PRIOR AND/OR REPEATED VITAMIN B12 AND FOLIC ACID ADMINISTRATION
U-1297,TREATMENT OF PULMONARY ARTERIAL HYPERTENSION BY INHIBITING ENDOTHELIN RECEPTORS
U-1298,ADJUNCTIVE THERAPY IN THE TREATMENT OF PARTIAL SEIZURES
U-1299,TREATMENT OF PATIENTS WITH LEUKEMIA INCLUDING CHRONIC MYELOID/MYELOGENOUS LEUKEMIA (CML)
U-13,A METHOD FOR TREATING ANXIETY IN A HUMAN SUBJECT IN NEED OF SUCH TREATMENT
U-130,MANAGEMENT OF PATIENTS WITH MASTOCYTOSIS
U-1300,TREATMENT OF PATIENTS WITH TYROSINE KINASE INHIBITOR (TKI) RESISTANT OR INTOLERANT CHRONIC MYELOID/MYELOGENOUS LEUKEMIA (CML)
U-1301,TREATMENT OF DEEP VEIN THROMBOSIS (DVT)
U-1302,TREATMENT OF PULMONARY EMBOLISM (PE)
U-1303,REDUCTION IN THE RISK OF RECURRENCE OF DEEP VEIN THROMBOSIS (DVT) AND PULMONARY EMBOLISM
U-1304,USE OF ONCE-A-DAY AMOXICILLIN PRODUCT TO TREAT TONSILLITIS AND/OR PHARYNGITIS SECONDARY TO STREPTOCOCCUS PYOGENES
U-1305,"TREATMENT OF HIV-1 INFECTION IN ADULT PATIENTS, AND TREATMENT OF HIV-1 INFECTION IN PEDIATRIC PATIENTS 3 YEARS OF AGE AND OLDER, CO-ADMINISTERED WITH RITONAVIR (PREZISTA/RITONAVIR) AND WITH OTHER ANTIRETROVIRAL AGENTS"
U-1306,TREATMENT OF THROMBOCYTOPENIA IN PATIENTS WITH CHRONIC HEPATITIS C TO ALLOW THE INITIATION AND MAINTENANCE OF INTERFERON-BASED THERAPY
U-1307,"IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR THE TREATMENT OF HIV-1 INFECTION IN TREATMENT-NAIVE ADULT PATIENTS WITH HIV-1 RNA LESS THAN OR EQUAL TO 100,000 AT THE START OF THERAPY"
U-1308,MULTIPLE MYELOMA
U-1309,BONE METASTASES
U-131,PHOTODAMAGED SKIN
U-1310,FOR THE MAINTENANCE OF REMISSION OF ULCERATIVE COLITIS
U-1311,METHOD OF TREATING CYSTIC FIBROSIS
U-1312,USE FOR THE TREATMENT OF HYPERGLYCEMIA
U-1313,AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS
U-1314,USE IN COMBINATION WITH PREDNISONE FOR THE TREATMENT OF PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER
U-1315,THE LONG TERM TREATMENT OF PROPHYLACTIC MANAGEMENT OF OCULAR HYPERTENSION AND GLAUCOMA
U-1316,A DOSING REGIMEN FOR THE TREATMENT OF HYPERCHOLESTEROLEMIA AND HYPERLIPIDEMIA IN PATIENTS WITH HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA USING AT LEAST THREE STEP-WISE INCREASING DOSES
U-1317,"TREATMENT OF HYPERCHOLESTEROLEMIA, HYPERLIPIDEMIA AND HYPERLIPOPROTEINEMIA IN PATIENTS WITH HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA"
U-1318,TREATMENT OF HYPERCHOLESTEROLEMIA BY DECREASING THE AMOUNT OR ACTIVITY OF MICROSOMAL TRIGLYCERIDE TRANSFER PROTEIN IN PATIENTS WITH HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA
U-1319,SYMPTOMATIC RELIEF OF NON-INFECTIOUS DIARRHEA
U-132,INHIBITING HIV PROTEASE
U-1320,TREATMENT OF ADULT PATIENTS WITH SHORT BOWEL SYNDROME WHO ARE DEPENDENT ON PARENTERAL SUPPORT
U-1321,TREATMENT OF PULMONARY MULTI-DRUG RESISTANT TUBERCULOSIS
U-1322,METHOD OF REDUCING OCULAR HYPERTENSION
U-1323,REDUCING THE RISK OF STROKE
U-1324,MANAGEMENT OF CYSTIC FIBROSIS PATIENTS
U-1325,"INDUCTION OF REMISSION IN PATIENTS WITH ACTIVE, MILD TO MODERATE ULCERATIVE COLITIS"
U-1326,METHOD OF INDUCING CONTRACEPTION IN A FEMALE OF REPRODUCTIVE AGE WHO HAS NOT YET REACHED PREMENOPAUSE
U-1327,"METHOD FOR TREATING ACUTE MIGRAINE IN ADULTS, WITH OR WITHOUT AURA, COMPRISING IONTOPHORETIC TRANSDERMAL DELIVERY OF SUMATRIPTAN OR A SALT THEREOF, USING A FLOWABLE HYDROGEL FORMULATION"
U-1328,"METHOD FOR TREATING ACUTE MIGRAINE IN ADULTS, WITH OR WITHOUT AURA,  COMPRISING IONTOPHORETIC TRANSDERMAL DELIVERY OF SUMATRIPTAN OR A SALT THEREOF"
U-1329,TREATMENT OF PATIENTS WITH AN OVERACTIVE BLADDER
U-133,MANAGEMENT OF OBESITY INCLUDING WEIGHT LOSS AND MAINTENANCE IN PATIENTS ON A REDUCED-CALORIE DIET
U-1330,METHODS OF TREATING LIPID METABOLISM AND GLYCOMETABOLISM DISORDERS COMPRISING ADMINISTERING AN INSULIN SENSITIVITY ENHANCER SUCH AS PIOGLITAZONE IN COMBINATION WITH AN INSULIN SECRETION ENHANCER
U-1331,METHODS OF REDUCING THE AMOUNT OF ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT COMPRISING ADMINISTERING AN INSULIN SENSITIVITY ENHANCER SUCH AS PIOGLITAZONE IN COMBINATION WITH AN INSULIN SECRETION ENHANCER
U-1332,METHODS OF REDUCING THE SIDE EFFECTS OF ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT COMPRISING ADMINISTERING AN INSULIN SENSITIVITY ENHANCER SUCH AS PIOGLITAZONE IN COMBINATION WITH AN INSULIN SECRETION ENHANCER
U-1333,METHODS OF LOWERING ELEVATED POST PRANDIAL BLOOD GLUCOSE LEVELS COMPRISING ADMINISTERING A DIPEPTIDYL PEPTIDASE INHIBITOR
U-1334,METHODS OF TREATING DIABETES  COMPRISING ADMINISTERING AN INSULIN SENSITIVITY ENHANCER SUCH AS PIOGLITAZONE IN COMBINATION WITH AN INSULIN SECRETION ENHANCER
U-1335,METHODS OF MODIFYING GLUCOSE METABOLISM AND TREATING DIABETES COMPRISING ADMINISTERING A DIPEPTIDYL PEPTIDASE INHIBITOR AND ONE OR MORE OTHER THERAPEUTIC AGENTS SUCH AS METFORMIN
U-1336,METHODS OF TREATING DIABETES COMPRISING ADMINISTERING A DIPEPTIDYL PEPTIDASE INHIBITOR AND METFORMIN
U-1337,METHOD OF TREATING DIABETES COMPRISING ADMINISTERING ALOGLIPTIN
U-1338,METHOD OF TREATING DIABETES COMPRISING ADMINISTERING A COMPOUND SUCH AS ALOGLIPTIN
U-1339,METHODS OF TREATING DIABETES COMPRISING ADMINISTERING AN INSULIN SENSITIVITY ENHANCER SUCH AS PIOGLITAZONE IN COMBINATION WITH A BIGUANIDE SUCH AS METFORMIN
U-134,TREATMENT OF ACNE VULGARIS
U-1340,METHODS OF TREATING LIPID METABOLISM DISORDERS COMPRISING ADMINISTERING AN INSULIN SENSITIVITY ENHANCER SUCH AS PIOGLITAZONE IN COMBINATION WITH A BIGUANIDE SUCH AS METFORMIN
U-1341,METHODS OF TREATING GLYCOMETABOLISM DISORDERS COMPRISING ADMINISTERING AN INSULIN SENSITIVITY ENHANCER SUCH AS PIOGLITAZONE IN COMBINATION WITH A BIGUANIDE SUCH AS METFORMIN
U-1342,METHODS OF REDUCING THE AMOUNT OF ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT COMPRISING ADMINISTERING AN INSULIN SENSITIVITY ENHANCER SUCH AS PIOGLITAZONE IN COMBINATION WITH A BIGUANIDE SUCH AS METFORMIN
U-1343,METHODS OF REDUCING THE SIDE EFFECTS OF ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT COMPRISING ADMINISTERING AN INSULIN SENSITIVITY ENHANCER SUCH AS PIOGLITAZONE IN COMBINATION WITH A BIGUANIDE SUCH AS METFORMIN
U-1344,METHODS OF REDUCING THE SIDE EFFECTS OF ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT COMPRISING ADMINISTERING AN INSULIN SENSITIVITY ENHANCER SUCH AS PIOGLITAZONE IN COMBINATION WITH AN INSULIN PREPARATION
