authors,originalPublicationYear,originalTitle,title,languageCode
Maya Angelou,1969,I Know Why the Caged Bird Sings,I Know Why the Caged Bird Sings,en-US
Christina Baker Kline,2013,Orphan Train,Orphan Train,eng
Cassandra Clare,2012,City of Lost Souls,"City of Lost Souls (The Mortal Instruments, #5)",eng
Maria Semple,2012,"Where'd You Go, Bernadette","Where'd You Go, Bernadette",eng
Wilson Rawls,1961,Where the Red Fern Grows,Where the Red Fern Grows,
Neil Gaiman,1996,Neverwhere,Neverwhere,eng
"Milan Kundera, Michael Henry Heim",1984,Nesnesitelná lehkost bytí,The Unbearable Lightness of Being,eng
Rainbow Rowell,2013,,Fangirl,eng
John Irving,1989,A Prayer for Owen Meany,A Prayer for Owen Meany,eng
Janet Fitch,1999,White Oleander,White Oleander,eng
Marie Lu,2011,Legend,"Legend (Legend, #1)",eng
Jodi Picoult,2007,Nineteen Minutes,Nineteen Minutes,eng
"Randy Pausch, Jeffrey Zaslow",2008,The Last Lecture,The Last Lecture,eng
Robert Jordan,1990,The Eye of the World,"The Eye of the World (Wheel of Time, #1)",eng
Jodi Picoult,1998,The Pact,The Pact,en-US
C.S. Lewis,1953,The magician's nephew,"The Magician's Nephew (Chronicles of Narnia, #6)",eng
Lisa Genova,2007,Still Alice,Still Alice,eng
Sylvia Day,2012,Reflected in You,"Reflected in You (Crossfire, #2)",eng
"Roald Dahl, Quentin Blake",1961,James and the Giant Peach,James and the Giant Peach,eng
James Patterson,2001,1st To Die,"1st to Die (Women's Murder Club, #1)",en-US
Douglas Adams,1996,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,The Ultimate Hitchhiker's Guide to the Galaxy,eng
David Nicholls,2009,One Day,One Day,eng
"Margaret Wise Brown, Clement Hurd",1947,,Goodnight Moon,en-US
Pittacus Lore,2010,I Am Number Four,"I Am Number Four (Lorien Legacies, #1)",en-US
"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750,Ἰλιάς,The Iliad,eng
J.K. Rowling,2012,The Casual Vacancy,The Casual Vacancy,eng
John Grisham,1996,The Runaway Jury,The Runaway Jury,eng
David Sedaris,1997,Naked,Naked,en-US
Christopher Paolini,2005,Eldest,"Eldest (The Inheritance Cycle, #2)",en-US
"L. Frank Baum, W.W. Denslow",1900,The Wonderful Wizard of Oz,"The Wonderful Wizard of Oz (Oz, #1)",eng
C.S. Lewis,1951,Prince Caspian: The Return to Narnia,"Prince Caspian (Chronicles of Narnia, #2)",eng
E. Lockhart,2014,We Were Liars,We Were Liars,eng
Stephen King,1975,Salem's Lot,'Salem's Lot,en-GB
"Hunter S. Thompson, Ralph Steadman",1971,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Fear and Loathing in Las Vegas,eng
Cassandra Clare,2011,Clockwork Prince,"Clockwork Prince (The Infernal Devices, #2)",eng
Amy Poehler,2014,Yes Please,Yes Please,eng
William Shakespeare,1603,"The Tragedy of Othello, The Moor of Venice",Othello,eng
Toni Morrison,1987,Beloved,Beloved,eng
Kristin Cashore,2008,Graceling,"Graceling (Graceling Realm, #1)",en-CA
"Lemony Snicket, Brett Helquist",1999,The Bad Beginning,"The Bad Beginning (A Series of Unfortunate Events, #1)",eng
"Erich Maria Remarque, A.W. Wheen",1929,Im Westen nichts Neues,All Quiet on the Western Front,en-US
Dr. Seuss,1990,"Oh, the Places You'll Go!","Oh, The Places You'll Go!",en-US
Khaled Hosseini,2012,And The Mountains Echoed,And the Mountains Echoed,eng
"Philip K. Dick, Roger Zelazny",1968,Do Androids Dream of Electric Sheep?,Do Androids Dream of Electric Sheep?,eng
"Charles Dickens, George Cruikshank, Philip Horne",1838,Oliver Twist,Oliver Twist,eng
C.S. Lewis,1942,A Grief Observed,The Screwtape Letters,eng
Stephanie Perkins,2010,Anna and the French Kiss,"Anna and the French Kiss (Anna and the French Kiss, #1)",en-US
Dr. Seuss,1957,How the Grinch Stole Christmas!,How the Grinch Stole Christmas!,eng
"Alan Moore, David   Lloyd",1990,V for Vendetta,V for Vendetta,eng
David McCullough,2001,John Adams,John Adams,eng
Dean Koontz,2003,Odd Thomas,"Odd Thomas (Odd Thomas, #1)",eng
Philip Pullman,1997,The Subtle Knife,"The Subtle Knife (His Dark Materials, #2)",eng
Jerry Spinelli,2000,Stargirl,"Stargirl (Stargirl, #1)",eng
Rick Riordan,2010,The Red Pyramid,"The Red Pyramid (Kane Chronicles, #1)",eng
Robert A. Heinlein,1961,Stranger in a Strange Land,Stranger in a Strange Land,eng
David Sedaris,2004,Dress Your Family in Corduroy and Denim,Dress Your Family in Corduroy and Denim,eng
"Roald Dahl, Quentin Blake",1982,The BFG,The BFG,eng
Bill Bryson,2003,A Short History of Nearly Everything,A Short History of Nearly Everything,en-US
Jack London,1903,The Call of the Wild,The Call of the Wild,eng
James Dashner,2011,The Death Cure,"The Death Cure (Maze Runner, #3)",eng
Neil Gaiman,1999,Stardust,Stardust,eng
Jhumpa Lahiri,2003,The Namesake,The Namesake,en-US
Deborah Harkness,2011,A Discovery of Witches,"A Discovery of Witches (All Souls Trilogy, #1)",eng
"Haruki Murakami, Jay Rubin",1987,ノルウェイの森 [Noruwei no Mori],Norwegian Wood,eng
Billie Letts,1995,Where the Heart Is,Where the Heart Is,en-US
"John Green, David Levithan",2010,"Will Grayson, Will Grayson","Will Grayson, Will Grayson",eng
James Frey,2003,A Million Little Pieces,A Million Little Pieces,en-CA
Richelle Mead,2008,Frostbite,"Frostbite (Vampire Academy, #2)",eng
Susan Cain,2012,Quiet: The Power of Introverts in a World that Can't Stop Talking,Quiet: The Power of Introverts in a World That Can't Stop Talking,eng
Scott O'Dell,1960,Island of the Blue Dolphins,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",en-CA
"Arthur Miller, Christopher Bigsby",1953,The Crucible,The Crucible,eng
Gary Paulsen,1986,Hatchet,"Hatchet (Brian's Saga, #1)",en-US
Brandon Sanderson,2006,Mistborn : The Final Empire,"The Final Empire (Mistborn, #1)",eng
"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",1886,The Strange Case of Dr Jekyll and Mr Hyde,The Strange Case of Dr. Jekyll and Mr. Hyde,eng
Dr. Seuss,1971,The Lorax,The Lorax,eng
Jeff Kinney,2004,Greg Heffley's Journal,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",en-US
Sarah J. Maas,2012,Throne of Glass,"Throne of Glass (Throne of Glass, #1)",eng
Richelle Mead,2008,Shadow Kiss,"Shadow Kiss (Vampire Academy, #3)",en-US
Ernest Hemingway,1940,For Whom the Bell Tolls,For Whom the Bell Tolls,eng
Jamie Ford,2009,Hotel on the Corner of Bitter and Sweet,Hotel on the Corner of Bitter and Sweet,eng
"Patrick Süskind, John E. Woods",1985,Das Parfum. Die Geschichte eines Mörders,Perfume: The Story of a Murderer,eng
Eric Schlosser,2001,Fast Food Nation : The Dark Side of the All-American Meal ,Fast Food Nation: The Dark Side of the All-American Meal,eng
J.K. Rowling,2007,The Tales of Beedle the Bard,The Tales of Beedle the Bard,en-US
William Gibson,1984,Neuromancer,Neuromancer,eng
Ernest Hemingway,1929,A Farewell to Arms,A Farewell to Arms,en-US
Edgar Allan Poe,1843,The Tell-Tale Heart,The Tell-Tale Heart and Other Writings,en-GB
"Sun Tzu, Thomas Cleary",-500,孫子兵法 [Sūnzi bīngfǎ],The Art of War,eng
William Landay,2012,Defending Jacob,Defending Jacob,eng
Kurt Vonnegut Jr.,1973,Breakfast of Champions,Breakfast of Champions,eng
Betty Edwards,1979,Drawing on the Right Side of the Brain,The New Drawing on the Right Side of the Brain,en-US
Ann Patchett,2001,Bel Canto,Bel Canto,eng
Jared Diamond,1997,"Guns, Germs, and Steel: The Fates of Human Societies","Guns, Germs, and Steel: The Fates of Human Societies",eng
Fannie Flagg,1987,Fried Green Tomatoes at the Whistle Stop Cafe,Fried Green Tomatoes at the Whistle Stop Cafe,
Chinua Achebe,1958,Things Fall Apart,"Things Fall Apart (The African Trilogy, #1)",en-US
Sophie Kinsella,2005,The Undomestic Goddess,The Undomestic Goddess,eng
Gary Chapman,1990,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,en-US
Alexandre Dumas,1844,Les Trois Mousquetaires,The Three Musketeers,
Chris Cleave,2008,The Other Hand,Little Bee,en-US
Alyson Noel,2009,Evermore,"Evermore (The Immortals, #1)",en-US
"Roald Dahl, Quentin Blake",1983,The Witches,The Witches,en-US
Diane Setterfield,2006,The Thirteenth Tale,The Thirteenth Tale,eng
Richelle Mead,2010,Spirit Bound,"Spirit Bound (Vampire Academy, #5)",eng
Richelle Mead,2009,Blood Promise,"Blood Promise (Vampire Academy, #4)",en-US
Nicholas Sparks,1998,Message in a Bottle,Message in a Bottle,en-US
Paula McLain,2011,The Paris Wife,The Paris Wife,eng
J.K. Rowling,1998,Complete Harry Potter Boxed Set,"Harry Potter Boxset (Harry Potter, #1-7)",eng
Kiera Cass,2013,The Elite,"The Elite (The Selection, #2)",eng
"Umberto Eco, William Weaver, Seán Barrett",1980,Il nome della rosa,The Name of the Rose,en-US
"Beatrice Sparks, Anonymous",1971,Go Ask Alice,Go Ask Alice,eng
"John Kennedy Toole, Walker Percy",1980,A Confederacy of Dunces,A Confederacy of Dunces,eng
Oscar Wilde,1895,The Importance of Being Earnest,The Importance of Being Earnest,eng
Rick Riordan,2012,The Mark of Athena,"The Mark of Athena (The Heroes of Olympus, #3)",eng
Terry Pratchett,1983,The Colour of Magic,"The Color of Magic (Discworld, #1; Rincewind #1)",eng
"Haruki Murakami, Philip Gabriel",2002,海辺のカフカ [Umibe no Kafuka],Kafka on the Shore,en-US
Thomas Harris,1981,Red Dragon,"Red Dragon (Hannibal Lecter, #1)",eng
Isaac Asimov,1950,"I, Robot","I, Robot (Robot #0.1)",eng
J.R. Ward,2005,Dark Lover,"Dark Lover (Black Dagger Brotherhood, #1)",eng
Becca Fitzpatrick,2010,Crescendo,"Crescendo (Hush, Hush, #2)",en-US
Lauren Oliver,2010,Before I Fall,Before I Fall,eng
Arundhati Roy,1997,The God of Small Things,The God of Small Things,eng
Sue Monk Kidd,2014,The Invention of Wings,The Invention of Wings,en-US
Liane Moriarty,2009,What Alice Forgot,What Alice Forgot,eng
"Stephen Hawking, Cao Chi, Phạm Văn Thiều",1987,A Brief History of Time: From the Big Bang to Black Holes,A Brief History of Time,eng
Ken Follett,2010,Fall of Giants,"Fall of Giants (The Century Trilogy, #1)",eng
Stephen King,2009,Under the Dome,Under the Dome,eng
Neal Stephenson,1992,Snow Crash,Snow Crash,eng
Sarah Dessen,2006,Just Listen,Just Listen,en-US
"A.A. Milne, Ernest H. Shepard",1926,Winnie-the-Pooh,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",eng
S.J. Watson,2011,Before I Go to Sleep,Before I Go to Sleep,en-CA
Arthur Conan Doyle,1887,A Study in Scarlet,A Study in Scarlet,eng
Christopher Paolini,2008,Brisingr,"Brisingr (The Inheritance Cycle, #3)",eng
Rick Warren,2002,The Purpose Driven Life: What on Earth am I Here For?,The Purpose Driven Life: What on Earth Am I Here for?,en-US
"P.C. Cast, Kristin Cast",2007,Betrayed: a House of Night Novel,"Betrayed (House of Night, #2)",en-US
Jim Butcher,2000,Storm Front,"Storm Front (The Dresden Files, #1)",en-US
"Jane Austen, Alfred MacAdam",1817,Northanger Abbey,Northanger Abbey,eng
Rick Yancey,2013,The 5th Wave,"The 5th Wave (The 5th Wave, #1)",eng
Charles Frazier,1997,Cold Mountain,Cold Mountain,en-US
"Laura Joffe Numeroff, Felicia Bond",1985,If You Give a Mouse a Cookie,If You Give a Mouse a Cookie,en-US
Emily Giffin,2005,Something Blue,"Something Blue (Darcy & Rachel, #2)",en-US
Tennessee Williams,1947,A Streetcar Named Desire,A Streetcar Named Desire,eng
Elizabeth Kostova,2005,The Historian,The Historian,eng
Emily St. John Mandel,2014,Station Eleven,Station Eleven,eng
"Fredrik Backman, Henning Koch",2012,En man som heter Ove,A Man Called Ove,eng
Cassandra Clare,2013,Clockwork Princess,"Clockwork Princess (The Infernal Devices, #3)",eng
Pearl S. Buck,1931,The Good Earth,"The Good Earth (House of Earth, #1)",eng
John Berger,1972,Ways of Seeing,Ways of Seeing,eng
Diana Gabaldon,1992,Dragonfly in Amber,"Dragonfly in Amber (Outlander, #2)",eng
Anonymous,1611,,Holy Bible: King James Version,eng
Jennifer Weiner,2002,In Her Shoes,In Her Shoes,
"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",1989,The Hobbit,The Hobbit: Graphic Novel,eng
Junot Díaz,2007,The Brief Wondrous Life of Oscar Wao,The Brief Wondrous Life of Oscar Wao,eng
Zora Neale Hurston,1937,Their Eyes Were Watching God,Their Eyes Were Watching God,eng
"Newt Scamander, J.K. Rowling, Albus Dumbledore",2001,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,eng
"Malala Yousafzai, Christina Lamb",2012,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,eng
"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",1814,Mansfield Park,Mansfield Park,eng
Viktor E. Frankl,1946,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,Man's Search for Meaning,eng
Tana French,2007,In the Woods,"In the Woods (Dublin Murder Squad, #1)",eng
Richard Dawkins,2006,The God Delusion,The God Delusion,eng
Gayle Forman,2011,Where She Went,"Where She Went (If I Stay, #2)",en-US
John Irving,1978,The World According to Garp,The World According to Garp,eng
Lee Child,1997,Killing Floor,"Killing Floor (Jack Reacher, #1)",eng
"Daniel Defoe, Gerald McCann, Virginia Woolf",1719,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",Robinson Crusoe,eng
"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",1513,Il Principe,The Prince,eng
Philip Pullman,2000,The Amber Spyglass,"The Amber Spyglass (His Dark Materials, #3)",eng
Terry Goodkind,1994,Wizard's First Rule,"Wizard's First Rule (Sword of Truth, #1)",eng
Kathleen Grissom,2010,The Kitchen House,The Kitchen House,en-CA
J.D. Salinger,1961,Franny and Zooey,Franny and Zooey,en-US
Chuck Palahniuk,2001,Choke,Choke,eng
"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",1880,Братья Карамазовы,The Brothers Karamazov,eng
Jeanne DuPrau,2003,The City of Ember,"The City of Ember (Book of Ember, #1)",eng
Michael Crichton,1969,The Andromeda Strain,The Andromeda Strain,
Stephen King,1996,The Green Mile,The Green Mile,eng
Kahlil Gibran,1923,The Prophet,The Prophet,eng
Art Spiegelman,1985,Maus: A Survivor's Tale : My Father Bleeds History,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",eng
"P.C. Cast, Kristin Cast",2008,Untamed: A House of Night Novel,"Untamed (House of Night, #4)",en-US
Orson Scott Card,1986,Speaker for the Dead,"Speaker for the Dead (Ender's Saga, #2)",en-US
C.S. Lewis,1952,Mere Christianity,Mere Christianity,eng
Donna Tartt,1992,The Secret History,The Secret History,eng
Dave Eggers,2000,A Heartbreaking Work of Staggering Genius,A Heartbreaking Work of Staggering Genius,eng
Jean M. Auel,1980,The Clan of the Cave Bear,"The Clan of the Cave Bear (Earth's Children, #1)",eng
Anna Sewell,1877,Black Beauty,Black Beauty,eng
"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1869,Война и миръ,War and Peace,eng
Bret Easton Ellis,1991,American Psycho,American Psycho,eng
Meg Cabot,2000,The Princess Diaries,"The Princess Diaries (The Princess Diaries, #1)",eng
Alexander McCall Smith,1998,The No. 1 Ladies' Detective Agency ,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",eng
"Robert Kirkman, Tony Moore",2004,"The Walking Dead, Vol. 1: Days Gone Bye","The Walking Dead, Vol. 01: Days Gone Bye",en-GB
Arthur C. Clarke,1968,2001: A Space Odyssey,"2001: A Space Odyssey (Space Odyssey, #1)",eng
Francine Rivers,1991,,Redeeming Love,eng
"Tim LaHaye, Jerry B. Jenkins",1995,Left Behind:  A Novel of the Earth's Last Days,"Left Behind (Left Behind, #1)",eng
Kiera Cass,2014,The One,"The One (The Selection, #3)",eng
Suzanne Collins,2010,The Hunger Games Box Set,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",eng
Barbara Ehrenreich,2001,Nickel and Dimed: On (Not) Getting By in America,Nickel and Dimed: On (Not) Getting By in America,eng
Sophie Kinsella,2008,Remember Me?,Remember Me?,eng
Robert Jordan,1990,The Great Hunt,"The Great Hunt (Wheel of Time, #2)",en-US
Patricia Cornwell,1990,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,"Postmortem (Kay Scarpetta, #1)",eng
Edgar Allan Poe,1849,The Complete Tales of Edgar Allan Poe,The Complete Stories and Poems,en-US
"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",1971,The Hiding Place,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,en-US
Arthur Conan Doyle,1892,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,eng
Pat Conroy,1986,The Prince of Tides,The Prince of Tides,eng
Michael Chabon,2000,The Amazing Adventures of Kavalier & Clay,The Amazing Adventures of Kavalier & Clay,eng
Simone Elkeles,2008,Perfect Chemistry,"Perfect Chemistry (Perfect Chemistry, #1)",eng
"J.M. Barrie, Michael Hague",1904,Peter Pan,Peter Pan,en-US
Scott Westerfeld,2005,Pretties,"Pretties (Uglies, #2)",eng
"Haruki Murakami, Jay Rubin",1994,ねじまき鳥クロニクル [Nejimakidori kuronikuru],The Wind-Up Bird Chronicle,eng
Michael Connelly,2005,The Lincoln Lawyer ,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",eng
David Mitchell,2004,Cloud Atlas,Cloud Atlas,eng
Tim O'Brien,1990,The Things They Carried,The Things They Carried,en-US
Banksy,1988,Wall and Piece,Wall and Piece,eng
Lauren Oliver,2012,Pandemonium,"Pandemonium (Delirium, #2)",eng
Jeff Lindsay,2004,Darkly Dreaming Dexter,"Darkly Dreaming Dexter (Dexter, #1)",eng
Charlaine Harris,2002,Living Dead in Dallas,"Living Dead in Dallas (Sookie Stackhouse, #2)",eng
Robert Jordan,1991,The Dragon Reborn ,"The Dragon Reborn (Wheel of Time, #3)",eng
"Jonathan Swift, Robert DeMaria Jr.",1726,Gulliver’s Travels,Gulliver's Travels,eng
"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",1598,Much Ado About Nothing,Much Ado About Nothing,eng
"Unknown, Seamus Heaney",975,Beowulf,Beowulf,en-US
"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",1987,Batman: Year One,Batman: Year One,eng
Harper Lee,2015,Go Set a Watchman,Go Set a Watchman,eng
David Sedaris,2008,When You Are Engulfed in Flames,When You Are Engulfed in Flames,en-US
Laini Taylor,2011,Daughter of Smoke & Bone,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",eng
Victoria Aveyard,2015,Red Queen,"Red Queen (Red Queen, #1)",eng
Charles Duhigg,2011,The Power of Habit,The Power of Habit: Why We Do What We Do in Life and Business,eng
John Berendt,1994,Midnight in the Garden of Good and Evil,Midnight in the Garden of Good and Evil,eng
Colleen Hoover,2012,Hopeless,"Hopeless (Hopeless, #1)",eng
"Frances Hodgson Burnett, Nancy Bond",1905,A Little Princess,A Little Princess,eng
Sarah Dessen,2004,The Truth About Forever,The Truth About Forever,en-US
C.S. Lewis,1954,The horse and his boy,"The Horse and His Boy (Chronicles of Narnia, #5)",eng
Richelle Mead,2010,Last Sacrifice ,"Last Sacrifice (Vampire Academy, #6)",eng
"Laura Ingalls Wilder, Garth Williams",1935,Little House on the Prairie,"Little House on the Prairie (Little House, #2)",eng
