OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,StartDate,EndDate,ReviewDate,Appraisaldate,Displayuntildate,ExtensionPeriod,ExtensionsTaken,EstimatedValue,IrrecoverableVAT,SupplierName,ContactName,ProcessType,OJEU,Framework type,Keywords
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198565 (CONTRACT-A86F-QB9WTP),Brownfield Land Sites - Package no 1,City Development,"Leeds City Council (LCC) is seeking to contract with a partner who will take full responsibility for all aspects of planning (to obtain planning permission) and delivery (including sales) for housing schemes on a number of sites in Seacroft, Halton Moor and Osmondthorpe. This procurement is a site disposal mechanism that aims to contribute to delivery of the Leeds housing targets set within the Core Strategy of 66,000 net new dwellings to meet housing needs in the city by 2028. 

 

 Two packages of sites are available for development. This brief is for Package 1. This package consists of 6 sites in Seacroft, Halton Moor and Osmondthorpe. The sites in this package are: 

 

 � Former Asket Hill Primary 

 � Kentmere Approach 

 � Seacroft Crescent (North) 

 � Wykebeck Avenue 

 � Rathmell Road 

 � Kendal Drive 

 

 The Council is looking for a very capable Delivery Partner to deliver housing on this package of sites, and to enter into a Development Agreement to do so with the Council in 2016. The Council will also consider offers where a lead Delivery Partner is representing a consortium. Over the years, the Council has undertaken desktop studies on the sites, as well as detailed ground investigations on some sites. While sites do not have the benefit of planning permission, some planning framework/ strategy documents are available for the neighbourhoods. Information is provided throughout this document and in the developer pack. All of this information is available to assist in the design, planning and delivery of the scheme. 

 

 Whilst the successful Delivery Partner will need to meet the relevant design requirements, maximise value and contribute positively to the local community, they will still have significant flexibility to create a scheme that reflects their particular vision for the sites. The development of sites should contribute to the local and regional economies to maximise the social benefit from this significant investment.",01/12/2016,31/12/2025,31/12/2024,,31/12/2025,0,0,�0.00,�0.00,Please view tab 2 on excel sheet,Ms Christa Smith,RFQ,No,N/A,"house, housing, construction"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN211638 (CONTRACT-YORE-9GH74X),BSL Video Interpreting via Video Link,Strategy and Resources,To provide a BSL video interpreting service via an online video link,01/06/2014,31/05/2017,01/01/2017,,30/06/2017,12,0,"�111,205.00",�0.00,Please view tab 2 on excel sheet,Jayne Grant,Not provided,No,N/A,"interpreter, video, BSL"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN208251 (CONTRACT-YORE-9ADDTY),Building and Specialist Material Supplies,Strategy and Resources,"Building and Specialist Material Supplies, including timber, electrical, 
alarms, CCTV, heating, plumbing, ironmongery and asbestos removal materials.",15/01/2014,14/01/2018,14/06/2016,,14/02/2018,N/A,0,"�6,050,000.00",�0.00,Please view tab 2 on excel sheet,Ms Nesreen Lowson,RFQ,No,Framework,"building, materials, timber, electrical, plumbing, heating"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN194877 (CONTRACT-9Z3K-E9DDTP),Building energy Management Systems (BeMS) Maintenance & Support Framework,City Development,"Leeds City Council invites�submissions for�a competitive tender 
for installation, maintenance and data collection of electric metering 
services.",11/07/2016,10/07/2019,01/06/2018,,10/08/2019,12,0,"�357,000.00",�0.00,Please view tab 2 on excel sheet,Karen Walker,Not provided,No,Framework,"electric meters, installation, data collection"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN190762 (CONTRACT-9RAK-5D2FJR),Building Schools for the Future PFI - Phase 1,Childrens Services,"The design, build, servicing and maintenance of four secondary schools in 
Leeds.",03/04/2007,31/07/2034,31/07/2032,,31/08/2034,0,0,"�380,000,000.00",�0.00,Please view tab 2 on excel sheet,Alex MacLeod,Not provided,No,N/A,"school, pfi, construction"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN190764 (CONTRACT-9RAK-EMK7JE),Building Schools for the Future PFI - Phase 2,Childrens Services,"The design, construction, servicing and maintenance of the new school for West 
Leeds and Wortley, a secondary school in Leeds.",13/03/2008,07/09/2034,07/09/2032,,07/10/2034,0,0,"�107,500,000.00",�0.00,Please view tab 2 on excel sheet,Alex MacLeod,Not provided,No,N/A,"School, pfi, construction"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN190767 (CONTRACT-9RAK-QKK01F),Building Schools for the Future PFI - Phase 3,City Development,"The design, construction, servicing and maintenance of Morley and Armley 
Leisure Centres in Leeds.",07/08/2008,31/05/2035,31/05/2033,,30/06/2035,0,0,"�96,300,000.00",�0.00,Please view tab 2 on excel sheet,Helen Evans,Not provided,No,N/A,"pfi, construction, leisure"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN190769 (CONTRACT-9RAL-66B0BJ),Building Schools for the Future PFI - Phase 4,City Development,"The design, construction, servicing and maintenance of Holt Park Wellbeing 
Centre in Leeds.",14/12/2011,12/09/2038,12/09/2036,,12/10/2038,0,0,"�63,000,000.00",�0.00,Please view tab 2 on excel sheet,Helen Evans,Not provided,No,N/A,"pfi, construction, wellbeing"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201836 (CONTRACT-ADYG-F9SDH7),Bulk Gas (LPG) framework,"Projects, Programmes & Procurement Unit",Bulk Gas (LPG) framework,06/02/2017,31/01/2021,31/01/2020,,28/02/2021,0,0,"�80,000.00",�0.00,Please view tab 2 on excel sheet,Mr Daniel Smith,RFQ,No,N/A,"Gas, Liquefied Petroleum Gas"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN190543 (CONTRACT-9QTL-VAVT5O),Business Travel Services,"Projects, Programmes & Procurement Unit",Business Travel Services,16/03/2015,15/03/2019,01/12/2018,,15/04/2019,1,0,"�13,500.00",�0.00,Please view tab 2 on excel sheet,Miss Philippa Elliott,RFQ,No,N/A,"TRAVEL, AIR, RAIL, ACCOMMODATION"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN196566 (CONTRACT-A4EM-RLZHL3),Call off contract from YPO framework - YPO - 000618 Supply of Liquid Fuels,Strategy and Resources,"Call off contract from YPO framework for the supply of diesel, gas oil (red 
diesel) and petroleum.",01/12/2015,30/11/2017,30/11/2016,,31/12/2017,12,0,"�8,000,000.00",�0.00,Please view tab 2 on excel sheet,Carl Snowden,Not provided,No,N/A,"diesel, gas, oil, petrol, fuel"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN197664 (CONTRACT-A6MJ-MHN8UL),"Call off from Fusion21: Conservation Architect And Design Team For The First White Cloth Hall, Lower Kirkgate, Leeds",N/A,"Leeds City Council is looking to procure a multi-disciplinary design team in 
order to develop proposals for the refurbishment of the First White Cloth Hall. 
 
Please review and consider the attached documents in order to submit a bid.",02/09/2016,31/08/2020,31/08/2020,,30/09/2020,0,0,"�245,749.00",�0.00,Please view tab 2 on excel sheet,Christopher Wagner,Not provided,No,N/A,"design, architect, construction, conservation"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN207163 (CONTRACT-YORE-97WLXN),Call Off from Vehicle and Specialist Body Framework - 10 tonne Rear Crane; 7.5 tonne tipper,Strategy and Resources,Supply of 10 tonne rear crane vehicle and 7.5 tonne tipper,27/06/2013,26/06/2017,26/12/2016,,26/06/2017,0,0,"�624,000.00",�0.00,Please view tab 2 on excel sheet,Carl Snowden,Not provided,No,N/A,"vehicle, body, chassis, tipper, crane"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN207160 (CONTRACT-YORE-97WJUV),Call off from vehicle and Specialist Body Framework - Tipper / Gritter; Road Repair / Gritter.,Strategy and Resources,"Supply of 
 
 18 Tonne GVW Chassis Cab for Demount Tipper / Gritter Body 
 18 Tonne GVW Chassis Cab for Demount Road Repair / Gritter Body",14/10/2013,13/10/2017,13/04/2017,,13/10/2017,0,0,"�1,707,394.00",�0.00,Please view tab 2 on excel sheet,Carl Snowden,Not provided,No,N/A,"Gritter, Tipper, Road, repair, Chassis, Cab"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201166 (CONTRACT-ACF3-9DR8J1),"Call Off Yorconsult Framework: Cost Consultant For First White Cloth Hall, Lower Kirkgate, Leeds","Projects, Programmes & Procurement Unit","Leeds City Council is looking to procure cost consultancy services to support in the refurbishment of the First White Cloth Hall.  
Please review and consider the attached documents in order to submit a bid.",01/10/2016,31/08/2020,31/08/2020,,30/09/2020,0,0,"�36,676.05",�0.00,Please view tab 2 on excel sheet,Mr Christopher Wagner,RFQ,No,N/A,"first white cloth hall, quantity, surveying, cost, consultancy"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN230415,Can�t Wait Strategy � Breastfeeding (YUMS),Public Health,To facilitate a young mothers� group/service (South Leeds) to build self-esteem and aspirations in order that young mothers make positive and healthy choices for themselves and their children.,01/04/2017,31/03/2019,01/04/2018,,31/01/2019,24,0,"�27,080.00",�0.00,Please view tab 2 on excel sheet,Ms Sally Goodwin-Mills,RFQ,No,N/A,"Breastfeeding, Young, Mothers"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN199640 (CONTRACT-AA8A-TN19K1),Cancer Awareness Community Service,"Projects, Programmes & Procurement Unit","The Cancer Awareness Community Service (CACS) is a community based service which aims to reduce inequalities in cancer by contributing to an increase in awareness and uptake of screening/chest x-ray services in areas/communities with  poorer cancer outcomes.   
 The CACS will use an evidenced based approach to deliver community outreach, which  targets specific populations and communities across Leeds.  
The Contractor shall be expected to develop/deliver activities and programmes that are tailored to meet the needs of the identified communities who suffer from poorer cancer outcomes.   As the aim of the service is to reduce cancer inequalities, the identified vulnerable groups should be the focus of the contracted work:  
 
  Adults with a Learning Disability  
 Adults with severe mental illness 
 Roma Gypsy & Irish/Scottish/English traveller communities 
 Black & Minority Ethnic groups 
 Men 
 
This contract is being tendered on the basis that a 3 year (36 month) contract will be initially awarded to commence 1st April 2017, with an option for the Council to extend the term of this contract up to a period of 2 years (24 months).
Please refer to the tender documentation which can be downloaded once you have registered your interest in this tender.",01/04/2017,31/03/2020,01/09/2019,,30/04/2020,24,0,"�203,040.00",�0.00,Please view tab 2 on excel sheet,Ms Shazia Nazir,RFQ,No,N/A,"screening, early, diagnosis, breast, bowel, lung"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN199735 (CONTRACT-AABH-NA4HGV),Capacity Building & Employability (Mental Health) Pilot,City Development,"The Council's Employment and Skills Service is looking to pilot an 
employability and capacity building service targeted specifically at people 
with low to moderate mental ill health. 

 
A key outcome will be the development of a sustainable model of deliver and 
a legacy of good practice that will run beyond the lifetime of the pilot.",01/04/2016,31/03/2018,28/02/2018,,30/04/2018,12,0,"�276,812.00",�0.00,Please view tab 2 on excel sheet,Ms Michelle Anderson,RFQ,No,N/A,"mental health, pilot, employability"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198492 (CONTRACT-A83E-4BVPV1),Car Club Promotion Agreement,City Development,"Service Agreement set up by the West Yorkshire Combined Authority. All parties 
have agreed to procure a single operator to provide the car club arrangements 
for each respective area.",08/02/2016,07/02/2019,07/08/2018,,07/03/2019,24,0,"�100,000.00",�0.00,Please view tab 2 on excel sheet,Wynne Floyd,Not provided,No,N/A,"travel, transport, vehicle, hire"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN189554 (CONTRACT-9NTA-Z97FN3),Cardinal Heenan School PFI,Childrens Services,Cardinal Heenan School PFI,04/06/2000,30/09/2025,04/05/2025,,31/10/2025,0,0,"�25,400,000.00",�0.00,Please view tab 2 on excel sheet,Ms Patricia Rose,RFQ,No,N/A,"School, PFI"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN245759,Carers Emergency Planning,Adult Social Care,Carers Emergency Planning,01/03/2017,28/02/2018,01/12/2017,,31/03/2018,0,0,"�94,950.00",�0.00,Please view tab 2 on excel sheet,Mr Ian Brooke Mawson,RFQ,No,N/A,"Carers, Emergency, Planning"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201719 (CONTRACT-ADQH-K7X32M),Cash in Transit Service,"Projects, Programmes & Procurement Unit",Leeds City Council are requesting a further competition exercise against ESPO framework agreement reference 324F for the provision of Cash Collection and Cash in Transit services.,01/02/2017,31/01/2019,01/02/2018,,28/02/2019,12,0,"�370,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Rachael Grimes,RFQ,No,N/A,"cash, transit, money, security"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN200712 (CONTRACT-ABLL-RANC3W),Cashless parking solutions,Environment & Housing,"The Council currently offers a service allowing customers to pay parking fees via  mobile phone or internet. It is popular with customers with over 300,000 transactions a year and it is an important part of the Council�s parking operation. The key features of the scheme are that it is easy and reliable to use for customers and that Council staff can access the information easily and in real time so we know which vehicles have paid.",01/09/2016,31/08/2019,31/08/2018,,31/08/2019,12,0,"�75,000.00",�0.00,Please view tab 2 on excel sheet,Mr Mark Jefford,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN196306 (CONTRACT-A3WL-7TPA6F),Castleton Primary School (Construction of new build and extension),N/A,"The project comprises new build, extension and internal remodelling works to 
Castleton Primary School, Children�s Centre, Family Centre and Nursery.",25/05/2016,25/08/2017,25/03/2017,,25/09/2017,0,0,"�4,881,488.00",�0.00,Please view tab 2 on excel sheet,Jill Gough,Not provided,No,N/A,"Primary, School, Construction, Castleton"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN210355 (CONTRACT-YORE-9DVEW4),Catering at Royds School,Schools,To provide a catering provision for Royds School,01/08/2014,31/07/2017,01/09/2016,,31/07/2017,12,0,"�615,471.00",�0.00,Please view tab 2 on excel sheet,Denzil Francis,Not provided,No,N/A,"catering, school, provision"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN199831 (CONTRACT-AAHT-48BWKS),CH223 - Supply of Flooring Materials,"Projects, Programmes & Procurement Unit","LBS Flooring section provide a vinyl and carpet  repair, replacement and fitting service to Leeds City Council departments that include Corporate Property Management who look after all the Council�s public buildings, Children�s Services who provide advice and support to  schools and Housing Leeds who manage the Council�s housing stock. Therefore the service covers a wide variety of buildings in terms of type and use which includes schools, leisure centres, offices, public buildings, residential / nursing homes, day centres, children�s� homes and residential properties.    
The �Flooring Section� has over recent years seen a growth in their workloads and last year spent approximately &pound;450k on materials. The service is presently supported by a number of suppliers of flooring materials and associated products and it is now the intention to carry out a procurement exercise to implement a framework agreement that will facilitate and secure the provision of these supplies.  The supply of flooring materials will include delivering materials to the Leeds depot and/or nominated buildings/sites within Leeds and the surrounding areas. 
The framework will be to deliver: 
Lot � 1.  The supply of carpet materials that will include carpet tiles, full rolls and cuts. 
Lot � 2.  The supply of vinyl material including tiles, full rolls and cuts.  
Lot � 3.  The supply of flooring sundry items and associated products such as:-  
&middot;         carpet trim,  
&middot;         vinyl trim,  
&middot;         carpet grips,  
&middot;         concrete leveller, 
&middot;         adhesives for carpets and vinyl 
  
If you wish to submit a tender for the supply of these materials, please carefully read the attached documents and submit them according to the instructions found in Part 1 � Instructions to Tenderers.",10/10/2016,30/09/2018,01/10/2017,,31/10/2018,12,0,"�900,000.00",�0.00,Please view tab 2 on excel sheet,Mr Christopher Wagner,ITT,Yes,N/A,"flooring, carpet, vinyl, materials"
