RATEPAYER,Property Address,PROPREF,RV,Property Description,RELIEF_CODE
Shaw Lodge Mills Ltd,"Level 3 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526735,5100,Warehouse And Premises,6
Shaw Lodge Mills Ltd,"Level 2 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526736,5000,Warehouse And Premises,6
Shaw Lodge Mills Ltd,"Level 1 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526737,8400,Warehouse And Premises,6
Shaw Lodge Mills Ltd,"G1,G2,G3 The Design Studios, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526748,7000,Offices And Premises,6
Shaw Lodge Mills Ltd,"Level - 1 The 1850 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526751,8200,Warehouse And Premises,6
Shaw Lodge Mills Ltd,"Office G3 Shaw Lodge Hse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526753,1500,Offices And Premises,6
Shaw Lodge Mills Ltd,"Office F3 Shaw Lodge Hse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526756,6000,Offices And Premises,6
Shaw Lodge Mills Ltd,"The Weaving Shed, Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526761,23500,Warehouse And Premises,6
,"149 Shay Lane, Halifax, HX3 6RR",68536149,5800,Warehouse And Premises,21
,"Drakes Industrial Estate, Shay Lane, Halifax, HX3 6RL",68536712,9200,Workshop And Premises,12
,"149 Shay Lane, Halifax, HX3 6RR",68536724,8800,Workshop And Premises,21
,"Bay 6 (Ground Floor), Shay Lane Works, Shay Lane, Halifax              HX3 6SF",68536789,2475,Workshop And Premises,18
,"Basement Of Unit 20A, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",68536816,1250,Store And Premises,18
,"Office 1 Shay Lane Works, Shay Lane, Halifax, HX3 6SF",68536833,620,Office,13
Greenbank Crane Services Ltd,"Unit 3, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",68536834,1800,Warehouse And Premises,18
,"Unit 3A, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",68536835,1750,Store And Premises,18
,"Unit 3D, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",68536838,1800,Warehouse And Premises,13
,"Bay 7 Shay Lane Works, Shay Lane, Halifax, HX3 6SF",68536840,2475,Workshop And Premises,18
,"Stansfield Haulage Yard, Stansfield House, Shay Lane, Halifax              HX2 9AD",68536877,4000,Land Used For Storage And Premises,17
,"Bay 2, Shay Lane Works, Shay Lane, Halifax              HX3 6SF",68536881,23250,Warehouse And Premises,21
Lloyd Loaders [ M.H ] Ltd,"Shibden Hall Road, Halifax, HX3 8PJ",68556700,4100,Garage And Premises,21
B & Q Properties  Limited,"1 Shroggs Road, Halifax, HX1 5HZ",68564001,88500,Retail Warehouse And Premises,21
,"Cinderhill Works, Siddal, Halifax, HX3 9JR",68576700,19500,Factory and Premises,21
,"20 Silver Street, Halifax, HX1 1HS",68580020,9200,Office and Premises,21
,"First Floor, 18 Silver Street, Halifax, HX1 1HS",68580712,9500,Offices and Premises,21
,"Second Floor, 18 Silver Street, Halifax, HX1 1HS",68580713,9500,Offices and Premises,21
,"Third Floor, 18 Silver Street, Halifax, HX1 1HS",68580714,9000,Offices and Premises,21
,"1st & 2nd Floors, 24/26 Silver Street, Halifax, HX1 1HS",68580716,10250,Club and Premises,21
Premium Reserve Ltd,"Ground Floor, 24/26 Silver Street, Halifax, HX1 1HS",68580721,8100,Shop and Premises,21
,"Basement, 2 Silver Street, Halifax, HX1 1HS",68580731,1025,Store And Premises,6
Redman Properties,"Office 4 2ND Floor, Venture House, 3 Silver Street, Halifax              HX1 1HS",68580732,6200,Offices And Premises,21
Redman Properties,"Office 3 2ND Floor, Venuture House, 3 Silver Street, Halifax              HX1 1HS",68580733,6900,Offices And Premises,21
,"Unit 4 Rear, 2 Silver Street, Halifax, HX1 1HS",68580734,2950,Shop and Premises,6
E.P.I.C Plc,"Above, 353-359 Skircoat Green Road, Halifax, HX3 0RP",68596700,1800,Store And Premises,13
First Group,"International House, 139 Skircoat Road, Halifax, HX1 2RE",68604708,1525,Offices and Premises,13
Eureka! The National Childrens Museum Ltd,"The Great Northern Shed, Discovery Road, Halifax, HX1 2LY",68632705,33000,Warehouse And Premises,6
,"Unit 1 Carlton Mills, South Street, Halifax, HX1 2TE",68640700,880,Store And Premises,18
,"1ST Floor Unit 3, Carlton Mill, South Street, Halifax              HX1 2TE",68640701,2250,Workshop And Premises,13
,"Unit 8 Carlton Mill, South Street, Halifax, HX1 2EL",68640704,1450,Warehouse And Premises,13
,"Unit 1, South Street, Halifax, HX1 2EL",68640708,3300,Workshop And Premises,12
,"Unit 2, South Street, Halifax, HX1 2EL",68640709,1375,Workshop And Premises,18
,"Unit 4, South Street, Halifax, HX1 2EL",68640711,980,Workshop And Premises,18
Santander U.K Plc,"7 Southgate, Halifax, HX1 1DL",68652701,44000,Shop and Premises,21
Dr. Kuldip S Hunjan & Associates,"First Floor Offices, Warwick Chambers, 37 Southgate, Halifax              HX1 1DL",68652703,1900,Offices and Premises,13
Dr. Kuldip S Hunjan & Associates,"Second Floor Offices, Warwick Chambers, 37 Southgate, Halifax              HX1 1DL",68652704,2950,Offices and Premises,21
Gallyville Ltd,"11 Southgate House, Southgate, Halifax, HX1 1DE",68656011,9800,Office and Premises,3
Coal Pension Properties Ltd,"9 Square, Halifax, HX1 1RJ",68700009,25750,Shop and Premises,21
,"14 Square, Halifax, HX1 1RJ",68700014,10000,Shop and Premises,21
,"16 Square, Halifax, HX1 1RJ",68700016,10250,Shop and Premises,21
Coal Pension Properties Ltd,"18/20 Square, Halifax, HX1 1RJ",68700018,28750,Shop and Premises,21
W H Greenwood Ltd,"Unit 1, 25 Square Road, Halifax, HX1 1QG",68708707,1950,Workshop And Premises,13
W H Greenwood (Holdings) Ltd,"Telecommunication Mast, Site Ref H X 0002, Square Road, Halifax              HX1 1QG",68708718,7500,Communication Station and Premises,17
The Imperial Crown Hotel Ltd,"Hughes Corporation, 31 Square Road, Halifax, HX1 1QG",68708722,49000,Public House And Premises,21
Deanhurst Garages Ltd,"St Giles Road, Lightcliffe, Halifax, HX3 8BG",68720700,13500,Garage And Premises,3
,"1a St James Street, Halifax, HX1 5SU",68736701,1825,Hairdressing Salon and Premises,13
,"73 Stainland Road, Greetland, Halifax, HX4 8BD",68772073,2550,Shop and Premises,18
J Speak & Co Ltd,"Adj Unit 3, North Dean Mills, Greetland, Halifax             HX4 8LS",68772713,850,Store And Premises,13
J Speak & Co Ltd,"Unit 3, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772724,4300,Workshop And Premises,21
J Speak & Co Ltd,"Unit 4, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772725,1750,Garage And Premises,13
J Speak & Co Ltd,"Unit 5, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772726,1425,Store And Premises,13
J Speak & Co Ltd,"Unit 6, North Dean Mills, Stainland Road, Greetland           HX4 8LS",68772727,5200,Workshop And Premises,21
,"37a Stainland Road, Greetland, Halifax, HX4 8AD",68772735,1650,Hairdressing Salon and Premises,13
Smart Storm Ltd,"Office Block(First Floor), North Dean Business Park, Stainland Road, Greetland           HX4 8LR",68772758,12500,Offices and Premises,21
Pennine Housing 2000 Ltd,"33 Stanningley Road, Mixenden, Halifax, HX2 8RJ",68804033,1100,Shop and Premises,13
Pennine Housing 2000 Ltd,"35 Stanningley Road, Mixenden, Halifax, HX2 8RJ",68804035,1125,Shop and Premises,13
Pennine Housing 2000 Ltd,"43 Stanningley Road, Mixenden, Halifax, HX2 8RJ",68804043,1025,Shop and Premises,13
Pennine Housing 2000 Ltd,"45 Stanningley Road, Mixenden, Halifax, HX2 8RJ",68804045,860,Shop and Premises,13
Pennine Housing 2000 Ltd,"37/39 Stanningley Road, Mixenden, Halifax, HX2 8RJ",68804701,2225,Shop and Premises,13
Bower Green Warehousing Ltd.,"Rookes Mill Old Shed, Station Road, Norwood Green, Halifax              HX3 8QD",68828708,44000,Warehouse And Premises,21
,"Stump Cross, Halifax, HX3 7AA",68872701,7900,Showroom And Premises,3
,"Unit 2, 38 Sunderland Street, Halifax, HX1 5AF",68880705,3900,Store And Premises,21
Leo Sawrij Ltd,"Park Spring Quarry, Swales Moor Road, Halifax, HX3 6UF",68908701,19000,Mineral Processing Plant And Premises,21
Blackshaw Holdings Ltd,"Swales Moor Yard, Swales Moor Road, Halifax, HX3 6UF",68908712,3900,Stone Yard And Premises,17
,"12 The Old Arcade, Halifax, HX1 1TJ",69024704,19000,Shop and Premises,6
,"2 Trinity Place, Halifax, HX1 2BD",69094002,8200,Offices and Premises,6
Islamic Relief Worldwide,"4 Trinity Place, Halifax, HX1 2BD",69094004,8300,Offices And Premises,6
,"3 Trinity Place, Halifax, HX1 2BD",69094704,8400,Offices And Premises,6
Pennine Housing 2000 Ltd,"91 Turner Avenue South, Illingworth, Halifax, HX2 8EF",69116091,2400,Shop and Premises,18
Pennine Housing 2000 Ltd,"95 Turner Avenue South, Illingworth, Halifax, HX2 8EF",69116095,2325,Community Centre And Premises,18
Homes & Communities Agency,"2ND Floor, 25B Union Street, Halifax, HX1 1PR",69144709,1550,Store And Premises,13
,"Part First Floor, 25B Union Street, Halifax, HX1 1PR",69144710,6000,Offices and Premises,21
,"Part First Floor, 25B Union Street, Halifax, HX1 1PR",69144711,6700,Offices and Premises,21
Due West Ltd,"16-18 Union Street, Halifax, HX1 1PR",69144716,14500,Shop And Premises,3
Bon Bon Milk Bars [Halifax] Ltd,"21/23 Union Street, Halifax, HX1 1PR",69144717,16250,Shop and Premises,3
,"23 Union Street South, Halifax, HX1 2LE",69148708,2125,Shop and Premises,18
Blackshaw Holdings Ltd,"Queen Victoria Inn, 10/12 Victoria Place, Bradford Road, Northowram           HX3 7HY",69192700,9400,Public House and Premises,3
Sipp Deal Trustees Ltd,"3 Victoria Street, Greetland, Halifax, HX4 8DF",69204003,3700,Surgery And Premises,21
,"Victoria Street, Greetland, Halifax, HX4 8DF",69204700,1800,Shop and Premises,18
Cobbett Environmental Ltd,"The Cobbett Centre, Village Street, Norwood Green, Halifax              HX3 8QG",69208704,16000,Offices and Premises,21
Cobbett Environmental Ltd,"The Cobbett Centre, Village Street, Norwood Green, Halifax              HX3 8QG",69208705,1150,Office,18
,"Grove Mill Yard, Shelf, Halifax, HX3 7PF",69216702,4300,Workshop And Premises,21
,"Shelf Library, 11 Wade House Road, Shelf, Halifax             HX3 7PB",69216708,1,Library And Premises,18
Bostocks Boyce Welch Ltd,"Bbw Business Centre 2ND Flr, 12 Wade House Road, Shelf, Halifax              HX3 7PB",69216727,1550,Offices And Premises,18
,"5 Shelf Mills, Wade House Road, Shelf, Halifax              HX3 7BJ",69216738,193000,Factory And Premises,21
W.Y.P.T.E,"Bus Station, Wade Street, Halifax, HX1 1SN",69220707,25750,Cafe and Premises,21
H.R Goodale [ Northern] Ltd,"Star Garage, Wakefield Road, Halifax, HX3 0TP",69240707,6100,Workshop And Premises,21
,"Telecommunications Mast, Site Ref  WYK0172, Denholmegate Road, Hipperholme",69240713,5300,Communication Station and Premises,17
,"R/O 109 Wakefield Road, Lightcliffe, Halifax, HX3 8SH",69248706,1100,Store And Premises,13
,"Wallace Street, Halifax, HX1 3TZ",69252700,15500,Factory and Premises,12
,"The Theatre, 1A Wards End, Halifax, HX1 1DD",69264700,69500,Club and Premises,6
,"First Floor, 8 Wards End, Halifax, HX1 1BX",69264723,4350,Offices and Premises,6
,"Part Basement, 2 Wards End, Halifax, HX1 1DD",69264730,880,Store And Premises,13
Gallyville Ltd,"1ST Floor, Southgate House, Wards End, Halifax              HX1 1BX",69264733,45000,Offices And Premises,21
Gallyville Ltd,"Base, 2ND, 3RD & 4TH Floors, Southgate House, Wards End, Halifax              HX1 1BX",69264741,85500,Offices And Premises,21
Beer And Wine Direct.Com Ltd,"Ground Floor, 2 Wards End, Halifax, HX1 1DD",69264743,13750,Shop And Premises,21
,"Part Basement, 2 Wards End, Halifax, HX1 1DD",69264744,1650,Store And Premises,13
Friarshill Ltd,"Unit 10A Washer Lane Works, Washer Lane, Halifax, HX2 7DX",69296723,1925,Workshop And Premises,13
Friarshill Ltd,"Part Unit 10, Washer Lane Works, Washer Lane, Halifax             HX2 7DX",69296724,1925,Workshop And Premises,18
Wharfedale Finance Co Ltd,"Car Park, Water Lane, Halifax, HX3 9HG",69300702,2200,Car Park,13
,"24 Waterhouse Street, Halifax, HX1 1UQ",69304024,3050,Shop and Premises,21
,"30 Waterhouse Street, Halifax, HX1 1UQ",69304030,3850,Shop and Premises,21
Claybar Ltd,"3 Waterhouse Street, Halifax, HX1 1XX",69304700,13000,Gymnasium And Premises,21
City Centre Restaurants (Uk) Ltd,"Above Waterhouse Street, Halifax, HX1 1UG",69304704,1325,Store And Premises,6
,"Wellington Street South, Halifax, HX1 2LU",69324709,1975,Workshop,18
,"Wellington Street South, Halifax, HX1 2LU",69324710,2025,Store,13
Marshalls Mono Ltd,"Hall Ings, West Lane, Southowram, Halifax              HX3 9RG",69352706,9300,Offices And Premises,21
Marshalls Mono Ltd,"Hall Ings, West Lane, Southowram, Halifax              HX3 9RG",69352707,10500,Offices And Premises,21
Marshalls Mono Ltd,"Remote Store, Hall Ings, West Lane, Southowram, Halifax              HX3 9RG",69352708,8200,Warehouse And Premises,21
C F K Developments (Croft Myl) Llp,"Croftmyl, West Parade, Halifax, HX1 2EQ",69360704,14750,Day Nursery and Premises,21
Halifax Property Services Ltd,"West Parade Ind Est, West Parade, Halifax, HX1 2TE",69360709,2075,Workshop And Premises,13
White Rose Non Wovens Ltd,"Arches Street, Halifax, HX1 2SY",69360715,1900,Workshop And Premises,13
,"Basement, Waterloo House Two, West Parade, Halifax             HX1 2TE",69360719,2950,Store And Premises,21
Halifax Property Services Ltd,"Basement Right Hand, Jubilee Mill, West Parade, Halifax              HX1 2TA",69360723,2075,Store And Premises,18
C F K 052 Llp,"Office B10 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",69360730,1325,Offices and Premises,13
C F K 052 Llp,"Office B18 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",69360733,1625,Offices and Premises,13
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A7, West Parade, Halifax              HX1 2EQ",69360753,2250,Offices And Premises,18
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A6, West Parade, Halifax              HX1 2EQ",69360754,2250,Offices And Premises,13
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A4, West Parade, Halifax              HX1 2EQ",69360755,680,Offices And Premises,18
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A1, West Parade, Halifax              HX1 2EQ",69360756,1500,Offices And Premises,13
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A2, West Parade, Halifax              HX1 2EQ",69360757,1975,Offices And Premises,18
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A8, West Parade, Halifax              HX1 2EQ",69360758,3900,Offices And Premises,21
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A3, West Parade, Halifax              HX1 2EQ",69360759,3250,Offices And Premises,21
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A5, West Parade, Halifax              HX1 2EQ",69360760,3600,Offices And Premises,21
,"West View Garage, Boothtown, Halifax, HX3 6PG",69372701,4650,Workshop And Premises,21
Cullingworth Commericials & Freight Services Ltd,"Lumbrook Mills, Westercroft Lane, Shelf, Halifax              HX3 7TY",69388706,24500,Warehouse And Premises,21
Cullingworth Commercials & Freight Services Ltd,"Mezzanine Office 8, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",69388708,1250,Office,13
Cullingworth Commercials & Freight Services Ltd,"Mezzanine Office 9, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",69388709,1250,Office,13
Cullingworth Commercials & Freight Services Ltd,"Mezzanine 0FFICE 10, Westercroft Lane, Halifax, HX3 7TY",69388710,1250,Office,13
Cullingworth Commercials & Freight Services Ltd,"Mezzanine Office 11, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",69388711,5500,Office,21
Cullingworth Commercials & Freight Services Ltd,"First Floor Offices, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",69388712,27750,Offices and Premises,21
Cullingworth Commercials & Freight Services Ltd,"Stores (Under Mezz Offices), Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY",69388713,5400,Store And Premises,21
Cullingworth Commercials & Freight Services Ltd,"Lumbrook Mills, Westercroft Lane, Halifax, HX3 7TY",69388717,5100,Offices and Premises,21
,"Stainland Community Centre, Westgate, Stainland, Halifax             HX4 9HN",69404700,7400,Community Centre And Premises,21
,"Whitegate Fisheries, Whitegate Road, Siddal, Halifax             HX3 9AD",69432700,1950,Shop and Premises,13
,"1 Whitehall Street, Hipperholme, Halifax, HX3 8NB",69436001,2500,Shop and Premises,13
Coal Pension Properties Ltd,"3 Woolshops, Halifax, HX1 1RU",69536003,76000,Shop and Premises,21
Lister Horsfall Ltd,"4 Woolshops, Halifax, HX1 1RU",69536004,67000,Shop and Premises,21
Coal Pension Properties Ltd,"12 Woolshops, Halifax, HX1 1RU",69536012,50000,Shop and Premises,21
Coal Pension Properties Ltd,"19 Woolshops, Halifax, HX1 1RU",69536019,41000,Shop and Premises,21
Everything Everywhere Ltd,"Telecomms Mast, Site Ref Wyk 7046, Windle Royd Lane, Halifax              HX2 7LY",69585703,3200,Communication Station and Premises,17
,"Bankfoot House, Bankfoot, Hebden Bridge, HX7 6BS",76024701,2600,Surgery And Premises,21
E.P.I.C Plc,"28 Bridge Gate, Hebden Bridge, HX7 8EX",76060028,3000,Offices and Premises,21
Bradford Property Restoration Ltd,"2 West End, Hebden Bridge, HX7 8UQ",76060701,2050,Garage And Premises,18
Thornber Chicks Ltd,"Units 1A & 1B, Brier Hey, Burnley Road, Mytholmroyd          HX7 5PF",76068702,8600,Offices and Premises,3
Co-Operative Group Ltd,"Units 3-7, Burnley Road Garage, Mytholmroyd, Hebden Bridge        HX7 5LH",76088743,21500,Laboratory And Premises,21
,"11 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",76088762,1375,Offices and Premises,13
Industrials Uk Ltd Partnership,"White Lee Estates Office, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",76088829,2075,Office,3
Industrials Uk Ltd Partnership,"Wessex House, Caldene Business Park, Mytholmroyd, Hebden Bridge        HX7 5QJ",76088848,5300,Store And Premises,12
,"Unit 6, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",76088872,2000,Factory and Premises,13
,"Unit 5, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",76088876,1825,Factory and Premises,13
Wattlid Ltd,"Unit 12C, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ",76088898,7800,Warehouse And Premises,12
Network Rail Ltd,"Whiteley Garage, Calderside, Oakville Road, Hebden Bridge        HX7 6NG",76100700,1300,Land Used For Storage and Premises,13
,"21 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LN",76104700,4150,Club and Premises,21
T D Jagger Ltd,"6 Cheetham Street, Hebden Bridge, HX7 8EW",76132006,3600,Betting Shop And Premises,3
Thornber Chicks Ltd,"Unit 8F, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU",76156729,6000,Workshop And Premises,21
Thornber Chicks Ltd,"Unit 1, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",76160753,2650,Workshop And Premises,21
Thornber Chicks Ltd,"Unit 10D, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RW",76160783,3400,Offices and Premises,3
Thornber Chicks Ltd,"Unit 10B, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",76160790,6600,Offices and Premises,3
Thornber Chicks Ltd,"Unit 4E, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",76160799,3600,Offices And Premises,3
Thornber Chicks Ltd,"2C Dean Hey Country Bus Park, Cragg Road, Mytholmroyd, HX7 5RU",76160817,26500,Offices And Premises,21
Thornber Chicks Ltd,"Unit 2B Dean Hey C'Try B Pk, Cragg Road, Mytholmroyd, HX7 5RU",76160819,8700,Offices And Premises,21
Thornber Chicks Ltd,"Unit 11C, Topland Country Busn.Pk, Cragg Road, Mytholmroyd          HX7 5RU",76160821,7900,Offices And Premises,21
,"Hoo Hole Farm Cottage, Cragg Vale, Hebden Bridge, HX7 5HA",76164703,195,Camping Site And Premises,13
Sackville Spf Iv (Gp) No. 3 Ltd,"2 Crown Street, Hebden Bridge, HX7 8EH",76176002,7900,Surgery And Premises,21
Bradbury Bathrooms Hebden Bridge Ltd,"2 Carlton House, Crown Street, Hebden Bridge, HX7 8ES",76176704,18750,Shop and Premises,21
Royal Bank Of Scotland Plc,"2 Crown Street, Hebden Bridge, HX7 8EH",76176709,1575,Store And Premises,13
Natwest Bank Plc,"2 Crown Street, Hebden Bridge, HX7 8EH",76176710,14750,Bank And Premises,21
Setbray Properties Ltd,"Adj 29 Crown Street, Hebden Bridge, HX7 8EH",76176715,205,Store And Premises,13
,"3a Crown Street, Hebden Bridge, HX7 8EH",76176721,5400,Salon And Premises,21
,"Spring Grove Stables, Foster Lane, Hebden Bridge, HX7 8JX",76212703,2550,Garage And Premises,18
Setbray Properties Ltd,"Suite 2 Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",76244726,6100,Offices and Premises,21
,"13 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",76252013,2550,Shop And Premises,18
,"Unit 3A, Hawksclough Industrial Est, Burnley Road, Mytholmroyd          HX7 5AD",76252789,2275,Warehouse And Premises,18
,"Unit 3B, Hawksclough Industrial Est, Burnley Road, Mytholmroyd          HX7 5AD",76252792,2475,Warehouse And Premises,18
Millcraft Associates,"Unit 4 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HG",76256708,1050,Workshop And Premises,18
Millcraft Associates,"Unit 7 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",76256712,710,Workshop And Premises,12
Millcraft Associates,"Unit 16, Hebble End Mill, Hebble End, Hebden Bridge       HX7 6HJ",76256719,1500,Millshop And Premises,18
,"Basement Unit 18, Hebble End Mill, Hebble End, Hebden Bridge       HX7 6HJ",76256731,430,Store And Premises,13
Millcraft Associates,"Unit 21b, Hebble End, Hebden Bridge, HX7 6HJ",76256732,1150,Store And Premises,18
Drew Forsyth & Co,"Unit 2A Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ",76256761,2650,Offices And Premises,21
,"Unit 1D & Remainder, Beehive Mills, Hebble End, Hebden Bridge        HX7 6HJ",76256781,1675,Warehouse And Premises,13
Millcraft Associates,"Unit 11 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",76256783,1025,Store &  Premises,18
,"1st & Part Ground Floor, Holme End, Hebden Bridge, HX7 8NX",76284712,2125,Workshop And Premises,18
,"Unit 12B Holme End Works, Holme End, Hebden Bridge, HX7 8NX",76284722,980,Land Used For Storage and Premises,13
,"Hollins Top Workshop, Lee Wood Road, Hebden Bridge, HX7 7EQ",76332700,650,Workshop And Premises,13
,"Machpelah Works, Machpelah, Hebden Bridge, HX7 8AU",76356701,4550,Workshop And Premises,6
,"2nd Floor, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU",76356702,3600,Workshop And Premises,6
,"Part Ground Floor, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU",76356705,1500,Workshop And Premises,6
,"Part Ground Floor, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU",76356706,820,Workshop And Premises,6
Seddon Homes Ltd,"Melbourne Street, Hebden Bridge, HX7 6AP",76364704,1225,Store And Premises,18
Seddon Homes Ltd,"Melbourne Street, Hebden Bridge, HX7 6AS",76364706,680,Workshop And Premises,13
,"Part 1st Floor, Mount Pleasant House, Midgley Road, Mytholmroyd         HX7 5LR",76372704,325,Store And Premises,18
,"Mount Pleasant Mill Yard, Midgley Road, Mytholmroyd, Hebden Bridge       HX7 5LR",76372708,530,Store,13
,"1ST Flr, Mount Pleasant Hse, Midgley Road, Mytholmroyd, Hebden Bridge        HX7 5LR",76372711,465,Store And Premises,13
,"Mount Pleasant House, Midgley Road, Mytholmroyd, Hebden Bridge        HX7 5LR",76372713,370,Store And Premises,13
Hebden Properties Ltd,"Holme House, Self Catering Apartment, New Road, Hebden Bridge        HX7 8AD",76396734,1750,Self Catering Holiday Unit And Premises,13
Craggs Country Business Park Llp,"Suite 7 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",76400722,870,Offices And Premises,18
Craggs Country Business Park Llp,"Suite 9 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",76400726,870,Offices And Premises,18
Craggs Country Business Park Llp,"Suite 3 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",76400727,1075,Offices And Premises,13
,"9 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",76408009,1650,Shop and Premises,18
,"18/20 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",76408018,970,Store And Premises,13
Butterworth Properties Ltd,"Part Old Town Mill, Wadsworth, Hebden Bridge, HX7 8TE",76420715,1800,Warehouse And Premises,13
,"The Cellar, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",76420720,2500,Workshop And Premises,18
,"Garage 1, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",76420725,1400,Store And Premises,18
,"F'Mr W'House At Beard Ents, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",76420727,5500,Warehouse And Premises,6
,"Redacre, Red Acre Lane, Mytholmroyd, Hebden Bridge        HX7 5DQ",76436700,2100,Workshop And Premises,18
,"Part 3rd Floor, Mount Pleasant Mill, Mytholmroyd, Hebden Bridge       HX7 5NR",76444706,1925,Workshop And Premises,6
,"The Yard Studio, Mount Pleasant Mill, Midgley Road, Mytholmroyd         HX7 5LR",76444718,1000,Studio And Premises,6
,"Unit 10a Mount Pleasant Mill, Midgley Road, Mytholmroyd, Hebden Bridge       HX7 5LR",76444720,1125,Store And Premises,6
Calderdale Mbc Children & Young People's Services,"Stubb Playing Fields, Mytholmroyd, Hebden Bridge, HX7 5AP",76452700,1275,Changing Rooms And Premises,18
Thornber Chicks Ltd,"4A Orchard Business Park, Scout Road, Mytholmroyd, Hebden Bridge        HX7 5HZ",76468721,6900,Warehouse And Premises,12
Thornber Chicks Ltd,"Unit 1A Orchard Business Prk, Scout Road, Mytholmroyd, Hebden Bridge        HX7 5HZ",76468723,5100,Workshop And Premises,21
Hebden Bridge Community Association,"Unit 8 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",76500712,1275,Offices And Premises,3
Hebden Bridge Community Association,"Unit 9 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",76500713,950,Offices And Premises,18
Hebden Bridge Community Association,"Unit 16 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",76500736,1125,Offices And Premises,3
Hebden Bridge Community Association,"Units 10-14 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",76500751,11500,Offices And Premises,3
Hebden Bridge Community Association,"Unit 33 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",76500753,1925,Offices And Premises,18
,"Unit 3, Bridge Mill, St Georges Square, Hebden Bridge       HX7 8ET",76508707,860,Workshop And Premises,6
