PROPREF,PROPERTY_DESCRIPTION,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_AS_AT_TODAY
29080029,Shop and Premises,"29 Bradford Road, Brighouse, HD6 1RW",,13250,01/04/1990,SBR
29080030,Shop and Premises,"30 Bradford Road, Brighouse, HD6 1RW",,9000,01/05/2013,SBR
29080031,Training Rooms,"1ST Floor, 29/31 Bradford Road, Brighouse, HD6 1RW",Taylors Training Ltd,4950,01/09/1997,SBR
29080032,Shop and Premises,"32 Bradford Road, Brighouse, HD6 1RW",,6600,06/12/2013,SBR
29080033,Shop and Premises,"33 Bradford Road, Brighouse, HD6 1RW",Fabulous Stuff & Nonsense Ltd,11750,15/08/2012,SBR
29080035,Bank And Premises,"35 Bradford Road, Brighouse, HD6 4AS",Lloyds Bank Plc,20250,04/07/1993,
29080036,Shop and Premises,"36 Bradford Road, Brighouse, HD6 1RW",,8700,01/04/1990,SBR
29080042,Club and Premises,"42 Bradford Road, Brighouse, HD6 1RY",Blakes Social Club Ltd,9300,06/07/2015,SBR
29080046,Offices And Premises,"1ST Floor, 46 Bradford Road, Brighouse, HD6 1RY",Yibp Uk Ltd,7900,01/06/2015,SBR
29080048,Surgery And Premises,"Ground Floor, 46/48 Bradford Road, Brighouse, HD6 1RY",S & S Care Ltd,11500,02/11/2009,SBR
29080050,Offices and Premises,"50 Bradford Road, Brighouse, HD6 1RY",W H P Quantity Surveying Ltd,8800,10/12/2005,SBR
29080071,Offices and Premises,"71 Bradford Road, Brighouse, HD6 1RS",Armytage Sykes Solicitors Ltd,12000,01/04/1990,SBR
29080073,Club and Premises,"73 Bradford Road, Brighouse, HD6 4AD",,31750,05/11/2014,
29080078,Cafe and Premises,"78 Bradford Road, Brighouse, HD6 4AA",,3550,23/03/2016,SBR
29080128,Offices And Premises,"128 Bradford Road, Brighouse, HD6 4AU",Angel Wings Homecare Ltd,2550,01/09/2013,SBR
29080141,Shop and Premises,"141/143 Bradford Road, Brighouse, HD6 4AD",,7100,14/09/1998,SBR
29080145,Shop and Premises,"145 Bradford Road, Brighouse, HD6 4AD",,2400,15/07/2011,SBR
29080147,Shop and Premises,"147 Bradford Road, Brighouse, HD6 4AS",,3250,01/04/1990,SBR
29080159,Shop and Premises,"159 Bradford Road, Brighouse, HD6 4AS",,3700,01/02/2010,SBR
29080229,Shop and Premises,"229 Bradford Road, Brighouse, HD6 4BN",,4950,14/04/2014,SBR
29080255,Warehouse And Premises,"255 Bradford Road, Brighouse, HD6 4BN",,8300,20/05/1991,SBR
29080364,Site Of Atm And Premises,"Atm At, 364 Bradford Road, Brighouse, HD6 4DH",Clydesdale Bank Plc,3750,27/04/2015,SBR
29080408,Restaurant and Premises,"407 Bradford Road, Brighouse, HD6 4BT",Premium Restaurants Ltd,62000,26/06/2006,
29080611,Cafe and Premises,"611 Bradford Road, Brighouse, HD6 4DN",Bailiff Bridge Cafe Ltd,6300,01/03/2007,SBR
29080613,Shop and Premises,"613 Bradford Road, Brighouse, HD6 4DN",,4200,15/12/2012,SBR
29080700,Workshop And Premises,"Bradford Road, Brighouse, HD6 1RY",HD6 Tyres & Service Centre Ltd,7200,03/11/2015,SBR
29080703,Police Station And Premises,"Brighouse Police Station, Bradford Road, Brighouse, HD6 4AA",West Yorks Police Authority,32250,01/04/2001,
29080705,Warehouse And Premises,"St Peg Mills, Bradford Road, Brighouse, HD6 4AU",Wiley Accessories Ltd,53500,01/04/2002,
29080716,Restaurant and Premises,"44 Bradford Road, Brighouse, HD6 1RY",Great Wall China Ltd,17500,01/04/2013,SBR
29080717,Offices and Premises,"46 Bradford Road, Brighouse, HD6 1RY",Starcast Productions Ltd,4500,27/06/2015,SBR
29080719,Offices And Premises,"Bonegate House, 69 Bradford Road, Brighouse, HD6 1RS",Panda Media Productions Ltd,14250,18/03/2010,SBR
29080720,Public House and Premises,"The Beck, 157 Bradford Road, Brighouse, HD6 4AS",George Olivia Pub Co Ltd,10400,25/04/2013,SBR
29080721,Restaurant And Premises,"Martins Nest Inn, 219 Bradford Road, Brighouse, HD6 4AS",,17500,01/08/2011,SBR
29080722,Advertising Right,"229 Bradford Road, Brighouse, HD6 4BN",Primesight Ltd,980,01/09/2009,SBR
29080723,Offices and Premises,"65a Bradford Road, Brighouse, HD6 1RS",Howell Goodfellow Ltd,5500,01/04/2016,SBR
29080724,Shop and Premises,"24/26 Bradford Road, Brighouse, HD6 1RW",,14500,01/04/1990,SBR
29080725,Advertising Right And Premises,"Adj 42 Bradford Road, Brighouse, HD6 1RY",Primesight Ltd,1325,01/09/2009,SBR
29080727,Advertising Right And Premises,"Adj 217 Bradford Road, Brighouse, HD6 4AS",,365,07/12/2012,SBR
29080730,Offices And Premises,"11A Bradford Road, Brighouse, HD6 1RW",,3800,24/03/2015,ER
29080732,Day Nursery And Premises,"254/256 Bradford Road, Brighouse, HD6 4BW",Hipperholme & Lightcliffe Day Nurseries Ltd,39750,12/02/2010,
29080733,Advertising Right And Premises,"Advertising Right 2018, 36 Bradford Road, Brighouse, HD6 1RW",Insite Poster Properties Ltd,1625,01/01/2013,EX
29080737,Advertising Right and Premises,"Gable, 145 Bradford Road, Brighouse, HD6 4AD",Clear Channel (Uk) Ltd,980,01/06/1994,SBR
29080741,Car Wash And Premises,"Adj 407 Bradford Road, Brighouse, HD6 4BT",Anduff Car Wash Ltd,21000,25/10/1996,
29080742,Offices and Premises,"St Pegs House, Thornhill Beck Lane, Brighouse, HD6 4AW",Jcc Inspire Llp,29000,25/06/2012,
29080750,Advertising Right and Premises,"Advertising Right, Board No. 4706/01-03, Bradford Road, Brighouse",Outdoor Systems Ltd,4100,07/01/2013,SBR
29080753,Communication Station and Premises,"Telecommunications Mast, Site Ref HD0009 N Vale Mills, Bradford Road, Brighouse            HD6 4DJ",,8400,02/10/2009,EX
29080761,Offices and Premises,"Part Second Floor, Clifton House, Bradford Road, Brighouse            HD6 4EJ",Hillside Services Ltd,17000,07/06/2005,SBR
29080766,Day Nursery and Premises,"Wellholme Park, Childrens Centre, Bradford Road, Brighouse            HD6 4AF",North Halifax Partnership Ltd,18750,01/07/2014,DOR
29080769,Play Centre And Premises,"Wellholme Garage, 1ST Floor, 74 Bradford Road, Brighouse            HD6 4AA",,8800,25/06/2016,SBR
29080771,Shop and Premises,"63 Bradford Road, Brighouse, HD6 1RS",,4500,21/12/2008,SBR
29080772,Car Showroom And Premises,"Wellholme Garage, 74 Bradford Road, Brighouse, HD6 4AA",J C Bates & Sons Ltd,37000,01/12/2008,
29080773,Store &  Premises,"Unit 11 Heaton Estate, Bradford Road, Brighouse, HD6 4BW",Klassiker 911 Ltd,6500,01/04/2014,SBR
29080777,Land Used For Storage and Premises,"Unit 23, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Marrtree Investments Limited,1325,02/10/2011,EX
29080779,Warehouse And Premises,"Unit 12, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",,5700,17/03/2014,SBR
29080781,Shop and Premises,"2/4 Bradford Road, Brighouse, HD6 1RW",Websters Interiors Limited,30000,10/10/2009,
29080782,Offices And Premises,"R/O 63 Bradford Road, Brighouse, HD6 1RS",,4350,08/07/2015,SBR
29080784,Offices And Premises,"Ground Floor & Basement, 67 Bradford Road, Brighouse, HD6 1RS",,4800,26/04/2010,SBR
29080787,Sponsored Roundabout,"Roundabout Flower Bed, Junction Ludenscheild Link, Bradford Road, Brighouse            HD6 4DH",Calderdale Mbc,150,01/06/2010,SBR
29080790,Workshop And Premises,"Units 8,9,14 & 15, Heaton Estate, Bradford Road, Brighouse            HD6 4BW",Quickslide Ltd,142000,21/11/2011,
29080793,Offices And Premises,"126 Bradford Road, Brighouse, HD6 4AU",Symphony Financial Advisors Ltd,5100,01/08/2013,SBR
29080794,Shop and Premises,"34 Bradford Road, Brighouse, HD6 1RW",,8000,16/03/2016,SBR
29080795,Cafe And Premises,"59/61 Bradford Road, Brighouse, HD6 1RS",,6700,10/07/2014,SBR
29080798,Petrol Filling Station And Premises,"364 Bradford Road, Brighouse, HD6 4DH",Z A Service Station Ltd,8200,27/04/2015,SBR
29080799,Workshop And Premises,"Units 5-6, Heaton Industrial Park, Bradford Road, Brighouse            HD6 4DJ",Wyke Plastics Ltd,10750,01/02/2015,SBR
29080800,Workshop And Premises,"Gf U1-2, Ff U1-3, 2 Fl U1, Heaton Industrial Park, Bradford Road, Brighouse            HD6 4DJ",Blackhall Engineering Ltd,18750,01/02/2015,ER
29080801,Warehouse And Premises,"Units 4, Heaton Industrial Park, Bradford Road, Brighouse            HD6 4DJ",Performance Porsche Ltd,18250,01/02/2015,
29080804,Karate School,"Unit 2B, A1 Business Park, 370 Bradford Road, Brighouse            HD6 4DJ",,4500,01/05/2013,SBR
29080805,Shop Store and Premises,"Unit 2-5, A1 Business Park, 370 Bradford Road, Brighouse            HD6 4DJ",A1 Tools & Fixings Ltd,37000,01/05/2013,
29084535,Workshop And Premises,"Unit 1, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",,9000,01/09/2013,SBR
29084607,Shop and Premises,"607 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,2850,06/04/2008,SBR
29084609,Shop and Premises,"609 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,4000,01/06/1995,SBR
29084615,Shop and Premises,"615 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",Healthy Living Pharmacy Ltd,4950,01/06/2007,SBR
29084617,Hairdressing Salon and Premises,"617 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,7000,29/10/2004,SBR
29084619,Shop and Premises,"619 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DL",,3300,01/11/2012,SBR
29084621,Shop and Premises,"621 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,3600,18/11/2009,SBR
29084623,Beauty Salon And Premises,"623 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,3400,01/06/2015,SBR
29084625,Shop and Premises,"625 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,2700,22/11/2013,SBR
29084627,Shop and Premises,"627 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,3900,14/02/2004,SBR
29084629,Surgery And Premises,"629 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",Bailiff Bridge Dental Practice Ltd,5800,01/04/1990,SBR
29084633,Shop and Premises,"633c Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,6900,16/06/2014,SBR
29084637,Shop and Premises,"637/643 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DY",Waddington Carpets Ltd,13250,01/10/2010,SBR
29084647,Shop And Premises,"647/651 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DY",,21000,20/06/2006,
29084704,Club and Premises,"Birkby Lane, Bailiff Bridge, Brighouse, HD6 4EW",The Clifton & Lightcliffe Subscription Band Association,2225,01/01/2005,MCR
29084705,Warehouse And Premises,"Unit 21 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse           HD6 4EA",Marrtree Investments Limited,8000,09/02/2016,EX
29084706,Factory and Premises,"Cedar House, Bradford Road, Brighouse, HD6 4DJ",Blackhall Engineering Ltd,70500,01/04/1990,
29084709,Warehouse And Premises,"North Vale Mills, Bradford Road, Brighouse, HD6 4DJ",North Vale Doubling Co Ltd,17750,01/04/1990,SBR
29084712,Warehouse And Premises,"Unit 1, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",A & B Surface Markings Ltd,10000,05/01/2015,SBR
29084719,Workshop And Premises,"Unit 2, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",John Walton (Machine Tools) Ltd,5900,01/02/2015,SBR
29084720,Workshop And Premises,"Unit 22, Branxholme Industrial Est., Bradford Road, Brighouse            HD6 4EA",Oiltech Europe Ltd,8400,08/12/2014,SBR
29084721,Workshop And Premises,"Unit 3, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",,5400,25/01/2006,SBR
29084722,Warehouse And Premises,"Unit 4, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",,5400,14/05/2013,ER
29084724,Warehouse And Premises,"Unit 7, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",,5700,16/12/2011,SBR
29084732,Store And Premises,"Unit 13, Calder Industrial Estate, 370 Bradford Road, Brighouse            HD6 4DJ",,3500,09/07/1994,SBR
29084735,Workshop And Premises,"Unit 8, Calder Industrial Estate, 370 Bradford Road, Brighouse            HD6 4DJ",,3550,01/04/2011,SBR
29084736,Warehouse And Premises,"Calder Industrial Park, Bradford Road, Brighouse, HD6 4DJ",Ceramix Ltd,7200,01/04/1990,SBR
29084737,Warehouse And Premises,"Unit 1, 370 Bradford Road, Brighouse, HD6 4DJ",Calder Metal Spinning Co Ltd,14250,01/07/1994,SBR
29084739,Workshop And Premises,"Unit 6 & 7, 370 Bradford Road, Brighouse, HD6 4DJ",White Rose Windows Ltd,10250,01/06/2013,SBR
29084740,Offices And Premises,"635 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DY",Clearwell Pest Control Services Ltd,20000,07/03/2011,
29084741,Shop and Premises,"633a Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,4050,09/04/2016,SBR
29084742,Shop and Premises,"633b Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,3100,12/10/2013,SBR
29084743,Vehicle Repair Workshop And Premises,"Summerfield Garage, 535 Bradford Road, Bailiff Bridge, Brighouse           HD6 4DL",,10250,14/11/2000,SBR
29084746,Hairdressing Salon and Premises,"635A Bradford Road, Bailiff Bridge, Brighouse, HD6 4DY",,2500,24/05/2005,SBR
29084755,Workshop And Premises,"Units 10 & 12, A1 Business Park, 370 Bradford Road, Brighouse            HD6 4DJ",B.L.S Asbestos Ltd,13000,01/04/2007,SBR
29084756,Offices,"Unit 2A, Calder Business Park, 370 Bradford Road, Brighouse           HD6 4DJ",,5600,01/06/2013,SBR
29084759,Workshop And Premises,"Unit 10A, Calder Business Park, 370 Bradford Road, Brighouse           HD6 4DJ",B.L.S Asbestos Ltd,3550,01/02/2011,SBR
29084763,Workshop And Premises,"Unit 16 Heaton Industrial Pk, Bradford Road, Brighouse, HD6 1EA",Wyke Plastics Ltd,33000,01/04/2013,
29084766,Communication Station and Premises,"Telecommunications Mast, Site Ref  1881, 54 Bradford Road, Brighouse            HD6 1RY",,10000,01/04/1997,SBR
29084782,Warehouse And Premises,"Unit 5 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",Traffic Management Technologies Ltd,5800,23/12/2014,SBR
29084783,Warehouse And Premises,"Unit 6 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",Energy Renovation Systems Ltd,7600,25/11/2013,SBR
29084784,Workshop And Premises,"The Shed, Clifton Mills, Bradford Road, Brighouse            HD6 4EJ",Monarch Artstone Ltd,17750,01/01/2004,SBR
29084792,Warehouse And Premises,"Unit 1 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",M G Lifestyle (Uk) Ltd,8600,04/09/2012,SBR
29084793,Warehouse And Premises,"Unit 2 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",Mr David Smith,8600,11/02/2008,SBR
29084794,Warehouse And Premises,"Unit 3 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,8600,06/08/2012,SBR
29084795,Warehouse And Premises,"Unit 4 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",Overgate Hospice Support Ltd,8600,01/08/2011,DCR MCR
29084796,Warehouse And Premises,"Unit 5 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,8600,01/04/2016,SBR
29084797,Warehouse And Premises,"Unit 6 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,8600,27/01/2014,SBR
29084798,Warehouse And Premises,"Unit 7 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,8600,24/01/2011,SBR
29084799,Vehicle Repair Workshop And Premises,"Unit 8 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,8600,01/03/2010,SBR
29084800,Warehouse And Premises,"Unit 9 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",Matrix Facility Management Ltd,8600,26/05/2015,SBR
29084801,Warehouse And Premises,"Unit 10 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",Blackshaw Holdings Ltd,8600,16/05/2011,SBR
29084802,Warehouse And Premises,"Unit 11 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",Home And Garden Bargains Ltd,8600,04/01/2016,SBR
29084804,Warehouse And Premises,"Warehouse, Clifton Mills, Bradford Road, Bailiff Bridge       HD6 4EJ",Sigmat Ltd,81500,01/04/2015,
29084805,Store And Premises,"Garage Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",Joseph Fee Builders,3200,29/04/2013,SBR
29084807,Gym And Premises,"Bridges Fitness Centre, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",,16250,01/01/2008,SBR
29084809,Store And Premises,"Unit B4 Ground Floor, Clifton House, Bradford Road, Bailiff Bridge       HD6 4EJ",,2600,18/04/2016,SBR
29084810,Offices and Premises,"Part 2ND Floor Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",Blackshaw Holdings Ltd,14500,27/03/2012,ER
29084814,Factory and Premises,"3RD Flr Space Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",Blackshaw Holdings Ltd,6200,01/04/2009,ER
29084815,Offices And Premises,"St Aidens Chapel, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",Oiltech Europe Ltd,15000,01/04/2012,SBR
29084816,Dance Studio And Premises,"B1 Ground Floor, Clifton House, Bradford Road, Brighouse            HD6 4EJ",,7200,01/04/2010,SBR
29084822,Office,"Office 3 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",Blackshaw Holdings Ltd,1825,20/06/2015,EX
29084823,Office,"Office 4 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",Blackshaw Holdings Ltd,2375,20/06/2015,EX
29084824,Office,"Suite 5 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",Blackshaw Holdings Ltd,2225,27/10/2015,EX
29084825,Office,"Suite 6 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",Blackshaw Holdings Ltd,2425,29/09/2015,EX
29084827,Office,"Office 7 First Floor, Clifton House, Bradford Road, Bailiff Bridge",Supply Education Ltd,4100,10/11/2014,SBR
29084830,Workshop And Premises,"Unit 3, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",,6700,01/03/2014,SBR
29084831,Workshop And Premises,"Unit 8 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",Paradigm Shift Training Ltd,6000,10/10/2014,SBR
29084832,Workshop And Premises,"Unit 9 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",,5500,07/10/2011,SBR
29084833,Warehouse And Premises,"Unit 12B Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,6400,07/11/2011,SBR
29084834,Warehouse And Premises,"Unit 12A Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",Property Projections Ltd,6700,07/11/2011,SBR
29084835,Workshop And Premises,"Unit 2, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",,6600,27/06/2012,SBR
29084837,Warehouse And Premises,"Unit 13, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",,11250,02/05/2014,SBR
29084839,Workshop And Premises,"Prospect Works, Bradford Road, Bailiff Bridge, Brighouse            HD6 4DJ",H & C Whitehead Ltd,77000,12/05/2014,
29084840,Communication Station and Premises,"02 (17202) Rooftop, North Vale Mills, Bradford Road, Brighouse            HD6 4DJ",Telefonica Uk Ltd,8400,01/04/2010,SBR
29084841,Warehouse And Premises,"Unit 17, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Tws (Selby) Ltd,7900,16/01/2016,SBR
29084842,Warehouse And Premises,"Unit 14, Branxholme Industrial Estate, Bradford Road, Bailiff Bridge",Proplus Installation Products Limited,7900,20/02/2015,SBR
29084843,Warehouse And Premises,"Unit 20, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",North West Media Services Ltd,7900,23/07/2015,SBR
29084844,Warehouse And Premises,"Unit 19, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",North West Media Services Ltd,7900,23/07/2015,SBR
29084845,Warehouse And Premises,"Unit 18, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Confined Space Services Ltd,7900,26/05/2015,SBR
29084846,Warehouse And Premises,"Unit 16, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Tws (Selby) Ltd,7900,16/01/2016,SBR
29084847,Warehouse And Premises,"Unit 15, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",Tws (Selby) Ltd,7900,16/01/2016,SBR
29084848,Warehouse And Premises,"Unit 4, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",,6700,21/03/2015,SBR
29084849,Offices And Premises,"Suite E 1ST Floor, Clifton Mills, Bradford Road, Brighouse            HD6 4EJ",Epic Asbestos Solutions Ltd,7200,26/05/2015,SBR
29084850,Offices And Premises,"Suite F 1ST Floor, Clifton Mills, Bradford Road, Brighouse            HD6 4EJ",Energy Unique Ltd,4650,16/10/2015,SBR
29084851,Offices And Premises,"Suite A 1ST Floor, Clifton Mills, Bradford Road, Brighouse            HD6 4EJ",Firth Carpets & Flooring Ltd,4200,28/09/2015,SBR
29084852,Offices And Premises,"Suite C 1ST Floor, Clifton Mills, Bradford Road, Brighouse            HD6 4EJ",Blackshaw Holdings Ltd,1850,26/05/2015,EX
29084853,Offices And Premises,"Suite D 1ST Floor, Clifton Mills, Bradford Road, Brighouse            HD6 4EJ",Blackshaw Holdings Ltd,1800,26/05/2015,EX
