ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (�),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,02/12/2016,EARLY HELP AND SCHOOLS,TOMAX BUILDING SERVICES LTD,02/12/2016,7470.28,MINOR BUILDING WORKS,V001069320
ROCHDALE BOROUGH COUNCIL,23/12/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,23/12/2016,3850,ROADWORKS,V001069322
ROCHDALE BOROUGH COUNCIL,23/12/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,23/12/2016,5380,ROADWORKS,V001069323
ROCHDALE BOROUGH COUNCIL,23/12/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,23/12/2016,29865,ROADWORKS,V001069324
ROCHDALE BOROUGH COUNCIL,19/12/2016,CHILDREN�S SOCIAL CARE,SOFTCAT LTD,19/12/2016,-5711.16,IT EQUIPMENT,V001069348
ROCHDALE BOROUGH COUNCIL,05/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,SOFTCAT LTD,05/12/2016,1539,PURCHASE OF ICT HARDWARE,V001069350
ROCHDALE BOROUGH COUNCIL,05/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,SOFTCAT LTD,05/12/2016,7438.02,PURCHASE OF ICT HARDWARE,V001069350
ROCHDALE BOROUGH COUNCIL,05/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,05/12/2016,1810.2,AGENCY STAFF,V001069354
ROCHDALE BOROUGH COUNCIL,02/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,HENRY ALTY LIMITED,02/12/2016,614.11,"TREES, SHRUBS, PLANTS",V001069372
ROCHDALE BOROUGH COUNCIL,16/12/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,16/12/2016,4292.58,NEW CONSTRUCTION,V001069380
ROCHDALE BOROUGH COUNCIL,23/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE BANGLADESHI PARTNERSHIP PROJECT,23/12/2016,3800,GRANTS TO THE NON VOLUNTARY SECTOR,V001069385
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,PREMIERESHOW LIMITED,06/12/2016,580,TAXI HIRE,V001069393
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,PREMIERESHOW LIMITED,06/12/2016,599,TAXI HIRE,V001069393
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,PREMIERESHOW LIMITED,06/12/2016,670,TAXI HIRE,V001069393
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,PSYCHOLOGY PEOPLE,01/12/2016,1425,BASIC SALARIES,V001069404
ROCHDALE BOROUGH COUNCIL,20/12/2016,EARLY HELP AND SCHOOLS,BURY MBC,20/12/2016,18725.47,OTHER EST - SEN PROVISION,V001069413
ROCHDALE BOROUGH COUNCIL,20/12/2016,EARLY HELP AND SCHOOLS,BURY MBC,20/12/2016,28813.75,OTHER EST - SEN PROVISION,V001069414
ROCHDALE BOROUGH COUNCIL,21/12/2016,FINANCE SERVICES,ZURICH INSURANCE PLC,21/12/2016,410934.87,TRANSACTIONS-EXPENDITURE,V001069415
ROCHDALE BOROUGH COUNCIL,05/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,J A CRYER EXCAVATION & GROUNDWORK CONTRACTORS LTD,05/12/2016,2535.28,ENVIRONMENTAL WORKS LANDSCAPE,V001069419
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,06/12/2016,500,OTHER MEDICAL EXPENSES,V001069449
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,06/12/2016,500,OTHER MEDICAL EXPENSES,V001069450
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,06/12/2016,500,OTHER MEDICAL EXPENSES,V001069451
ROCHDALE BOROUGH COUNCIL,05/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,05/12/2016,500,OTHER MEDICAL EXPENSES,V001069452
ROCHDALE BOROUGH COUNCIL,05/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,05/12/2016,500,OTHER MEDICAL EXPENSES,V001069453
ROCHDALE BOROUGH COUNCIL,05/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,05/12/2016,500,OTHER MEDICAL EXPENSES,V001069454
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,JAMES HART (CHORLEY) LTD,01/12/2016,682.5,VEHICLE MAINTENANCE,V001069459
ROCHDALE BOROUGH COUNCIL,09/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,THE PENNINE ACUTE HOSPITALS NHS TRUST,09/12/2016,38394,MORTUARY CHARGES,V001069552
ROCHDALE BOROUGH COUNCIL,13/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARDIFF UNIVERSITY,13/12/2016,500,OTHER MEDICAL EXPENSES,V001069691
ROCHDALE BOROUGH COUNCIL,15/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,15/12/2016,1875,AGENCY STAFF,V001069721
ROCHDALE BOROUGH COUNCIL,07/12/2016,LEARNING DIS & MENTAL HEALTH,JGM AGENCY,07/12/2016,720,REPROGRAPHIC EXPENSES,V001069730
ROCHDALE BOROUGH COUNCIL,01/12/2016,ECONOMY DIRECTORATE,TURNER AND  TOWNSEND,01/12/2016,21583.43,OTHER SURVEYS,V001069733
ROCHDALE BOROUGH COUNCIL,07/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,07/12/2016,524.09,VEHICLE MAINTENANCE,V001069752
ROCHDALE BOROUGH COUNCIL,01/12/2016,PHYSICAL DIS & OLDER PEOPLE,ST JOHNS PLUMBING HEATING & BATHROOMS LTD,01/12/2016,1098,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V001069818
ROCHDALE BOROUGH COUNCIL,01/12/2016,PHYSICAL DIS & OLDER PEOPLE,ST JOHNS PLUMBING HEATING & BATHROOMS LTD,01/12/2016,1647,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V001069818
ROCHDALE BOROUGH COUNCIL,07/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,MILLERS OILS LIMITED,07/12/2016,1317,VEHICLE MAINTENANCE,V001069837
ROCHDALE BOROUGH COUNCIL,23/12/2016,CHILDREN�S SOCIAL CARE,THE UNIVERSITY OF SALFORD,23/12/2016,750,TRAINING,V001069953
ROCHDALE BOROUGH COUNCIL,23/12/2016,CHILDREN�S SOCIAL CARE,THE UNIVERSITY OF SALFORD,23/12/2016,750,TRAINING,V001069954
ROCHDALE BOROUGH COUNCIL,19/12/2016,CHILDREN�S SOCIAL CARE,THE UNIVERSITY OF SALFORD,19/12/2016,750,TRAINING,V001069955
ROCHDALE BOROUGH COUNCIL,23/12/2016,CHILDREN�S SOCIAL CARE,THE UNIVERSITY OF SALFORD,23/12/2016,750,TRAINING,V001069956
ROCHDALE BOROUGH COUNCIL,05/12/2016,CHILDREN�S SOCIAL CARE,THE UNIVERSITY OF SALFORD,05/12/2016,750,TRAINING,V001069957
ROCHDALE BOROUGH COUNCIL,23/12/2016,CHILDREN�S SOCIAL CARE,THE UNIVERSITY OF SALFORD,23/12/2016,750,TRAINING,V001069958
ROCHDALE BOROUGH COUNCIL,23/12/2016,CHILDREN�S SOCIAL CARE,THE UNIVERSITY OF SALFORD,23/12/2016,750,TRAINING,V001069959
ROCHDALE BOROUGH COUNCIL,23/12/2016,CHILDREN�S SOCIAL CARE,THE UNIVERSITY OF SALFORD,23/12/2016,750,TRAINING,V001069960
ROCHDALE BOROUGH COUNCIL,02/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ORCHARD  RECYCLING SERVICE LTD,02/12/2016,584.5,CONTRACTS,V001069971
ROCHDALE BOROUGH COUNCIL,08/12/2016,PUBLIC HEALTH,BRAHM FUNDCO 1 LTD,08/12/2016,6037.41,RENTS,V001069976
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,AECOM INFRASTRUCTURE AND ENVIRONMENT UK LTD,06/12/2016,4215.82,OTHER SURVEYS,V001069985
ROCHDALE BOROUGH COUNCIL,13/12/2016,LEARNING DIS & MENTAL HEALTH,CROSSROADS CARE IN GREATER MANCHESTER,13/12/2016,1680.84,PERSONAL BUDGETS - MANAGED,V001070010
ROCHDALE BOROUGH COUNCIL,13/12/2016,LEARNING DIS & MENTAL HEALTH,CROSSROADS CARE IN GREATER MANCHESTER,13/12/2016,1831.25,PERSONAL BUDGETS - MANAGED,V001070017
ROCHDALE BOROUGH COUNCIL,20/12/2016,CHILDREN�S SOCIAL CARE,DEPAUL UK,20/12/2016,548.57,YOUNG PEOPLES RENTS,V001070020
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,FOSTER CARES LTD,01/12/2016,850,FOSTER PARENTS BASIC ALLOWANCE,V001070026
ROCHDALE BOROUGH COUNCIL,02/12/2016,LEARNING DIS & MENTAL HEALTH,MENCAP,02/12/2016,506,PERSONAL BUDGETS - MANAGED,V001070028
ROCHDALE BOROUGH COUNCIL,02/12/2016,LEARNING DIS & MENTAL HEALTH,MENCAP,02/12/2016,528,PERSONAL BUDGETS - MANAGED,V001070030
ROCHDALE BOROUGH COUNCIL,06/12/2016,CHILDREN�S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,06/12/2016,874.02,FOSTER PARENTS BASIC ALLOWANCE,V001070034
ROCHDALE BOROUGH COUNCIL,06/12/2016,CHILDREN�S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,06/12/2016,721.98,FOSTER PARENTS BASIC ALLOWANCE,V001070036
ROCHDALE BOROUGH COUNCIL,06/12/2016,CHILDREN�S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,06/12/2016,803.25,FOSTER PARENTS BASIC ALLOWANCE,V001070038
ROCHDALE BOROUGH COUNCIL,06/12/2016,CHILDREN�S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,06/12/2016,803.25,FOSTER PARENTS BASIC ALLOWANCE,V001070040
ROCHDALE BOROUGH COUNCIL,06/12/2016,CHILDREN�S SOCIAL CARE,CHRISTINE FOSTER LIMITED,06/12/2016,1808.75,AGENCY STAFF,V001070044
ROCHDALE BOROUGH COUNCIL,02/12/2016,CHILDREN�S SOCIAL CARE,ROC NORTHWEST LTD,02/12/2016,3870.41,PERSONAL BUDGETS - MANAGED,V001070048
ROCHDALE BOROUGH COUNCIL,08/12/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,08/12/2016,540.62,PERSONAL BUDGETS - MANAGED,V001070049
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,THOMAS WRIGHT/THORITE GROUP LIMITED,06/12/2016,614.86,VEHICLE MAINTENANCE,V001070053
ROCHDALE BOROUGH COUNCIL,09/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,BALMERS GM LTD,09/12/2016,2340,PURCHASE OF PLANT AND MACHINERY,V001070066
ROCHDALE BOROUGH COUNCIL,07/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,OLDHAM & ROCHDALE GROUNDWORK TRUST LTD,07/12/2016,2776,FEES -CONSTRUCTION CONVERSION RENOVATION,V001070069
ROCHDALE BOROUGH COUNCIL,23/12/2016,CHILDREN�S SOCIAL CARE,THE UNIVERSITY OF SALFORD,23/12/2016,750,TRAINING,V001070075
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,PEARSON PUBLISHING,01/12/2016,1600,IT EQUIPMENT,V001070090
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,IMPERIAL POLYTHENE PRODUCTS LTD,06/12/2016,997,VEHICLE MAINTENANCE,V001070105
ROCHDALE BOROUGH COUNCIL,02/12/2016,PUBLIC HEALTH,VIRGIN CARE SERVICES LIMITED,02/12/2016,263056,VIRGIN CARE,V001070115
ROCHDALE BOROUGH COUNCIL,08/12/2016,PROPERTY AND HIGHWAYS,F S MOULT & SON,08/12/2016,825,REPAIRS & ALTS OF BUILDINGS,V001070136
ROCHDALE BOROUGH COUNCIL,08/12/2016,ECONOMY DIRECTORATE,F S MOULT & SON,08/12/2016,825,IMPROVEMENTS-MODERNISATION,V001070137
ROCHDALE BOROUGH COUNCIL,02/12/2016,EARLY HELP AND SCHOOLS,HOPWOOD ELECTRICAL SERVICES,02/12/2016,2328.3,MINOR BUILDING WORKS,V001070138
ROCHDALE BOROUGH COUNCIL,05/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CIVICA UK LIMITED,05/12/2016,551.25,IT MAINTENANCE,V001070151
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,DAISY COMMUNICATIONS LTD,06/12/2016,2159.04,IT MAINTENANCE,V001070152
ROCHDALE BOROUGH COUNCIL,12/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,EVERYTHING EVERYWHERE LIMITED,12/12/2016,797.44,TRANSACTIONS-EXPENDITURE,V001070154
ROCHDALE BOROUGH COUNCIL,15/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,XMA LIMITED,15/12/2016,1237.58,SOFTWARE,V001070163
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,MIDLAND SOFTWARE LTD,19/12/2016,538.47,SOFTWARE,V001070164
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,MIDLAND SOFTWARE LTD,19/12/2016,15951.81,SOFTWARE,V001070164
ROCHDALE BOROUGH COUNCIL,16/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,MIDLAND SOFTWARE LTD,16/12/2016,2782.93,SOFTWARE,V001070165
ROCHDALE BOROUGH COUNCIL,23/12/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,23/12/2016,10419.28,CONSULTANT FEES,V001070170
ROCHDALE BOROUGH COUNCIL,23/12/2016,FINANCE SERVICES,CAPITA BUSINESS SERVICES LIMITED,23/12/2016,7909.5,SOFTWARE,V001070185
ROCHDALE BOROUGH COUNCIL,08/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,LEYMAC ENGINEERING SERVICES LIMITED,08/12/2016,646.07,MAINTENANCE,V001070189
ROCHDALE BOROUGH COUNCIL,08/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ENTERPRISE MANCHESTER PARTNERSHIP LTD,08/12/2016,4791.78,REFUSE DISPOSAL,V001070197
ROCHDALE BOROUGH COUNCIL,02/12/2016,PUBLIC HEALTH,BIG LIFE CENTRES,02/12/2016,124574.58,PH BIG LIFE CONTRACT,V001070221
ROCHDALE BOROUGH COUNCIL,09/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARTWHEEL ARTS,09/12/2016,2000,GRANTS TO THE NON VOLUNTARY SECTOR,V001070222
ROCHDALE BOROUGH COUNCIL,01/12/2016,FINANCE SERVICES,JACOBS,01/12/2016,728.69,INPUT VAT -  ADJUSTMENTS,V001070230
ROCHDALE BOROUGH COUNCIL,15/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,EVERYTHING EVERYWHERE LIMITED,15/12/2016,2876.42,TRANSACTIONS-EXPENDITURE,V001070238
ROCHDALE BOROUGH COUNCIL,15/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,EVERYTHING EVERYWHERE LIMITED,15/12/2016,785.27,TRANSACTIONS-EXPENDITURE,V001070240
ROCHDALE BOROUGH COUNCIL,07/12/2016,EARLY HELP AND SCHOOLS,THE AWARDS SCHEME LTD,07/12/2016,950,ACTIVITIES,V001070244
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,19/12/2016,1875,AGENCY STAFF,V001070283
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,19/12/2016,1810.2,AGENCY STAFF,V001070294
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,06/12/2016,1875,AGENCY STAFF,V001070300
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,06/12/2016,3750,AGENCY STAFF,V001070301
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,19/12/2016,1300,CAPITAL SALARIES,V001070302
ROCHDALE BOROUGH COUNCIL,07/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,07/12/2016,2394.24,COMMUNICATION AND COMPUTING - GENERAL,V001070303
ROCHDALE BOROUGH COUNCIL,07/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,07/12/2016,30856.01,COMMUNICATION AND COMPUTING - GENERAL,V001070303
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,19/12/2016,900,COMMUNICATION AND COMPUTING - GENERAL,V001070305
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,19/12/2016,1512.5,COMMUNICATION AND COMPUTING - GENERAL,V001070307
ROCHDALE BOROUGH COUNCIL,07/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,07/12/2016,2442.5,COMMUNICATION AND COMPUTING - GENERAL,V001070309
ROCHDALE BOROUGH COUNCIL,07/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,07/12/2016,2442.5,COMMUNICATION AND COMPUTING - GENERAL,V001070311
ROCHDALE BOROUGH COUNCIL,07/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,UPDATA INFRASTRUCTURE UK LTD,07/12/2016,3348.35,COMMUNICATION AND COMPUTING - GENERAL,V001070312
ROCHDALE BOROUGH COUNCIL,02/12/2016,EARLY HELP AND SCHOOLS,J C MILLS & SON LIMITED,02/12/2016,8631.43,IMPROVEMENTS-MODERNISATION,V001070324
ROCHDALE BOROUGH COUNCIL,02/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,02/12/2016,627.63,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001070457
ROCHDALE BOROUGH COUNCIL,02/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,02/12/2016,539.69,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001070458
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,06/12/2016,564.91,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001070460
ROCHDALE BOROUGH COUNCIL,06/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,06/12/2016,543.73,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001070463
ROCHDALE BOROUGH COUNCIL,05/12/2016,CHILDREN�S SOCIAL CARE,REDACTED-PERSONAL DATA,05/12/2016,4107,FEES / COMMISSION,V001070467
ROCHDALE BOROUGH COUNCIL,05/12/2016,CHILDREN�S SOCIAL CARE,REDACTED-PERSONAL DATA,05/12/2016,4107,FEES / COMMISSION,V001070468
ROCHDALE BOROUGH COUNCIL,05/12/2016,CHILDREN�S SOCIAL CARE,REDACTED-PERSONAL DATA,05/12/2016,4107,FEES / COMMISSION,V001070469
ROCHDALE BOROUGH COUNCIL,05/12/2016,CHILDREN�S SOCIAL CARE,REDACTED-PERSONAL DATA,05/12/2016,4107,FEES / COMMISSION,V001070470
ROCHDALE BOROUGH COUNCIL,05/12/2016,CHILDREN�S SOCIAL CARE,REDACTED-PERSONAL DATA,05/12/2016,4107,FEES / COMMISSION,V001070471
ROCHDALE BOROUGH COUNCIL,09/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,CHILDSCAPE LIMITED,09/12/2016,2214,EQUIPMENT - GENERAL,V001070525
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,JANET AINSCOW,01/12/2016,626,TRAINING,V001070528
ROCHDALE BOROUGH COUNCIL,01/12/2016,LEARNING DIS & MENTAL HEALTH,COMMUNITY CARE LINE SERVICES,01/12/2016,763.56,PERSONAL BUDGETS - MANAGED,V001070531
ROCHDALE BOROUGH COUNCIL,01/12/2016,EARLY HELP AND SCHOOLS,EMMA GORDON TUTORING,01/12/2016,770,OTHER EST - SEN PROVISION,V001070533
ROCHDALE BOROUGH COUNCIL,23/12/2016,EARLY HELP AND SCHOOLS,HORIZON CARE AND EDUCATION,23/12/2016,12294.75,OTHER LA`S - SEN PROVISION,V001070534
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ABLE LORRY LOADERS LTD,01/12/2016,1017.85,VEHICLE MAINTENANCE,V001070542
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,SOCITM LTD,01/12/2016,1380,GRANTS TO THE VOLUNTARY SECTOR,V001070559
ROCHDALE BOROUGH COUNCIL,02/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,JACKSON BRIERLEY HUDSON STONEY,02/12/2016,14967.56,NEW CONSTRUCTION,V001070561
ROCHDALE BOROUGH COUNCIL,01/12/2016,FINANCE SERVICES,ZURICH MUNICIPAL,01/12/2016,42376.05,TRANSACTIONS-EXPENDITURE,V001070562
ROCHDALE BOROUGH COUNCIL,01/12/2016,PHYSICAL DIS & OLDER PEOPLE,CAREWATCH CARE SERVICES LTD,01/12/2016,9040.9,HOME CARE - ADULT SERVICES,V001070564
ROCHDALE BOROUGH COUNCIL,01/12/2016,PHYSICAL DIS & OLDER PEOPLE,CAREWATCH CARE SERVICES LTD,01/12/2016,684.5,HOME CARE - ADULT SERVICES,V001070565
ROCHDALE BOROUGH COUNCIL,01/12/2016,PUBLIC HEALTH,VIRGIN CARE SERVICES LIMITED,01/12/2016,15676.74,VIRGIN CARE,V001070571
ROCHDALE BOROUGH COUNCIL,01/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,PLAYBROKERS LTD,01/12/2016,6990,EQUIPMENT - GENERAL,V001070575
ROCHDALE BOROUGH COUNCIL,01/12/2016,BETTER CARE FUND POOLED BUDGET,THE PENNINE ACUTE HOSPITALS NHS TRUST,01/12/2016,469167.21,CONTRACTS,V001070576
ROCHDALE BOROUGH COUNCIL,01/12/2016,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,01/12/2016,683.09,PRINTING & STATIONERY,V001070577
ROCHDALE BOROUGH COUNCIL,16/12/2016,EARLY HELP AND SCHOOLS,NATIONAL ASSOCIATION OF VIRTUAL SCHOOL HEADS,16/12/2016,500,TRAFFIC CONTROL,V001070578
ROCHDALE BOROUGH COUNCIL,01/12/2016,FINANCE SERVICES,HILL DICKINSON LLP,01/12/2016,544,PROFESSIONAL FEES,V001070581
ROCHDALE BOROUGH COUNCIL,01/12/2016,FINANCE SERVICES,CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,01/12/2016,585,TRAINING,V001070585
ROCHDALE BOROUGH COUNCIL,09/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ORCHARD  RECYCLING SERVICE LTD,09/12/2016,593,CONTRACTS,V001070590
ROCHDALE BOROUGH COUNCIL,08/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,EDENFIELD ROAD SURGERY,08/12/2016,3198,AGENCY STAFF,V001070593
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,MANCHESTER WORKING LIMITED,09/12/2016,8415,MAINTENANCE STAIRLIFTS,V001070594
ROCHDALE BOROUGH COUNCIL,09/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,MIDLAND SOFTWARE LTD,09/12/2016,1540.8,SOFTWARE,V001070619
ROCHDALE BOROUGH COUNCIL,15/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,EVERYTHING EVERYWHERE LIMITED,15/12/2016,8248.48,TRANSACTIONS-EXPENDITURE,V001070621
ROCHDALE BOROUGH COUNCIL,02/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,02/12/2016,637.5,EQUIPMENT - GENERAL,V001070624
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,01/12/2016,545.5,AGENCY STAFF,V001070659
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,01/12/2016,608.31,AGENCY STAFF,V001070659
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,01/12/2016,620.49,AGENCY STAFF,V001070659
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,01/12/2016,662.01,AGENCY STAFF,V001070659
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,01/12/2016,815.69,AGENCY STAFF,V001070659
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,01/12/2016,827.32,AGENCY STAFF,V001070659
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,01/12/2016,827.32,AGENCY STAFF,V001070659
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,01/12/2016,829.52,AGENCY STAFF,V001070659
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,01/12/2016,902.41,AGENCY STAFF,V001070659
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,01/12/2016,930.74,AGENCY STAFF,V001070659
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,01/12/2016,964.28,AGENCY STAFF,V001070659
ROCHDALE BOROUGH COUNCIL,01/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,01/12/2016,1023.07,AGENCY STAFF,V001070659
