Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,CONTRACT TYPE,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440K,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,2896,,,MOORE TREE CARE SPECIALISTS,,,131936,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440L,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,,,,MUDROCK LTD,8835924,,2146050,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440M,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,5193,,,NORFOLK TREES AND LANDSCAPING,,,168478,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440N,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,13033,,,NORSE COMMERCIAL SERVICES LIMITED,2888808,,179148,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440O,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,33728,,,R BELL UK LTD,5927493,,189356,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440P,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,569,,,RAVENCROFT TREE SERVICES LIMITED,4936062,,73803,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440Q,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,9207,,,LEAVE,,,73909,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440R,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,,,,S P LANDSCAPES & TREE CONTRACTORS LTD,,,86509,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440S,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,889,,,SPECIAL BRANCH TREES (NORFOLK) LTD,,,823831,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440T,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,34268,,,T & A TREE & GARDEN SERVICES,,,1061821,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440U,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,1678,,,TREE MATTERS,,,2172042,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN49433,,Signs of Safety training Exemption,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Signs of Safety training Exemption,HR-TRAINERS & TUTORS,Personnel training services,796320003,,,,30/06/2018,,30/06/2018,27802,,,JKB CONSULTING & MANAGEMENT LIMITED,9507680,,2154956,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50148,,2 x MA Early Childhood Education courses,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,2 x MA Early Childhood Education courses,,,,,,10/12/2016,30/06/2018,,30/06/2018,,,,UNIVERSITY OF SHEFFIELD,,,75866,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AUN51129,,New Directions Service - Head of Service,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,New Directions Service - Head of Service,HR-INTERIM & TEMPORARY STAFF,,,,,01/07/2017,30/06/2018,,30/06/2018,88583,,,BARNARDO SERVICES LIMITED,1227919,,80909,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AFN50338,,"Maintenance and Cutting of Trees, Grips and Hedges",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and Cutting of Trees, Grips and Hedges","FM-GROUNDS, GROUNDS EQUIP & TREE SURGERY",,,,,01/07/2016,30/06/2018,,30/06/2020,4380,,,TREE WORK & SURVEYS LTD,,,2263209,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON49808,,Spray Injection Patching,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Spray Injection Patching,HIGHWAYS-WORKS,,,,,01/07/2016,30/06/2018,,30/06/2020,1872687,,,VELOCITY UK LIMITED,3400231,,1102776,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON49808A,,Spray Injection Patching,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Spray Injection Patching,HIGHWAYS-WORKS,,,,,01/07/2016,30/06/2018,,30/06/2020,381780,,,JETPATCHER LTD,,,2172067,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BFN40208A,,Child Care Vouchers,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Child Care Vouchers,,,,,,01/07/2012,30/06/2018,,30/06/2020,,,,KIDDIVOUCHERS (WIDER PLAN LTD),,,977767,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON50440V,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Maintenance and cutting of trees, grips and hedges - NCCF41081",ENVIRONMENTAL WORK,,,,,01/07/2016,30/06/2018,,30/06/2018,10201,,,WORDINGHAM PLANT HIRE LIMITED,6544804,,134000,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN49498,,Specialist cable percussion drilling for the NDR,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Specialist cable percussion drilling for the NDR,,,,,,08/08/2016,30/06/2018,,30/06/2018,88817,,,JAMES & MILTON DRILLING LIMITED,4623458,,94595,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN51226,,FM Systems - Radio Aid,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,FM Systems - Radio Aid,,,,,,30/06/2017,30/06/2018,,30/06/2018,7450,,,PHONAK UK (DIVISION OF SONOVA UK LTD),,,2273199,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BTN43829,,LTR Framework Agreement for the Provision of Short Breaks for Children with Disabilities,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,LTR Framework Agreement for the Provision of Short Breaks for Children with Disabilities,CHILDREN'S-CWD SHORT BREAKS,,,,,15/01/2016,30/06/2018,,30/06/2018,,,,WEST NORFOLK DEAF ASSOCIATION,,,76200,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN49392,,"Pendulum, Broadcast & Observatory software/portal",SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,"Pendulum, Broadcast & Observatory software/portal",ICT-SOFTWARE & SAAS,Software package and information systems,480000008,,,01/07/2016,30/06/2018,,30/06/2018,47735,,,ANGEL SOLUTIONS LTD,3866805,,120587,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50837,,To provide training and licenses to operate Outcomes Star,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,To provide training and licenses to operate Outcomes Star,HR-TRAINING,,,,,01/06/2017,01/07/2018,,01/07/2018,10213,,,TRIANGLE CONSULTING,,,249669,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50908,,To embed access to the Charanga Platform to the Norfolk Music Hub website,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,To embed access to the Charanga Platform to the Norfolk Music Hub website,,,,,,01/07/2017,01/07/2018,,01/07/2018,5450,,,CHARANGA LTD,,,153319,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533B,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,08/07/2013,07/07/2018,,07/07/2018,27265,,,FORENSIC PATHOLOGY SERVICES,,,124204,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533D,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,142702,,,REDACTED - PERSONAL DATA,,,88060,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533E,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,57442,,,REDACTED - PERSONAL DATA,,,88043,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533F,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,,,,REDACTED - PERSONAL DATA,,,82343,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533G,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,81118,,,DR D S PEAT,,,88035,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533H,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,224560,,,REDACTED - PERSONAL DATA,,,109681,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533I,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,66644,,,X TYLER (DR),,,88057,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533K,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,69575,,,R LOGASUNDARAM,,,134972,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533L,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,41843,,,REDACTED - PERSONAL DATA,,,82368,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533M,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,55302,,,REDACTED - PERSONAL DATA,,,88121,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533O,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,,,,REDACTED - PERSONAL DATA,,,82363,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533P,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,109369,,,REDACTED - PERSONAL DATA,,,109558,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533Q,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,26631,,,REDACTED - PERSONAL DATA,,,359000,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533R,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,,,,DR L RANASINGHE,,,129858,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533T,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,,,,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,,152001,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533U,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,9126,,,DR V R SAMS,,,82366,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533V,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,,,,REDACTED - PERSONAL DATA,,,82327,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41533W,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,30/06/2013,08/07/2018,,08/07/2018,,,,R AHMED,,,950760,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41668,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,06/08/2013,08/07/2018,,08/07/2018,,,,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,,124486,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41688,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,09/07/2013,08/07/2018,,08/07/2018,,,,SOUTHGATES MEDICAL & SURGICAL CENTRE,,,74736,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41812,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,01/08/2013,08/07/2018,,08/07/2018,,,,GAYTON ROAD HEALTH CENTRE,,,167989,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BUN41813,,Coroner's Services - Pathology/Medical Services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Coroner's Services - Pathology/Medical Services,CORONER'S AND FUNERAL SERVICES,,,,,03/10/2013,08/07/2018,,08/07/2018,343718,,,QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,,,105022,,,,Procurement systems team,procm@norfolk.gov.uk,
