ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,01/07/2016,-5560,INDIVIDUAL SERVICE FUND,V001021523
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,01/07/2016,-5560,INDIVIDUAL SERVICE FUND,V001021524
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,01/07/2016,-5560,INDIVIDUAL SERVICE FUND,V001021525
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,01/07/2016,1075.36,INDIVIDUAL SERVICE FUND,V001021526
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,01/07/2016,1061.52,INDIVIDUAL SERVICE FUND,V001021527
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3265.04,INDIVIDUAL SERVICE FUND,V001021528
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,770.4,INDIVIDUAL SERVICE FUND,V001021530
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,01/07/2016,596.52,INDIVIDUAL SERVICE FUND,V001021532
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,01/07/2016,6903.6,INDIVIDUAL SERVICE FUND,V001021533
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3812.72,INDIVIDUAL SERVICE FUND,V001021534
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,01/07/2016,994.12,INDIVIDUAL SERVICE FUND,V001021535
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,STEPPING STONES,01/07/2016,-2212.72,SUPPORTED LIVING,V001021536
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,STEPPING STONES,01/07/2016,-2212.72,SUPPORTED LIVING,V001021537
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,STEPPING STONES,01/07/2016,2212.72,SUPPORTED LIVING,V001021538
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,STEPPING STONES,01/07/2016,2212.72,SUPPORTED LIVING,V001021539
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,STEPPING STONES,01/07/2016,2212.72,SUPPORTED LIVING,V001021540
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,01/07/2016,545.76,INDIVIDUAL SERVICE FUND,V001021541
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,01/07/2016,1242.08,INDIVIDUAL SERVICE FUND,V001021542
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,01/07/2016,1195.2,INDIVIDUAL SERVICE FUND,V001021543
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,1722.65,PERSONAL BUDGETS - MANAGED,V001021544
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,1722.65,PERSONAL BUDGETS - MANAGED,V001021545
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,1722.65,PERSONAL BUDGETS - MANAGED,V001021546
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-1722.65,SUPPORTED LIVING,V001021547
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-1722.65,SUPPORTED LIVING,V001021548
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,7888.4,INDIVIDUAL SERVICE FUND,V001021549
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,01/07/2016,2758.8,INDIVIDUAL SERVICE FUND,V001021550
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,1530.26,PERSONAL BUDGETS - MANAGED,V001021551
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,1530.26,PERSONAL BUDGETS - MANAGED,V001021552
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,1530.26,PERSONAL BUDGETS - MANAGED,V001021553
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,-1530.26,SUPPORTED LIVING,V001021554
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,-1530.26,SUPPORTED LIVING,V001021555
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,01/07/2016,850.4,INDIVIDUAL SERVICE FUND,V001021556
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,01/07/2016,6990.2,INDIVIDUAL SERVICE FUND,V001021557
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,01/07/2016,3650.64,INDIVIDUAL SERVICE FUND,V001021558
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,01/07/2016,1608.26,PERSONAL BUDGETS - MANAGED,V001021559
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,01/07/2016,1608.26,PERSONAL BUDGETS - MANAGED,V001021560
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,01/07/2016,1608.26,PERSONAL BUDGETS - MANAGED,V001021561
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,01/07/2016,-1608.26,SUPPORTED LIVING,V001021562
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,01/07/2016,-1608.26,SUPPORTED LIVING,V001021563
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,2500.76,PERSONAL BUDGETS - MANAGED,V001021564
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,2500.76,PERSONAL BUDGETS - MANAGED,V001021565
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,2500.76,PERSONAL BUDGETS - MANAGED,V001021566
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,-2500.76,SUPPORTED LIVING,V001021567
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,-2500.76,SUPPORTED LIVING,V001021568
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,615.52,INDIVIDUAL SERVICE FUND,V001021574
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,2101.36,INDIVIDUAL SERVICE FUND,V001021585
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4628,INDIVIDUAL SERVICE FUND,V001021592
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,6363,INDIVIDUAL SERVICE FUND,V001021593
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,1721.84,INDIVIDUAL SERVICE FUND,V001021594
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,5943,INDIVIDUAL SERVICE FUND,V001021595
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3699,PERSONAL BUDGETS - MANAGED,V001021596
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3699,PERSONAL BUDGETS - MANAGED,V001021597
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3699,PERSONAL BUDGETS - MANAGED,V001021598
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-3699,SUPPORTED LIVING,V001021599
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-3699,SUPPORTED LIVING,V001021600
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3699,PERSONAL BUDGETS - MANAGED,V001021601
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3699,PERSONAL BUDGETS - MANAGED,V001021602
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3699,PERSONAL BUDGETS - MANAGED,V001021603
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-3699,SUPPORTED LIVING,V001021604
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-3699,SUPPORTED LIVING,V001021605
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3699,PERSONAL BUDGETS - MANAGED,V001021606
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3699,PERSONAL BUDGETS - MANAGED,V001021607
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3699,PERSONAL BUDGETS - MANAGED,V001021608
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-3699,SUPPORTED LIVING,V001021609
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-3699,SUPPORTED LIVING,V001021610
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,2423.24,INDIVIDUAL SERVICE FUND,V001021611
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,2249.92,INDIVIDUAL SERVICE FUND,V001021612
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,2431.96,INDIVIDUAL SERVICE FUND,V001021613
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-4514.3,SUPPORTED LIVING,V001021614
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-4514.3,SUPPORTED LIVING,V001021615
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4514.3,PERSONAL BUDGETS - MANAGED,V001021616
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4514.3,PERSONAL BUDGETS - MANAGED,V001021617
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4514.3,PERSONAL BUDGETS - MANAGED,V001021618
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-2817.95,SUPPORTED LIVING,V001021619
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-2817.95,SUPPORTED LIVING,V001021620
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,2817.95,PERSONAL BUDGETS - MANAGED,V001021621
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,2817.95,PERSONAL BUDGETS - MANAGED,V001021622
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,2817.95,PERSONAL BUDGETS - MANAGED,V001021623
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-5903.55,SUPPORTED LIVING,V001021624
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-5903.55,SUPPORTED LIVING,V001021625
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,5903.55,PERSONAL BUDGETS - MANAGED,V001021626
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,5903.55,PERSONAL BUDGETS - MANAGED,V001021627
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,5903.55,PERSONAL BUDGETS - MANAGED,V001021628
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-3865.3,SUPPORTED LIVING,V001021629
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-3865.3,SUPPORTED LIVING,V001021630
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3865.3,PERSONAL BUDGETS - MANAGED,V001021631
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3865.3,PERSONAL BUDGETS - MANAGED,V001021632
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3865.3,PERSONAL BUDGETS - MANAGED,V001021633
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4680.6,INDIVIDUAL SERVICE FUND,V001021634
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3641.75,PERSONAL BUDGETS - MANAGED,V001021635
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3641.75,PERSONAL BUDGETS - MANAGED,V001021636
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3641.75,PERSONAL BUDGETS - MANAGED,V001021637
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-3641.75,SUPPORTED LIVING,V001021638
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-3641.75,SUPPORTED LIVING,V001021639
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3181.5,PERSONAL BUDGETS - MANAGED,V001021640
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3181.5,PERSONAL BUDGETS - MANAGED,V001021641
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3181.5,PERSONAL BUDGETS - MANAGED,V001021642
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-3181.5,SUPPORTED LIVING,V001021643
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-3181.5,SUPPORTED LIVING,V001021644
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-4891,SUPPORTED LIVING,V001021645
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-4891,SUPPORTED LIVING,V001021646
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4891,PERSONAL BUDGETS - MANAGED,V001021647
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4891,PERSONAL BUDGETS - MANAGED,V001021648
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4891,PERSONAL BUDGETS - MANAGED,V001021649
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-1537.76,INDIVIDUAL SERVICE FUND,V001021650
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-1537.76,INDIVIDUAL SERVICE FUND,V001021651
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,1537.76,INDIVIDUAL SERVICE FUND,V001021652
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,1537.76,INDIVIDUAL SERVICE FUND,V001021653
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,1537.76,INDIVIDUAL SERVICE FUND,V001021654
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-1985.65,SUPPORTED LIVING,V001021655
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-1985.65,SUPPORTED LIVING,V001021656
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,1985.65,PERSONAL BUDGETS - MANAGED,V001021657
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,1985.65,PERSONAL BUDGETS - MANAGED,V001021658
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,1985.65,PERSONAL BUDGETS - MANAGED,V001021659
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4089.25,PERSONAL BUDGETS - MANAGED,V001021660
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4089.25,PERSONAL BUDGETS - MANAGED,V001021661
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4089.25,PERSONAL BUDGETS - MANAGED,V001021662
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-4089.25,SUPPORTED LIVING,V001021663
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-4089.25,SUPPORTED LIVING,V001021664
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,3684.38,PERSONAL BUDGETS - MANAGED,V001021665
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,3684.38,PERSONAL BUDGETS - MANAGED,V001021666
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,3684.38,PERSONAL BUDGETS - MANAGED,V001021667
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,-3684.38,SUPPORTED LIVING,V001021668
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CIC GROUP EACHSTEP BLACKLEY,01/07/2016,-3684.38,SUPPORTED LIVING,V001021669
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4474.84,INDIVIDUAL SERVICE FUND,V001021670
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-4891,SUPPORTED LIVING,V001021671
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-4891,SUPPORTED LIVING,V001021672
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4891,PERSONAL BUDGETS - MANAGED,V001021673
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4891,PERSONAL BUDGETS - MANAGED,V001021674
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,4891,PERSONAL BUDGETS - MANAGED,V001021675
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,01/07/2016,-1743,INDIVIDUAL SERVICE FUND,V001021676
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,01/07/2016,-1743,INDIVIDUAL SERVICE FUND,V001021677
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,01/07/2016,1743,INDIVIDUAL SERVICE FUND,V001021678
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,01/07/2016,1743,INDIVIDUAL SERVICE FUND,V001021679
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,01/07/2016,1743,INDIVIDUAL SERVICE FUND,V001021680
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-5022.5,SUPPORTED LIVING,V001021681
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,-5022.5,SUPPORTED LIVING,V001021682
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,5022.5,PERSONAL BUDGETS - MANAGED,V001021683
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,5022.5,PERSONAL BUDGETS - MANAGED,V001021684
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,5022.5,PERSONAL BUDGETS - MANAGED,V001021685
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3681.6,INDIVIDUAL SERVICE FUND,V001021686
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,01/07/2016,3103,INDIVIDUAL SERVICE FUND,V001021687
