Organisation Name (A),Department (B),Service Cat Label (C),Purpose of Spend (D),Expenditure-CIPFA Sub Group (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount  (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273114,45.33,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273125,48.02,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273115,70.65,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273116,73.9,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273126,78.74,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273117,115.7,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 04/08/2016,HMR0273118,121.03,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Gas,22,NPOWER,A0090142, 11/08/2016,EST0273359,484.33,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Gas,22,NPOWER,A0090142, 11/08/2016,EST0273360,266.36,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Gas,22,NPOWER,A0090142, 11/08/2016,EST0273358,198,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,O`CALLAGHAN LIMITED,A0090052, 11/08/2016,HED0273256,20000,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,9,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,10,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,12.68,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,13.09,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,13.5,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,9.02,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,11.5,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,14.52,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 11/08/2016,DAL0273251,59,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,12.15,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,24.22,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,9.76,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,9,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,9.06,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,9,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/08/2016,DAL0273452,9,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,OCS GROUP UK LIMITED,A0072816, 18/08/2016,OPS0273415,451.78,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,OCS GROUP UK LIMITED,A0072816, 18/08/2016,OPS0273418,1.99,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,OCS GROUP UK LIMITED,A0072816, 18/08/2016,OPS0273416,2,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,OCS GROUP UK LIMITED,A0072816, 18/08/2016,OPS0273417,4,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,OCS GROUP UK LIMITED,A0072816, 18/08/2016,OPS0273419,6,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,OCS GROUP UK LIMITED,A0072816, 18/08/2016,OPS0273420,6,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,OCS GROUP UK LIMITED,A0072816, 18/08/2016,OPS0273418,8,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,OPTION HYGIENE LIMITED,A0002063, 11/08/2016,PCO0273213,15,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,OPTION HYGIENE LIMITED,A0002063, 11/08/2016,PCO0273213,39.63,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,OPTION HYGIENE LIMITED,A0002063, 11/08/2016,OPS0273334,11,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,OPTION HYGIENE LIMITED,A0002063, 11/08/2016,OPS0273334,37.5,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Office and computer equipment,40,ORCHARD RECYCLING SERVICE,A0015803, 18/08/2016,OPS0273462,1486.8,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Office and computer equipment,40,ORCHARD RECYCLING SERVICE,A0015803, 04/08/2016,OPS0273138,1543.5,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Office and computer equipment,40,ORCHARD RECYCLING SERVICE,A0015803, 25/08/2016,OPS0273598,1619.1,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Office and computer equipment,40,ORCHARD RECYCLING SERVICE,A0015803, 11/08/2016,OPS0273331,1631.7,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,47,ORCHARD RECYCLING SERVICE,A0015803, 11/08/2016,OPS0273331,75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,47,ORCHARD RECYCLING SERVICE,A0015803, 25/08/2016,OPS0273598,75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,47,ORCHARD RECYCLING SERVICE,A0015803, 18/08/2016,OPS0273462,300,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Costs,Fast Action Response,50,ORCHARD RECYCLING SERVICE,A0015803, 11/08/2016,OPS0273331,75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Costs,Fast Action Response,50,ORCHARD RECYCLING SERVICE,A0015803, 25/08/2016,OPS0273598,75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Costs,Fast Action Response,50,ORCHARD RECYCLING SERVICE,A0015803, 18/08/2016,OPS0273462,300,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,47,P LEE WASTE OIL LIMTED,A0058412, 04/08/2016,OPS0273211,820,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Indirect Employee Expenses,Staff Refreshments,12,P T ALLISON,A0064694, 04/08/2016,DAL0273179,18,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Indirect Employee Expenses,Staff Refreshments,12,P T ALLISON,A0064694, 04/08/2016,DAL0273179,10,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Hospitality,46,P T ALLISON,A0064694, 04/08/2016,DAL0273179,20.4,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,47,P T ALLISON,A0064694, 04/08/2016,DAL0273179,6,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,,Fees Income : Non-VATable,93,Redacted - Personal Data,A0090885, 11/08/2016,PCO0273262,30,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,PARK  HIGH SCHOOL,A0005785, 18/08/2016,AAS0273413,100,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,PAUL A TATTON,A0090888, 11/08/2016,PCO0273269,75,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,CD,PEARL 2,A0070545, 30/08/2016,AAS0273745,201143.7,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,47,PENDLE APPLIANCES,A0090286, 18/08/2016,REG0273432,228,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,PENDLE CARE & SUPPORT SERVICES,A0090084, 11/08/2016,HED0273282,2000,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Premises Insurance,28,PENDLE ENTERPRISE & REGENERATION LTD,A0061803, 25/08/2016,AAS0273606,2795.93,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Meeting Expenses,46,PENDLE LEISURE LTD,A0012961, 25/08/2016,DAL0273634,93.33,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Meeting Expenses,46,PENDLE LEISURE LTD,A0012961, 25/08/2016,DAL0273636,204.17,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Basic Wages,10,PENDLE PERSONNEL LTD,A0002198, 11/08/2016,PCO0273247,346.18,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Basic Wages,10,PENDLE PERSONNEL LTD,A0002198, 18/08/2016,PCO0273491,346.18,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Basic Wages,10,PENDLE PERSONNEL LTD,A0002198, 04/08/2016,PCO0273152,346.18,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 04/08/2016,PCO0273152,56.75,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 11/08/2016,PCO0273247,153.22,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 18/08/2016,PCO0273491,346.18,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 11/08/2016,PCO0273247,2485.66,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 18/08/2016,PCO0273491,2531.05,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 04/08/2016,PCO0273152,2607.67,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 11/08/2016,PCO0273245,295,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 18/08/2016,OPS0273464,370,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Agency Wages,10,PENDLE PERSONNEL LTD,A0002198, 04/08/2016,PCO0273153,372.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,10,PENDLE PERSONNEL LTD,A0002198, 11/08/2016,PCO0273246,106.7,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,10,PENDLE PERSONNEL LTD,A0002198, 18/08/2016,PCO0273492,242.5,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,PENNINE EVENTS LIMITED,A0027128, 11/08/2016,HED0273312,1000,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,PENNINE EVENTS LIMITED,A0027128, 11/08/2016,HED0273312,1000,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Consultants Fees,44,PENNINE EVENTS LIMITED,A0027128, 11/08/2016,HED0273312,3000,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,47,PLUMBSERVE,A0090894, 11/08/2016,REG0273290,607,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,PROBRUSH T/A NORTHERN MUNICIPAL SPARES LTD,A0068263, 11/08/2016,OPS0273219,90.82,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,PROBRUSH T/A NORTHERN MUNICIPAL SPARES LTD,A0068263, 04/08/2016,OPS0273133,150.89,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,PROBRUSH T/A NORTHERN MUNICIPAL SPARES LTD,A0068263, 11/08/2016,OPS0273219,90.82,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,PROBRUSH T/A NORTHERN MUNICIPAL SPARES LTD,A0068263, 04/08/2016,OPS0273133,150.89,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,PROBRUSH T/A NORTHERN MUNICIPAL SPARES LTD,A0068263, 11/08/2016,OPS0273219,90.82,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,PROBRUSH T/A NORTHERN MUNICIPAL SPARES LTD,A0068263, 04/08/2016,OPS0273133,150.9,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,PROBRUSH T/A NORTHERN MUNICIPAL SPARES LTD,A0068263, 11/08/2016,OPS0273219,90.82,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,PROBRUSH T/A NORTHERN MUNICIPAL SPARES LTD,A0068263, 04/08/2016,OPS0273133,150.9,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,PROBRUSH T/A NORTHERN MUNICIPAL SPARES LTD,A0068263, 11/08/2016,OPS0273219,90.82,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,PROBRUSH T/A NORTHERN MUNICIPAL SPARES LTD,A0068263, 04/08/2016,OPS0273133,150.9,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,PROBRUSH T/A NORTHERN MUNICIPAL SPARES LTD,A0068263, 11/08/2016,OPS0273219,90.81,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,PROBRUSH T/A NORTHERN MUNICIPAL SPARES LTD,A0068263, 04/08/2016,OPS0273133,150.9,N,N/A,N,N/A
Pendle Borough Council,Revenues Services,Supplies and Services,Consultants Fees,44,PS&P LTD,A0090720, 18/08/2016,TRE0273546,1.48,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Other Income : Non-VATable,93,Redacted - Personal Data,A0084247, 04/08/2016,HED0273182,51,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Sub-Contractors,40,QHS SOLUTIONS LIMITED,A0071912, 01/08/2016,AAS0273671,666.67,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Seminars etc All Costs,46,QHS SOLUTIONS LIMITED,A0071912, 18/08/2016,OPS0273460,250,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Seminars etc All Costs,46,QHS SOLUTIONS LIMITED,A0071912, 18/08/2016,OPS0273461,750,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,RAPID RECRUIT LIMITED,A0090080, 25/08/2016,OPS0273590,1450.98,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,RAPID RECRUIT LIMITED,A0090080, 11/08/2016,OPS0273244,1491.8,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,RAPID RECRUIT LIMITED,A0090080, 04/08/2016,OPS0273131,1707.7,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,RAPID RECRUIT LIMITED,A0090080, 04/08/2016,OPS0273050,2005.16,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,RAPID RECRUIT LIMITED,A0090080, 25/08/2016,OPS0273590,1787.57,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,RAPID RECRUIT LIMITED,A0090080, 04/08/2016,OPS0273050,1797.46,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,RAPID RECRUIT LIMITED,A0090080, 04/08/2016,OPS0273131,2125.77,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,RAPID RECRUIT LIMITED,A0090080, 11/08/2016,OPS0273244,2577.93,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,RAPID RECRUIT LIMITED,A0090080, 11/08/2016,OPS0273244,421.42,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,RAPID RECRUIT LIMITED,A0090080, 25/08/2016,OPS0273590,464.34,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,RAPID RECRUIT LIMITED,A0090080, 04/08/2016,OPS0273131,569.46,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,RAPID RECRUIT LIMITED,A0090080, 04/08/2016,OPS0273050,1712.6,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,RAYNORS,A0082949, 11/08/2016,PCO0273228,137.76,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,47,RAZAMATAZ.COM LIMITED,A0085293, 11/08/2016,REG0273293,3308.18,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,47,RIGHTMOVE.CO.UK,A0077496, 01/08/2016,AAS0273670,312.8,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,CD,RIGHTMOVE.CO.UK,A0077496, 01/08/2016,AAS0273670,607.2,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,RIPON FARM SERVICES,A0025562, 18/08/2016,PCO0273399,448.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,RIPON FARM SERVICES,A0025562, 18/08/2016,PCO0273399,710.8,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Premises Related Expense,Premises Cleaning,26,ROACH CLEANING & MAINTENANCE SERVICES LTD,A0051553, 11/08/2016,HMR0273232,40,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Consultants Fees,44,RODNEY CAPSTICK BUILDING MAINTENANCE,A0085112, 18/08/2016,ENV0273471,58,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Consultants Fees,44,RODNEY CAPSTICK BUILDING MAINTENANCE,A0085112, 18/08/2016,ENV0273472,58,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,ROSSENDALE PET CREMATORIUM,A0002345, 11/08/2016,OPS0273242,18.6,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,ROSSENDALE PET CREMATORIUM,A0002345, 11/08/2016,OPS0273242,62,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,32,ROSSENDALE VULCANISING (SALES LTD),A0051239, 11/08/2016,PCO0273230,15,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,32,ROSSENDALE VULCANISING (SALES LTD),A0051239, 11/08/2016,PCO0273230,22,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,32,ROSSENDALE VULCANISING (SALES LTD),A0051239, 11/08/2016,PCO0273230,40,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 11/08/2016,DAL0273304,-103.72,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,422.97,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273642,1165.76,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,1181.21,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 11/08/2016,DAL0273304,2001.52,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273191,3.15,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,3.32,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,21.9,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273190,1530.36,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273191,1696.67,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,4.81,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,13.01,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,0.37,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,1.04,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,7.63,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,27.82,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,49.43,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 11/08/2016,DAL0273253,0.79,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,1.37,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,18.72,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,48.02,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,129.93,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,7.71,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,8.36,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,21.86,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,51.4,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,3.2,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,18.65,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 04/08/2016,DAL0273176,0.52,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 25/08/2016,DAL0273640,5.02,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Postages,45,ROYAL MAIL GROUP LIMITED,A0002281, 18/08/2016,OPS0273429,3.02,N,N/A,N,N/A
