Organisation,Invoice ID,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced (£)
Rochdale,V000846625,03/11/2014,MEANWOOD COMMUNITY PRIMARY SCHOOL,Public Bodies,EARLY HELP AND SCHOOLS,KITCHEN & DINING FACILITY EXPS / IMPR,15000
Rochdale,V000854084,26/11/2014,RICOH UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,LAND CHARGES,697.52
Rochdale,V000847406,04/11/2014,ROCHDALE HOUSING INITIATIVE,Housing Management,ECONOMY AND ENVIRONMENT,LANDLORD ASSISTANCE,3439.22
Rochdale,V000847386,03/11/2014,CALVAG,Clothing,ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,1000.8
Rochdale,V000850264,18/11/2014,ONE STOP FENCING PRODUCTS LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,674
Rochdale,V000852609,20/11/2014,PLAY & LEISURE LIMITED,Sports & Playground Equipment & Maintenance,ECONOMY AND ENVIRONMENT,LANDSCAPE SERVICES,3048.2
Rochdale,V000854962,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,EARLY HELP AND SCHOOLS,LANGLEY CHILDRENS CENTRE,1026.3
Rochdale,V000776781,21/11/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,LANGLEY CHILDRENS CENTRE,955.37
Rochdale,V000852964,21/11/2014,PAUL BROADBENT,Unclassifiable,LEARNING DIS & MENTAL HEALTH,LD FORUM - DAY CARE,782
Rochdale,V000848855,12/11/2014,MENCAP,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,633.6
Rochdale,V000848856,12/11/2014,MENCAP,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,633.6
Rochdale,V000852788,21/11/2014,MENCAP,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,5207.58
Rochdale,V000848857,12/11/2014,MENCAP,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - HOME SUPPORT,-678.23
Rochdale,V000854881,28/11/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,534.16
Rochdale,V000854822,27/11/2014,ALTERNATIVE FUTURES GROUP LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,4334.4
Rochdale,V000854823,27/11/2014,ALTERNATIVE FUTURES GROUP LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,4712.4
Rochdale,V000854824,27/11/2014,ALTERNATIVE FUTURES GROUP LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,30177.64
Rochdale,V000854826,27/11/2014,ALTERNATIVE FUTURES GROUP LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,4334.4
Rochdale,V000854829,27/11/2014,ALTERNATIVE FUTURES GROUP LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,4396.1
Rochdale,V000847106,03/11/2014,HG CARE SERVICES LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,1344
Rochdale,V000847108,03/11/2014,HG CARE SERVICES LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,1344
Rochdale,V000847097,03/11/2014,ROCHDALE GATEWAY LEISURE LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,620
Rochdale,V000847101,03/11/2014,ROCHDALE GATEWAY LEISURE LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,620
Rochdale,V000847103,03/11/2014,ROCHDALE GATEWAY LEISURE LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,620
Rochdale,V000852833,21/11/2014,SEVA SUPPORT LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,599.04
Rochdale,V000776781,21/11/2014,RICOH UK LTD,Facilities & Management Services,LEARNING DIS & MENTAL HEALTH,LD PROVIDER MANAGEMENT & ADMIN,1403.8
Rochdale,V000852580,20/11/2014,RICOH UK LTD,Facilities & Management Services,LEARNING DIS & MENTAL HEALTH,LD PROVIDER MANAGEMENT & ADMIN,1419.23
Rochdale,V000854128,25/11/2014,RICOH UK LTD,Facilities & Management Services,LEARNING DIS & MENTAL HEALTH,LD PROVIDER MANAGEMENT & ADMIN,1390.87
Rochdale,V000847831,06/11/2014,HER MAJESTYS COURT & TRIBUNAL SERVICE,Public Bodies,FINANCE SERVICES,LEGAL COSTS,500
Rochdale,V000852594,20/11/2014,DAC BEACHCROFT LLP,Legal Services,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,3402
Rochdale,V000852595,20/11/2014,DAC BEACHCROFT LLP,Legal Services,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,1112
Rochdale,V000847247,03/11/2014,HM LAND REGISTRY,Education,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,768
Rochdale,V000849161,13/11/2014,HM LAND REGISTRY,Education,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,731
Rochdale,V000853019,25/11/2014,RICOH UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,604.88
Rochdale,V000854084,26/11/2014,RICOH UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,604.89
Rochdale,V000848196,10/11/2014,OSBORNE TECHNOLOGIES LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,LIBRARY DIGITALISATION,3375
Rochdale,V000848332,10/11/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,LITTLEBOROUGH,530.02
Rochdale,V000849101,13/11/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,PROPERTY AND HIGHWAYS,LITTLEBOROUGH COMMUNITY CAMPUS,3475.18
Rochdale,V000852933,21/11/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,LITTLEBOROUGH LIBRARY,639.05
Rochdale,V000848785,11/11/2014,D SHAWCROSS LTD                      (S),"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,LITTLEBOROUGH ROOF REPLACEMENT 3RD PHASE,7864.43
Rochdale,V000849299,14/11/2014,ARROW BUSINESS COMMUNICATIONS LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,LOCK 50,600
Rochdale,V000847573,04/11/2014,CALEDONIAN LIFT SERVICES LTD,Facilities & Management Services,PROPERTY AND HIGHWAYS,LOCK 50,1245
Rochdale,V000854384,25/11/2014,FISHERS CLEANING SERVICES LIMITED,Cleaning & Janitorial,PROPERTY AND HIGHWAYS,LOCK 50,787.5
Rochdale,V000854397,25/11/2014,FISHERS CLEANING SERVICES LIMITED,Cleaning & Janitorial,PROPERTY AND HIGHWAYS,LOCK 50,787.5
Rochdale,V000855109,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,PROPERTY AND HIGHWAYS,LOCK 50,667.87
Rochdale,V000847588,04/11/2014,G COX & SONS LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,MAINTENANCE SCHEMES,5776.28
Rochdale,V000848056,06/11/2014,OPTI CAL,Human Resources,PROPERTY AND HIGHWAYS,MANAGED PROPERTY SERVICE,990
Rochdale,V000849118,13/11/2014,EMPLOYEE ADVISORY RESOURCE LIMITED,Human Resources,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,3250
Rochdale,V000848929,12/11/2014,REED BUSINESS INFORMATION LIMITED,Human Resources,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,1495
Rochdale,V000853020,24/11/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,8499.5
Rochdale,V000853058,21/11/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,4405
Rochdale,V000853059,21/11/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,2073.5
Rochdale,V000853137,24/11/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,8499.5
Rochdale,V000853141,24/11/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,8499.5
Rochdale,V000853142,24/11/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,8499.5
Rochdale,V000853143,24/11/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,8499.5
Rochdale,V000853144,24/11/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,8499.5
Rochdale,V000854087,26/11/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,8499.5
Rochdale,V000854326,25/11/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,961.32
Rochdale,V000854671,26/11/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,8499.5
Rochdale,V000852459,19/11/2014,OFSTED,Financial Services,CHILDREN’S SOCIAL CARE,MARTIN LANE,1919
Rochdale,V000850302,18/11/2014,NORTHERN STAGE SERVICES LTD,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,MAYORAL SUPPORT,1250
Rochdale,V000848646,11/11/2014,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,Financial Services,CUSTOMERS & CORPORATE SERVICES,MEMBERS SMALL CAPITAL GRANTS,544
Rochdale,V000854152,25/11/2014,ATI CREMATORS,Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,MERCURY ABATEMENT,19363.85
Rochdale,V000854447,25/11/2014,ATI CREMATORS,Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,MERCURY ABATEMENT,176417.85
Rochdale,V000854962,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,CUSTOMERS & CORPORATE SERVICES,MIDDLETON LIBRARY,739.79
Rochdale,V000776781,21/11/2014,RICOH UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,MIDDLETON LIBRARY,538.46
Rochdale,V000852875,21/11/2014,RICOH UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,MIDDLETON LIBRARY,526.47
Rochdale,V000848776,11/11/2014,CHESHIRE SUNBLIND COMPANY LTD,Domestic Goods,EARLY HELP AND SCHOOLS,MIDDLETON PARISH - PLACE PLANNING,686
Rochdale,V000848777,11/11/2014,TRIAD FABRICATIONS LIMITED,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,MIDDLETON PARISH - PLACE PLANNING,2092
Rochdale,V000848844,11/11/2014,NORDEN AGRICULTURAL CONTRACTORS,Horticultural,ECONOMY AND ENVIRONMENT,MIDDLETON S106 CAPITAL PROJECTS,4600
Rochdale,V000847839,06/11/2014,MINI SOIL SURVEYS (NORTHERN) LTD,Environmental Services,ECONOMY AND ENVIRONMENT,MIDDLETON TOWNSHIP HERITAGE INITIATIVE,535
Rochdale,V000854159,25/11/2014,SICO EUROPE LTD,Furniture & Soft Furnishings,ECONOMY AND ENVIRONMENT,MILNROW PARISH,7565
Rochdale,V000846716,03/11/2014,D AND M DEMOLITION AND RECYCLING LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,MISCELLANEOUS ECR,6975
Rochdale,V000849803,17/11/2014,D AND M DEMOLITION AND RECYCLING LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,MISCELLANEOUS ECR,9175
Rochdale,V000847945,06/11/2014,KEPPIE MASSIE,Consultancy,ECONOMY AND ENVIRONMENT,MISCELLANEOUS ECR,750
Rochdale,V000854619,26/11/2014,MR D ROUND,Unclassifiable,ECONOMY AND ENVIRONMENT,MISCELLANEOUS ECR,2200
Rochdale,V000847848,18/11/2014,O T GLYNN,Unclassifiable,CUSTOMERS & CORPORATE SERVICES,MOBILE WORKING,2757.98
Rochdale,V000776781,21/11/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,MOORHOUSE CHILDRENS CENTRE,544.77
Rochdale,V000854128,25/11/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,MOORHOUSE CHILDRENS CENTRE,541.07
Rochdale,V000848051,06/11/2014,STOREYS EDWARD SYMMONS LTD,Consultancy,FINANCE SERVICES,MUSEUM GENERAL,3094.72
Rochdale,V000849258,13/11/2014,UNITY PARTNERSHIP LTD,Information Communication Technology,PROPERTY AND HIGHWAYS,NETWORK DEVELOPMENT TEAM,7052.29
Rochdale,V000854960,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,EARLY HELP AND SCHOOLS,NEWBOLD CHILDRENS CENTRE,579.72
Rochdale,V000776781,21/11/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,NEWBOLD CHILDRENS CENTRE,1086.45
Rochdale,V000852580,20/11/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,NEWBOLD CHILDRENS CENTRE,1068.2
Rochdale,V000852875,21/11/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,NEWBOLD CHILDRENS CENTRE,808.39
Rochdale,V000854128,25/11/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,NEWBOLD CHILDRENS CENTRE,869.37
Rochdale,V000855109,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,EARLY HELP AND SCHOOLS,NEWBOLD CHILDRENS CENTRE,1079.12
Rochdale,V000848797,11/11/2014,GABLES UK LTD,Building Construction Materials,EARLY HELP AND SCHOOLS,NEWHEY ROOF REPLACEMENT 2ND PHASE,770.25
Rochdale,V000854337,25/11/2014,AMTOLL LIMITED,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,NO 1 RIVERSIDE CLEANING,575.4
Rochdale,V000852349,19/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,1103.76
Rochdale,V000852251,19/11/2014,ASHWORTH VIEW NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,1491
Rochdale,V000852253,19/11/2014,AUNT MARYS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,5929.56
Rochdale,V000852254,19/11/2014,BAMFORD PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,1366.6
Rochdale,V000852255,19/11/2014,BEECH HOUSE SCHOOL LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,5340.72
Rochdale,V000852256,19/11/2014,BUILDING BLOCKS DAY NURSERY NW LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,10096.17
Rochdale,V000852257,19/11/2014,BURNSIDE PRE-SCHOOL ACCOUNT,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,3129.84
Rochdale,V000852258,19/11/2014,BUTTERCUPS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,6927.65
Rochdale,V000852259,19/11/2014,BUTTONS & BOWS PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,1741.92
Rochdale,V000852260,19/11/2014,CABBAGE PATCH PRESCHOOL,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,7738.92
Rochdale,V000852345,19/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,997.92
Rochdale,V000852261,19/11/2014,CHANNINGS EARLY YEARS SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,3547.91
Rochdale,V000852262,19/11/2014,CLOVERLEAF CHILDCARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,5847.66
Rochdale,V000852281,19/11/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,4435.2
Rochdale,V000852305,19/11/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,1520.4
Rochdale,V000852263,19/11/2014,COSY TOES PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,2888.76
Rochdale,V000852264,19/11/2014,COTS AND TOTS,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,4292.4
Rochdale,V000852265,19/11/2014,CRECHE N CO LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,4341.79
Rochdale,V000852266,19/11/2014,CRIMBLE CROFT PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,3914.19
Rochdale,V000852267,19/11/2014,CUTGATE PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,2840.04
Rochdale,V000852268,19/11/2014,DAISY CHAINS PRIVATE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,3535.56
Rochdale,V000852269,19/11/2014,ELM STREET PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,3880.8
Rochdale,V000852270,19/11/2014,FAIRYFEET PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,1394.4
Rochdale,V000852272,19/11/2014,FISHERFIELD FARM NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,11412.72
Rochdale,V000852273,19/11/2014,FISHERFIELD FARM NURSERY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,2286.9
Rochdale,V000852274,19/11/2014,FISHERFIELD FARM NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,4975.74
Rochdale,V000852271,19/11/2014,FISHERFIELD FARM NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,8959.68
Rochdale,V000852403,19/11/2014,GEMMA DEARNLEY,Unclassifiable,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,569.88
Rochdale,V000852276,19/11/2014,GENESIS DAY CARE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,6637.89
Rochdale,V000852275,19/11/2014,GENESIS DAY CARE NURSERY LIMITED,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,6671.28
Rochdale,V000852277,19/11/2014,HAPPY JACKS CHILDREN DAY NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,4930.99
Rochdale,V000852280,19/11/2014,HAPPYTOTS,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,584.14
Rochdale,V000852278,19/11/2014,HAWARDEN HOUSE PRIVATE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,1209.6
Rochdale,V000852279,19/11/2014,HOLLINS NURSERY CIC,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,2288.55
Rochdale,V000854963,28/11/2014,HOPWOOD PARK PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,5418
Rochdale,V000852295,19/11/2014,KR INVEST LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,6993.84
Rochdale,V000852282,19/11/2014,LAROCHE DAY CARE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,5228.5
Rochdale,V000852283,19/11/2014,LITTLE GEMS PDN,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,2268
Rochdale,V000852380,19/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,728.28
Rochdale,V000852284,19/11/2014,MILNROW PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,13265.28
Rochdale,V000852352,19/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,950.88
Rochdale,V000852377,19/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,710.64
Rochdale,V000855127,28/11/2014,NATURES NURSERY HUDDERSFIELD LTD,Horticultural,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,7211.04
Rochdale,V000852285,19/11/2014,NEWBOLD CHILDRENS CENTRE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,7414.68
Rochdale,V000852286,19/11/2014,NEWBOLD COMMUNITY PLAYGROUP,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,1298.05
Rochdale,V000852287,19/11/2014,OULDER HILL PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,3971.1
Rochdale,V000852288,19/11/2014,RHODES PRESCHOOL,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,5186.16
Rochdale,V000852252,19/11/2014,RIGHT START DAY NURSERIES LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,902.16
Rochdale,V000852289,19/11/2014,ROLY POLEYS PRIVATE DAY NURSERY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,3951.99
Rochdale,V000852290,19/11/2014,SANDBROOK CC NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,11184.26
Rochdale,V000852291,19/11/2014,SCAMPS PRE-SCHOOL PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,5195.57
Rochdale,V000852292,19/11/2014,SEEROS PRIVATE DAY NURSERY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,10178.88
Rochdale,V000852304,19/11/2014,SHUTTERS VILLAGE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,3811.5
Rochdale,V000852293,19/11/2014,SMALL WORLD NURSERIES LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,8191.08
Rochdale,V000852294,19/11/2014,SPRING WILLOWS PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,3091.2
Rochdale,V000852296,19/11/2014,ST JOSEPHS PRESCHOOL NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,17309.55
Rochdale,V000852297,19/11/2014,ST THOMAS MORE PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,646.46
Rochdale,V000852298,19/11/2014,SUNFLOWER NURSERIES LIMITED,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,9121.35
Rochdale,V000852299,19/11/2014,SUPERTOTS DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,6726.72
Rochdale,V000852300,19/11/2014,TEDDY BEAR NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,7013.16
Rochdale,V000852302,19/11/2014,TEDDY BEAR NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,739.2
Rochdale,V000853134,24/11/2014,THE APPLE TREE PRIVATE DAY NURSERY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,3622.29
Rochdale,V000852303,19/11/2014,THE OLD LIBRARY PDN,Unclassifiable,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,2876.76
Rochdale,V000852778,20/11/2014,THE WILLOWS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,5900
Rochdale,V000852779,20/11/2014,THE WILLOWS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,9500
Rochdale,V000853132,24/11/2014,THE WILLOWS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,8960.28
Rochdale,V000852306,19/11/2014,WARDLE CHILDCARE PARTNERSHIP,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,1090.82
Rochdale,V000852307,19/11/2014,WENDYS,Unclassifiable,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,8842.68
Rochdale,V000852308,19/11/2014,WOODLAND PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,3564.54
Rochdale,V000848662,10/11/2014,THE PENNINE ACUTE HOSPITALS NHS TRUST,Healthcare,CUSTOMERS & CORPORATE SERVICES,OCCUPATIONAL HEALTH CONTRACT,2058.72
