Reference Number,Titile of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Start Date,End Date,End Date (including extension),Review Date,Award Method,SME?
5000004851,Child Placement (CS),Children's Service,Child Placement - LCP,Igleside Childrens Home Ltd,"£159,342.14",10/04/2013,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000004850,Child Placement (CS),Children's Service,Child Placement - LCP/ No contract on file as contract has not been requested due to placement team chasing provider for pricing schedule.,Tumblewood Project,"£202,500.00",10/04/2013,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000004869,Specialist consultant (CS),Children's Service,Under 10k - Sub Threshold,Lorimer,"£10,000.00",12/04/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005148,Spec Educational Needs Trans F/Wk (EPR),Street Scene,Spec Educational Needs Trans F/Wk (EPR),Brent Couriers,"£650,000.00",15/04/2013,31/03/2014,KEEP,30/06/2013,ITT,N/A
5000005147,Spec Educational Needs Trans F/Wk (EPR),Street Scene,Spec Educational Needs Trans F/Wk (EPR),Metro Cars,"£550,000.00",15/04/2013,31/03/2014,KEEP,30/06/2013,ITT,N/A
5000005146,Spec Educational Needs Trans F/Wk (EPR),Street Scene,Spec Educational Needs Trans F/Wk (EPR),Star Cars Ltd,"£850,000.00",15/04/2013,31/03/2014,KEEP,30/06/2013,ITT,N/A
5000005145,Spec Educational Needs Trans F/Wk (EPR),Street Scene,Spec Educational Needs Trans F/Wk (EPR),Cavendish Radio Cars,"£17,672.00",15/04/2013,31/03/2014,,30/06/2013,ITT,N/A
5000005144,Spec Educational Needs Trans F/Wk (EPR),Street Scene,Spec Educational Needs Trans F/Wk (EPR),Chequers Transport,"£92,662.80",15/04/2013,31/03/2014,KEEP,30/06/2013,ITT,N/A
5000005326,SEN Trans Framework (EPR),Street Scene,SEN Transport Framework,B & L Coaches,"£100,000.00",15/04/2013,31/03/2014,KEEP,30/06/2013,ITT,N/A
5000005176,Spec Educational Needs Trans F/Wk (EPR),Street Scene,SEN Transport Framework,AMAC Express Services,"£45,000.00",15/04/2013,31/03/2014,KEEP,30/06/2013,ITT,N/A
5000004875,Internal building modifications (DCE),CSG,Internal building modifications,Kirkman & Jourdain,"£31,781.20",16/04/2013,31/03/2016,,30/06/2015,ITT,N/A
5000004886,Psychological Consultation,Adults and Communities,Psychological Consultation,Abigael San,"£12,000.00",17/04/2013,31/03/2016,,30/06/2015,ITT,N/A
5000004891,Specialist book supplier (CS),Children's Service,Specialist book supplier  (CS),Star Books,"£15,000.00",17/04/2013,31/03/2016,,30/06/2015,ITT,N/A
5000004885,Child Placement (Learning Opportunities),Children's Service,SEN placement - NASS/ NON PROCUREMENT,Learning Opportunites Ltd,"£29,775.00",17/04/2013,31/03/2014,31/03/2014,30/06/2013,Quote,N/A
5000004894,HCC Cremators replacement (DCE),Re,HCC Cremators replacement  (DCE),Facultatieve,"£926,440.00",17/04/2013,30/09/2015,,30/12/2014,ITT,N/A
5000005656,App connections Sterling Corner (EPR),Re,Decant machine/appliance re-plumbing service,M A Wash-Vac Services,"£15,000.00",22/04/2013,22/04/2014,,22/07/2013,ITT,N/A
5000004916,Legal Services (Ins),CSG,Legal Services  (Ins),Legal Costs,"£24,500.00",24/04/2013,31/03/2016,,30/06/2015,ITT,N/A
5000004915,Professional Consultancy (Ins),CSG,Professional Consultancy  (Ins),Johnson Austin,"£24,500.00",24/04/2013,31/03/2014,,30/06/2013,ITT,N/A
5000004914,Professional Consultancy (Ins),CSG,Professional Consultancy  (Ins),Treesubs Ltd,"£24,500.00",24/04/2013,31/03/2014,,30/06/2013,ITT,N/A
700094,SWIFT19 Supported Housing,Adults and Communities,Supported living framework,Royal National Mencap Society,"£169,556.30",28/04/2013,29/04/2015,31/03/2017,29/07/2014,ITT,N/A
5000004939,Contract D (PROCUREMENT DEPT ONLY),CSG,Contract D   (PROCUREMENT DEPT ONLY),Servest(Commercial,"£700,000.00",29/04/2013,31/09/2014,,#VALUE!,ITT,N/A
5000004953,Bus & Tube Adverts for EPR (DCE),CSG,Bus & Tube Adverts for EPR   (DCE),C B S Outdoor Ltd,"£15,500.00",30/04/2013,31/03/2016,,30/06/2015,ITT,N/A
5000004954,Hazardous Waste Disposal (EPR),Street Scene,Hazardous Waste Disposal,City of London,"£19,000.00",30/04/2013,31/03/2016,,30/06/2015,ITT,N/A
5000004942,Process CPZ permits for Saracens (EPR),Street Scene,CPZ for Saracens scratchcard permit,Civica Ltd,"£19,060.00",30/04/2013,31/03/2014,,30/06/2013,Quote,N/A
5000004975,Remaining fee 12/13 & 13/14 (DCE),CSG,Remaining fee 12/13 & 13/14  (DCE),The Wm Company,"£13,000.00",01/05/2013,31/03/2014,,30/06/2013,ITT,N/A
5000004973,Re-coupment of Pension Cont (DCE),CSG,Re-coupment of Pension Cont (DCE),London Pensions,"£51,000.00",01/05/2013,31/03/2016,,30/06/2015,ITT,N/A
5000004982,Case management system & support (CGov),Assurance,Case management system & support (CGov),iCasework Ltd,"£10,200.00",02/05/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005189,Residential Independent Adv Serv (EPR),Re,Residential Independent Adv Serv  (EPR),Strategic Urban,"£88,000.00",07/05/2013,07/05/2017,,07/08/2016,ITT,N/A
5000005027,Refurbishment of Metal Containers (EPR),Street Scene,Refurbishment of Metal Containers ,UK Container,"£12,000.00",08/05/2013,13/04/2015,,13/07/2014,ITT,N/A
5000005041,Landlord Accreditation Scheme (EPR),Re,Landlord Accreditation Scheme  (EPR),London Borough of,"£10,000.00",09/05/2013,31/03/2014,,30/06/2013,ITT,N/A
5000005039,Pest control supplies (EPR),Re,Pest control supplies  (EPR),Killgerm Chemicals,"£10,000.00",09/05/2013,31/03/2014,,30/06/2013,Quote,N/A
5000005051,Water Services (EPR),Street Scene,Water Services (EPR),Affinity Water,"£10,141.44",09/05/2013,31/03/2014,,30/06/2013,ITT,N/A
5000005065,Cleaning Materials (All Directorates),CSG,Cleaning Materials (All Directorates),Servest(Commercial,"£24,394.74",10/05/2013,31/09/2014,,#VALUE!,ITT,N/A
5000005074,Children's Home (CS),Children's Service,Child Placement - LCP,Adeza Care Homes Ltd,"£229,500.00",13/05/2013,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000005075,Footpath Spec & Submission Rev (EPR),Street Scene,Footpath Spec & Submission Rev (EPR),AECOM Limited,"£20,098.02",13/05/2013,31/03/2014,,30/06/2013,ITT,N/A
5000005090,Secure Unit (CS) (Non-Procurement),Children's Service,Not a Procurement - Court Ordered Placements. Authorisation required due to value (spot purchasing),Youth Justice Board,"£376,000.00",20/05/2013,30/06/2014,30/05/2014,30/09/2013,ITT,N/A
5000005531,Primary Expansions JCT1,CSG,Primary Expansions JCT1,Mace Ltd,"£10,272,759.00",20/05/2013,31/10/2014,,31/01/2014,ITT,N/A
5000005088,Paul Winter & Co Solicitor (EPR),Re,Paul Winter & Co Solicitor (EPR),Paul Winter & Co,"£282,000.00",20/05/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005102,CCTV Lines for Borough Cameras (AD),Adults and Communities,CCTV Lines for Borough Cameras (AD),British Telecom Plc,"£160,000.00",22/05/2013,31/03/2014,,30/06/2013,ITT,N/A
5000005104,Askews & Holts Library Serv Ltd (CS),Children's Service,Libraries framework,Askews & Holts,"£730,000.00",22/05/2013,31/03/2016,30/05/2014,30/06/2015,ITT,N/A
5000005103,Bertram Library Services (CS),Children's Service,Bertram Library Services (CS),Bertram Library,"£44,000.00",22/05/2013,31/03/2016,30/05/2014,30/06/2015,ITT,N/A
5000005106,Residential Care Fremantle contract,Adults and Communities,Block bed contract for elderly residential and nusring care,Fremantle Trust,"£6,113,250.00",23/05/2013,30/09/2023,30/09/2023,30/12/2022,ITT,N/A
700114,SWIFT03 Terrington Lodge,Adults and Communities,SWIFT03 Terrington Lodge,Terrington Lodge Ltd,"£23,112.00",23/05/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005111,Serv Delivery Fees One Barnet (DCE),CSG,Serv Delivery Fees One Barnet  (DCE),4Projects Ltd,"£11,687.00",24/05/2013,31/03/2014,,30/06/2013,ITT,N/A
5000005127,Library books (CS),Children's Service,Library books  (CS),Bibliographical,"£19,000.00",28/05/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005122,Library books (CS),Children's Service,Libraries,AudioGo Ltd,"£28,000.00",28/05/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005113,Independent Social Work (CS),Children's Service,Independent Social Work (CS),Hilary Trevelyan,"£32,000.00",28/05/2013,01/04/2015,,01/07/2014,ITT,N/A
5000005132,GVA - CBX Scheme (EPR),Re,GVA - CBX Scheme  (EPR),GVA Grimley Ltd,"£439,040.00",29/05/2013,01/04/2016,,01/07/2015,ITT,N/A
5000005131,Sports equipment (EPR),Street Scene,Sports equipment  (EPR),Harrod UK Limited,"£10,000.00",29/05/2013,31/03/2014,,30/06/2013,Quote,N/A
5000005160,Testing services (EPR),Re,Testing services  (EPR),Eurofins,"£10,000.00",30/05/2013,25/04/2014,,25/07/2013,ITT,N/A
5000005161,Professional Serv for Cricklewood (EPR),Re,Professional Serv for Cricklewood (EPR),Space Makers Agency Ltd,"£20,000.00",30/05/2013,16/05/2014,,16/08/2013,ITT,N/A
5000005223,Plans for Civic buildings (DCE),CSG,Plans for Civic buildings  (DCE),HB Surveys Limited,"£10,000.00",01/06/2013,31/05/2015,,31/08/2014,ITT,N/A
5000005175,Spec Educ Needs Transport F/Work (EPR),Street Scene,Spec Educ Needs Transport F/Work (EPR),Cheetah Minicabs,"£136,060.60",03/06/2013,31/03/2014,KEEP,30/06/2013,ITT,N/A
5000005174,Spec Educ Needs Transport F/Work (EPR),Street Scene,Spec Educ Needs Transport F/Work (EPR),IHS Corporation Ltd,"£67,320.00",03/06/2013,31/03/2014,KEEP,30/06/2013,ITT,N/A
5000005180,Spec Educ Needs Transport F/Work (EPR),Street Scene,Spec Educ Needs Transport F/Work (EPR),Rasmi Services,"£31,956.24",04/06/2013,31/03/2014,KEEP,30/06/2013,ITT,N/A
5000005179,Spec Educ Needs Transport F/Work (EPR),Street Scene,Spec Educ Needs Transport F/Work  (EPR),The Impact Group Plc,"£96,820.00",04/06/2013,31/03/2014,KEEP,30/06/2013,ITT,N/A
5000005178,Spec Edu Needs Transport F/Work (EPR),Street Scene,Spec Edu Needs Transport F/Work  (EPR),Welcome Cars Limited,"£259,052.60",04/06/2013,31/03/2014,KEEP,30/06/2013,ITT,N/A
5000005337,Mental Health Assessments,Adults and Communities,Mental Health Assessments,Ashpri Ltd,"£15,000.00",11/06/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005221,Consultancy work (DCE),CSG,Consultancy work  (DCE),Gillian Pearson,"£15,000.00",11/06/2013,31/03/2014,,30/06/2013,ITT,N/A
5000005276,Elec Leaving Care Team Woodhouse Rd(AD),Adults and Communities,Electricity supply for a resident,EDF Energy,"£13,000.00",13/06/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005275,Gas for Leaving Care Tm Woodhouse Rd,Children's Service,Gas supply for a resident. Non -Procurement,British Gas Business,"£13,000.00",13/06/2013,31/03/2016,,30/06/2015,Quote,N/A
5000005241,Peer support (SHORT BREAKS TEAM ONLY),Children's Service,Purchase Order Contract as under 25k,Prt Barnet Carers,"£12,698.00",18/06/2013,30/05/2014,,30/08/2013,ITT,N/A
5000000516,Respite Care (SHORT BREAKS TEAM ONLY),Children's Service,Respite Care (SHORT BREAKS TEAM ONLY),Noah's Ark Hospice,"£10,453.00",18/06/2013,31/03/2014,,30/06/2013,Quote,N/A
5000005738,Alina Boca,Adults and Communities,Alina Boca,Alina Boca Event Floristry,"£12,000.00",20/06/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005704,National Pen Promption Prod,Adults and Communities,National Pen Promption Prod,National Pen Ltd,"£15,000.00",20/06/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005737,Training (AD),Adults and Communities,Training (AD),Local Registration Services Association,"£23,000.00",20/06/2013,31/03/2015,,30/06/2014,ITT,N/A
5000003776,School Travel Plan Grant (EPR),Re,School Travel Plan Grant  (EPR),Deansbrook Infant School,"£11,300.00",21/06/2013,21/06/2016,,21/09/2015,ITT,N/A
5000003778,School Travel Plan Grant (EPR),Re,School Travel Plan Grant  (EPR),Garden Suburb Infant School,"£10,200.00",21/06/2013,21/06/2016,,21/09/2015,ITT,N/A
5000003781,School Travel Plan Grant (EPR),Re,School Travel Plan Grant  (EPR),St Joseph's Junior School,"£10,800.00",21/06/2013,21/06/2016,,21/09/2015,ITT,N/A
5000003802,School Travel Plan Grant (EPR),Re,School Travel Plan Grant  (EPR),All Saints' CE School N20,"£10,500.00",21/06/2013,21/06/2016,,21/09/2015,ITT,N/A
5000003805,School Travel Plan Grant (EPR),Re,School Travel Plan Grant  (EPR),St Catherine's RC School,"£10,800.00",21/06/2013,21/06/2016,,21/09/2015,ITT,N/A
5000003815,School Travel Plan Grant (EPR),Re,School Travel Plan Grant  (EPR),Lyonsdown School Trust Ltd,"£10,100.00",21/06/2013,21/06/2016,,21/09/2015,ITT,N/A
5000003838,School Travel Plan Grant (EPR),Re,School Travel Plan Grant  (EPR),Courtland School,"£11,500.00",21/06/2013,21/06/2016,,21/09/2015,ITT,N/A
5000003847,School Travel Plan Grant (EPR),Re,School Travel Plan Grant  (EPR),Oakleigh School,"£10,000.00",21/06/2013,21/06/2016,,21/09/2015,ITT,N/A
5000003867,School Travel Plan Grant (EPR),Re,School Travel Plan Grant  (EPR),St John's CE School N11,"£10,500.00",21/06/2013,21/06/2016,,21/09/2015,ITT,N/A
5000003871,School Travel Plan Grant (EPR),Re,School Travel Plan Grant  (EPR),JCoSS,"£10,000.00",21/06/2013,21/06/2016,,21/09/2015,ITT,N/A
5000005288,PSN Healthcheck 2013 (DCE),CSG,PSN Healthcheck 2013   (DCE),S.Com Group Limited,"£24,000.00",24/06/2013,23/06/2014,,23/09/2013,ITT,N/A
5000005315,Social Care Placements (CS),Children's Service,Residential placements to children,Tabularasa UK,"£709,800.00",28/06/2013,01/08/2016,01/08/2016,01/11/2015,Quote,N/A
5000005303,Insurance for NLBP Building 2 & 4 (DCE),CSG,Insurance for NLBP Building 2 & 4  (DCE),Middlesex University,"£17,000.00",28/06/2013,31/03/2014,,30/06/2013,ITT,N/A
5000006362,Tools & Plant Equip (EPR),Street Scene,Tools & Plant equip,Colas,"£30,000.00",28/06/2013,01/07/2015,,01/10/2014,ITT,N/A
5000006332,Section 75- ICLD,Adults and Communities,Non- Procurement,Central London Community Healthcare,"£2,019,478.33",01/07/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005452,Clubs and Holiday Provisions (CS),Children's Service,Clubs and Holiday Provisions (CS),Fair Play Barnet,"£67,964.00",01/07/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005451,Inclusive Training (CS),Children's Service,Inclusive Training (CS),Fair Play Barnet,"£49,954.00",01/07/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005449,Disabled Children and Young Adults (CS),Children's Service,Disabled Children and Young Adults (CS),Fair Play Barnet,"£290,242.00",01/07/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005448,Families experiencing Dom Violence (CS),Children's Service,Families experiencing Dom Violence (CS),Home Start Barnet,"£43,668.00",01/07/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005447,Community Coaching for Families (CS),Children's Service,Community Coaching for Families (CS),Home Start Barnet,"£439,335.00",01/07/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005446,Working with Traveller communities (CS),Children's Service,Working with Traveller communities (CS),Community Barnet,"£35,655.00",01/07/2013,31/03/2016,31/03/2014,30/06/2015,ITT,N/A
5000005445,Parenting Programmes: Hard to reach (CS),Children's Service,Parenting Programmes. Awaiting final contract document.,Community Barnet,"£107,810.00",01/07/2013,31/03/2016,31/03/2014,30/06/2015,ITT,N/A
5000005444,Young People Intervention: Mentoring(CS),Children's Service,NASS,Barnardo Services,"£168,911.00",01/07/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005442,Supporting Young Carers (CS),Children's Service,Supporting Young Carers (CS),Barnet Carers Centre,"£321,967.00",01/07/2013,31/03/2016,31/03/2014,30/06/2015,ITT,N/A
5000005441,Disabled children and Young People (CS),Children's Service,Disabled children and Young People (CS),Barnet Mencap,"£126,770.00",01/07/2013,31/03/2016,31/03/2014,30/06/2015,ITT,N/A
5000005440,Young people and intervention (CS),Children's Service,Young people and intervention (CS),The Barnetgroup,"£419,710.00",01/07/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005439,Peer to Peer role Model Scheme (CS),Children's Service,Peer to Peer role Model Scheme (CS),The Barnetgroup,"£169,580.00",01/07/2013,31/03/2016,,30/06/2015,ITT,N/A
5000005370,Serv to YP Learning difficultues (CS),Children's Service,"To provide information, advice and guidance for young people with LDD (Learning Difficulties and Disabilities)",Prospects Services,"£498,981.33",01/07/2013,31/07/2015,30/06/2015,31/10/2014,ITT,N/A
5000005879,Childcare Providers (lot a),Children's Service,Raising standards & quality provision in Childcare providers,Barnet Sub-Committee of the Pre School Learning Alliance,"£305,529.00",01/07/2013,31/03/2016,,30/06/2015,Quote,N/A
5000005915,Aasia Qayium ISW,Children's Service,Independent Social Worker,Aasia Qayium,"£20,000.00",01/07/2013,01/07/2015,,01/10/2014,Quote,N/A
5000005984,Young People Drug & Alcohol Service,Children's Service,Young People Drug & Alcohol Service,Tavistock And Portman Nhs Foundation Trust,"£600,435.00",01/07/2013,31/03/2016,,30/06/2015,Quote,N/A
700052,Advocacy Services,Children's Service,Advocacy Services,Barnardos,"£156,000.00",01/07/2013,30/06/2016,,30/09/2015,OJEU,N/A
5000000719,Bio degradable caddy liners (EPR),Street Scene,Supply of biodegradable liners,Cromwell Polythene Ltd,"£26,343.00",01/07/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005299,Clear plastic sacks,Street Scene,Provision of clear plastic sacks for waste/recycling,Cromwell Polythene Limited,"£53,361.00",01/07/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005494,Countryside Management Ops (EPR),Street Scene,"Supply of rural management, rural verges, hedge management and ditch/culvert maintenance",Bush Wheeler Services Limited,"£63,500.00",01/07/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005497,Countryside Contracts (EPR),Street Scene,Supply of access bridleway/rural path maintenance,Countryside Contracts,"£22,000.00",01/07/2013,30/06/2014,,30/09/2013,ITT,N/A
5000005322,Transport / Coach Hire (CS),Children's Service,Transport / Coach Hire  (CS),S.P. Coaches,"£14,900.00",02/07/2013,31/03/2014,,30/06/2013,ITT,N/A
5000005333,BT-THE NETWORK USE ONLY (AD),Adults and Communities,telephone lines to access,British Telecom Plc,"£15,000.00",03/07/2013,31/03/2014,,30/06/2013,ITT,N/A
5000005336,NCER Core Package (CS) (Non-procurement),Children's Service,Non- Procurement,National Consortium for Examination (NCER),"£14,969.48",03/07/2013,30/06/2014,,30/09/2013,ITT,N/A
5000005721,St Christophers- Residential,Children's Service,St Christophers- Residential,St Christophers Fellowship,"£319,200.00",04/07/2013,31/07/2017,30/05/2014,31/10/2016,ITT,N/A
5000005384,RM Hosting for school (DCE),CSG,RM Hosting for school   (DCE),RM Education Plc,"£24,672.00",08/07/2013,31/03/2014,,30/06/2013,ITT,N/A
5000005406,Social Care Placement (CS),Children's Service,Family Placement ,Jamma Umoja,"£103,350.00",10/07/2013,31/03/2017,,30/06/2016,ITT,N/A
5000005753,New Build (CSG),CSG,Replacement of the existing dininh hall,Grasvenor Avenue Infant School,"£180,000.00",10/07/2013,31/12/2015,,31/03/2015,ITT,N/A
5000005425,National Schools Contract NASS (CS),Children's Service,Placement of Children in care - NASS,SES Turnstone,"£200,000.00",16/07/2013,31/08/2015,,30/11/2014,ITT,N/A
5000005488,Bentley Consultancy Service (EPR),Re,Bentley Consultancy Service (EPR),Bentley Systems UK Ltd,"£80,000.00",16/07/2013,31/03/2016,,30/06/2015,ITT,N/A
700405,SWIFT 30 Carers Emergency Plan Service,Adults and Communities,Carers Emergency Plan Service,Barnet homes Ltd Assist,"£25,000.00",23/07/2013,23/06/2016,,23/09/2015,ITT,N/A
700406,SWIFT 31 Whitehall Road,Adults and Communities,Whitehall Road,Care Assist Ltd,"£85,146.00",24/07/2013,31/07/2015,,31/10/2014,ITT,N/A
5000005500,Community Advice (AD),Adults and Communities,Community Advice (AD),Barnet Citizens Advice Bureau,"£549,785.60",01/08/2013,31/01/2015,,30/04/2014,ITT,N/A
5000005843,Membership of localis 2014/14,Adults and Communities,Membership of localis 2014/14,Localis Research Limited,"£13,144.00",01/08/2013,31/07/2014,,31/10/2013,ITT,N/A
5000005980,Perception surveys,Commissioning Group,Residents Perception Tracker Survey ,ORS Ltd,"£120,000.00",01/08/2013,10/08/2015,,10/11/2014,ITT,N/A
5000005487,Child Placement,Children's Service,Child Placement- Awaiting contract,Oak Tree Care Services Ltd (CS),"£29,750.00",01/08/2013,31/03/2017,,30/06/2016,ITT,N/A
5000005858,AAC Communication System,Children's Service,AAC Communication System,RSL Steeper,"£13,000.00",01/08/2013,31/07/2016,,31/10/2015,Quote,N/A
5000005709,Misco,Children's Service,Misco ,Misco,"£10,000.00",01/08/2013,31/07/2014,,31/10/2013,Quote,N/A
5000005706,Optelec,Children's Service,Optelec ,Optelec Ltd,"£10,000.00",01/08/2013,31/07/2014,,31/10/2013,Quote,N/A
5000000664,Treasury Advisors,CSG,Treasury advisory service,Arlingclose,"£52,000.00",01/08/2013,31/07/2015,,31/10/2014,ITT,N/A
5000005637,Bailiff Attendance,CSG,Bailiff Attendance,Marston Group,"£20,000.00",01/08/2013,31/03/2014,,30/06/2013,ITT,N/A
5000005543,Snagging Chipping Barnet Church (EPR),Re,Snagging requirements for work delivery,Blakedown Landscape (SE) Ltd,"£15,000.00",01/08/2013,31/03/2014,,30/06/2013,Quote,N/A
5000004899,Invasive Weeds,Street Scene,Invasive Weeds,Iris Gardening Services,"£120,000.00",01/08/2013,03/03/2016,,03/06/2015,ITT,N/A
5000005730,Reusable bags Recycling bags,Street Scene,Supp & Del of reusable recycling bags,Weir & Carmichael Ltd,"£57,140.00",01/08/2013,31/07/2015,,31/10/2014,ITT,N/A
5000005527,NSCSO Contract (CSG),Commissioning Group,"NSCSO Contract - Procurement, Estates Management, Information Services, Revenue and Benefits, Customer Services, Corporate Programme Management, Human Resources and Finance",Capita Business Services Ltd,"£265,595,104.00",05/08/2013,31/08/2023,,30/11/2022,ITT,N/A
5000005675,Child Placement,Children's Service,Child Placement,Wilderness Experience Ltd,"£81,000.00",08/08/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005943,Supply & Planting of Bulbs,Street Scene,Supply and Planting of bulbs,Lubbe & Sons,"£13,000.00",08/08/2013,31/03/2014,,30/06/2013,Quote,N/A
5000005724,Hertfordshire Childrens Centre Eqp (CS),Children's Service,Hertfordshire Childrens Centre Eqp (CS),Hertfordshire County Council,"£10,000.00",13/08/2013,13/08/2015,,13/11/2014,Quote,N/A
5000005665,Legal Costs - Consent order,Adults and Communities,To pay for service goods received.,Capsticks Solicitors LLB,"£25,000.00",20/08/2013,31/03/2015,,30/06/2014,ITT,N/A
5000005783,Bursary Payment,Children's Service,Non-procurement,University of Southampton,"£150,000.00",20/08/2013,20/08/2015,,20/11/2014,Quote,N/A
5000001028,Radio units (Comm Grp),Commissioning Group,Radio units   (Comm Grp),Airwave Solutions Limited,"£11,922.00",21/08/2013,20/08/2016,,20/11/2015,ITT,N/A
5000005831,BPSI Associate Advisor,Children's Service,BPSI Associate Advisor,Natalie Sirett,"£12,000.00",23/08/2013,31/03/2016,,30/06/2015,Quote,N/A
5000004946,Highways Sign Shop Vinyls,Street Scene,Supply of Sign Shop Vinyls,Rennick UK Ltd,"£150,000.00",23/08/2013,22/08/2016,,22/11/2015,ITT,N/A
5000004808,Early Intervention Software,Children's Service,Early Intervention Software,Liquid Logic Ltd,"£205,200.00",30/08/2013,30/08/2015,,30/11/2014,Quote,N/A
5000004862,eFinance System,Children's Service,eFinance System,Oxford Computer Consultants,"£243,700.00",30/08/2013,30/08/2015,,30/11/2014,Quote,N/A
5000006154,SEN Education Placements (non-procurement),Children's Service,SEN Education Placements (non-procurement),St Columbas College,"£13,000.00",01/09/2013,30/06/2014,,30/09/2013,ITT,N/A
5000006075,Philpots Manor School,Children's Service,Philpots Manor School,Philpots Manor School,"£50,232.00",01/09/2013,31/07/2015,,31/10/2014,Quote,N/A
5000005911,Bnos Beis Yaakov SEN - NASS (non-procurement),Children's Service,Bnos Beis Yaakov SEN - NASS (non-procurement),Bnos Beis Yaakov Primary School,"£15,899.00",01/09/2013,31/03/2016,,30/06/2015,Quote,N/A
5000004945,Highways Sign Shop Alloys,Street Scene,Supply of Sign Shop Alloys,ASD Metals,"£100,000.00",01/09/2013,31/08/2016,,30/11/2015,ITT,N/A
5000004951,Highways Pedestrian Guardrails,Street Scene,Supply of pedestrian guardrails,Fabrikat,"£15,000.00",01/09/2013,31/08/2015,,30/11/2014,ITT,N/A
5000005061,Highways Paving Materials and Kerbs,Street Scene,Supply of paving materials and kerbs,Aggregate Industries,"£45,000.00",01/09/2013,31/08/2015,,30/11/2014,ITT,N/A
5000005893,Supply and maintenance of radio equipment,Street Scene,Provision of radio system for waste fleet,Radiocoms Systems Ltd,"£51,961.00",01/09/2013,31/05/2015,,31/08/2014,ITT,N/A
5000005815,Customer Research and Review,Street Scene,Customer Research & Review,Alpha Research,"£20,355.00",04/09/2013,31/03/2014,,30/06/2013,Quote,N/A
5000005800,Child Placement,Children's Service,Child Placement,Alere Care,"£45,084.00",05/09/2013,31/03/2017,30/05/2014,30/06/2016,ITT,N/A
5000005801,Child Placement,Children's Service,Child Placement,Allison Lodge Ltd,"£29,750.00",05/09/2013,31/03/2017,,30/06/2016,ITT,N/A
5000005794,The Breslaff Centre (Non-procurement),Children's Service,Court Ordered,The Breslaff Centre,"£41,000.00",06/09/2013,30/06/2014,,30/09/2013,ITT,N/A
5000005796,Capita IT Services (BSF) Ltd,CSG,Schools ICT,Capita IT Services (BSF) Ltd,"£21,000.00",12/09/2013,31/03/2014,,30/06/2013,ITT,N/A
5000005555,LD Ethnographic Research (AD),Adults and Communities,LD Ethnographic Research (AD),The Innovation unit Ltd,"£24,960.00",15/09/2013,11/09/2014,,11/12/2013,Quote,N/A
5000005937,BPSI Associate Advisor,Children's Service,BPSI Associate Advisor,Mike Horton,"£21,000.00",27/09/2013,31/03/2016,,30/06/2015,Quote,N/A
5000005115,Copthall Playing Fields Drainage,Street Scene,Provision of drainage to Copthall Playing Field,Hugh Pearl Land Drainage,"£420,635.00",27/09/2013,26/09/2014,,26/12/2013,ITT,N/A
5000005923,Disposal of Green waste from parks,Street Scene,Disposal of Green Waste from parks,London Waste Ltd,"£30,000.00",30/09/2013,31/03/2014,,30/06/2013,ITT,N/A
5000006184,NGDP Recruitment,Adults and Communities,Non- Procurement as is a government Apprenticeship Scheme,Local Government Improvement and ,"£11,250.00",01/10/2013,30/09/2015,,30/12/2014,ITT,N/A
5000005910,Restorative Justice Panels,Adults and Communities,"victim support panels- £72,800 paid from Councils Budget and remainder from the Mayors Office for Polciing and crime",Victim Support,"£90,150.00",01/10/2013,31/10/2015,,31/01/2015,ITT,N/A
700408,Shelter Accom Home Care,Adults and Communities,Previously Enara. - homecare,Mihome Care (was enara),"£140,000.00",01/10/2013,31/10/2015,,31/01/2015,ITT,N/A
5000005892,Shelter Accom Home Care,Adults and Communities,Shelter Accom Home Care,Mihome Care (was enara),"£140,000.00",01/10/2013,31/10/2015,,31/01/2015,ITT,N/A
5000004866,Home Care Service Contract,Children's Service,Home Care Service Contract,Norwood,"£600,000.00",01/10/2013,30/09/2016,,30/12/2015,Quote,N/A
