Organisation Name,Effective Date,Service,Supplier Name,Payment Date,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,02/02/2015,ECONOMY AND ENVIRONMENT,AVANTI GAS LTD,02/02/2015,3803.44,OIL,V000871196
ROCHDALE BOROUGH COUNCIL,19/02/2015,EARLY HELP AND SCHOOLS,BEECH HOUSE SCHOOL LTD,19/02/2015,4137,OTHER LA`S - SEN PROVISION,V000871197
ROCHDALE BOROUGH COUNCIL,19/02/2015,EARLY HELP AND SCHOOLS,BEECH HOUSE SCHOOL LTD,19/02/2015,2104.2,OTHER LA`S - SEN PROVISION,V000871198
ROCHDALE BOROUGH COUNCIL,16/02/2015,EARLY HELP AND SCHOOLS,BOLTON M B C,16/02/2015,1631.85,TRAVELLING GENERAL EXPENSES,V000871199
ROCHDALE BOROUGH COUNCIL,03/02/2015,LEARNING DIS & MENTAL HEALTH,QUICKHEARTLIMITED,03/02/2015,1200,IT MAINTENENANCE,V000871205
ROCHDALE BOROUGH COUNCIL,09/02/2015,EARLY HELP AND SCHOOLS,CLARENCE HIGH SCHOOL,09/02/2015,20140,OTHER LA`S - SEN PROVISION,V000871206
ROCHDALE BOROUGH COUNCIL,20/02/2015,EARLY HELP AND SCHOOLS,SEEROS PRIVATE DAY NURSERY,20/02/2015,1278,SEN COSTS MET BY SCHOOLS,V000871210
ROCHDALE BOROUGH COUNCIL,23/02/2015,EARLY HELP AND SCHOOLS,CATHOLIC BLIND INSTITUTE,23/02/2015,4042.8,OTHER LA`S - SEN PROVISION,V000871212
ROCHDALE BOROUGH COUNCIL,06/02/2015,FINANCE SERVICES,BREEZE LIMITED,06/02/2015,5433.16,PRINTING & STATIONERY,V000871225
ROCHDALE BOROUGH COUNCIL,03/02/2015,FINANCE SERVICES,NORTHGATE INFORMATION SOLUTIONS UK LTD,03/02/2015,1900,SOFTWARE,V000871226
ROCHDALE BOROUGH COUNCIL,27/02/2015,PHYSICAL DIS & OLDER PEOPLE,PENNINE CARE NHS,27/02/2015,1666,SERVICE LEVEL AGREEMENTS,V000871228
ROCHDALE BOROUGH COUNCIL,05/02/2015,CUSTOMERS & CORPORATE SERVICES,ROCHDALE OCCUPATIONAL HEALTH SERVICE LTD,05/02/2015,1350,TRAINING-NON QUALIFICATION,V000871238
ROCHDALE BOROUGH COUNCIL,02/02/2015,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02/02/2015,18000,ADOPTION PAYMENTS,V000871244
ROCHDALE BOROUGH COUNCIL,06/02/2015,EARLY HELP AND SCHOOLS,LIBERATOR LIMITED,06/02/2015,2005,EQUIPMENT - GENERAL,V000871248
ROCHDALE BOROUGH COUNCIL,05/02/2015,PROPERTY AND HIGHWAYS,TOMAX BUILDING SERVICES LTD,05/02/2015,2647.1,TRANSACTIONS-EXPENDITURE,V000871276
ROCHDALE BOROUGH COUNCIL,05/02/2015,ECONOMY AND ENVIRONMENT,TOMAX BUILDING SERVICES LTD,05/02/2015,13235.5,IMPROVEMENTS-MODERNISATION,V000871276
ROCHDALE BOROUGH COUNCIL,12/02/2015,ECONOMY AND ENVIRONMENT,ROCHDALE TRAINING ASSOCIATION LIMITED,12/02/2015,1550,PROJECT & ACTIVITIES,V000871300
ROCHDALE BOROUGH COUNCIL,24/02/2015,ECONOMY AND ENVIRONMENT,JMHA,24/02/2015,8283.4,IMPROVEMENTS-MODERNISATION,V000871303
ROCHDALE BOROUGH COUNCIL,24/02/2015,ECONOMY AND ENVIRONMENT,JMHA,24/02/2015,4423.4,IMPROVEMENTS-MODERNISATION,V000871304
ROCHDALE BOROUGH COUNCIL,24/02/2015,ECONOMY AND ENVIRONMENT,JMHA,24/02/2015,8449.4,IMPROVEMENTS-MODERNISATION,V000871305
ROCHDALE BOROUGH COUNCIL,23/02/2015,EARLY HELP AND SCHOOLS,CATHOLIC BLIND INSTITUTE,23/02/2015,2021.4,OTHER LA`S - SEN PROVISION,V000871310
ROCHDALE BOROUGH COUNCIL,26/02/2015,EARLY HELP AND SCHOOLS,ROCHDALE TRAINING ASSOCIATION LIMITED,26/02/2015,650,TRAINING-QUALIFICATION,V000871330
ROCHDALE BOROUGH COUNCIL,13/02/2015,PROPERTY AND HIGHWAYS,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,529.97,GAS,V000871349
ROCHDALE BOROUGH COUNCIL,13/02/2015,PROPERTY AND HIGHWAYS,CORONA ENERGY RETAIL 4 LIMITED,13/02/2015,657.8,GAS,V000871355
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,POWER PERFECTOR PLC,02/02/2015,7025.4,ENGINEERS (IMPACT ONLY) FEES,V000871366
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LIMITED,02/02/2015,1420.36,PRINTING,V000871379
ROCHDALE BOROUGH COUNCIL,12/02/2015,ECONOMY AND ENVIRONMENT,OLDHAM & ROCHDALE GROUNDWORK TRUST LTD,12/02/2015,-1916.5,ACTIVITIES,V000871383
ROCHDALE BOROUGH COUNCIL,03/02/2015,EARLY HELP AND SCHOOLS,POWER PERFECTOR PLC,03/02/2015,6113.31,ENGINEERS (IMPACT ONLY) FEES,V000871392
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,POWER PERFECTOR PLC,02/02/2015,3645.29,ENGINEERS (IMPACT ONLY) FEES,V000871393
ROCHDALE BOROUGH COUNCIL,19/02/2015,EARLY HELP AND SCHOOLS,POWER PERFECTOR PLC,19/02/2015,19500,ENGINEERS (IMPACT ONLY) FEES,V000871394
ROCHDALE BOROUGH COUNCIL,19/02/2015,EARLY HELP AND SCHOOLS,POWER PERFECTOR PLC,19/02/2015,6728.33,ENGINEERS (IMPACT ONLY) FEES,V000871395
ROCHDALE BOROUGH COUNCIL,10/02/2015,PHYSICAL DIS & OLDER PEOPLE,JUST CHECKING LTD,10/02/2015,2510,EQUIPMENT - GENERAL,V000871413
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,BOLTON MARSHALL,03/02/2015,850,SURVEYORS FEES,V000871414
ROCHDALE BOROUGH COUNCIL,26/02/2015,ECONOMY AND ENVIRONMENT,ROCHDALE DEVELOPMENT AGENCY UFR ACC,26/02/2015,2000,PROJECT & ACTIVITIES,V000871433
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,CROWN OIL LIMITED,03/02/2015,890,TRANSACTIONS-EXPENDITURE,V000871436
ROCHDALE BOROUGH COUNCIL,04/02/2015,EARLY HELP AND SCHOOLS,INSPIREDSPACES ROCHDALE LTD,04/02/2015,114215.02,IMPROVEMENTS-MODERNISATION,V000871445
ROCHDALE BOROUGH COUNCIL,25/02/2015,ECONOMY AND ENVIRONMENT,BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,25/02/2015,649.2,TRAINING-QUALIFICATION,V000871483
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,COSY TOES CHILDCARE LIMITED,03/02/2015,805,TRAINING-QUALIFICATION,V000871486
ROCHDALE BOROUGH COUNCIL,06/02/2015,ECONOMY AND ENVIRONMENT,D AND M DEMOLITION AND RECYCLING LTD,06/02/2015,3050,REMOVAL/STRIP OUT COSTS,V000871487
ROCHDALE BOROUGH COUNCIL,06/02/2015,ECONOMY AND ENVIRONMENT,F S MOULT & SON,06/02/2015,2400,FLOORWORKS,V000871489
ROCHDALE BOROUGH COUNCIL,06/02/2015,ECONOMY AND ENVIRONMENT,HEYWOOD HANDYMAN,06/02/2015,1040,REMOVAL/STRIP OUT COSTS,V000871490
ROCHDALE BOROUGH COUNCIL,10/02/2015,PHYSICAL DIS & OLDER PEOPLE,MANCHESTER WORKING LIMITED,10/02/2015,14337,MAINTENANCE STAIRLIFTS,V000871491
ROCHDALE BOROUGH COUNCIL,06/02/2015,PUBLIC HEALTH,NHS GREATER MANCHESTER CSU,06/02/2015,3806.72,PROFESSIONAL FEES,V000871492
ROCHDALE BOROUGH COUNCIL,10/02/2015,ECONOMY AND ENVIRONMENT,NO GRAFFITI LTD,10/02/2015,800,REPAIRS & ALTS OF BUILDINGS,V000871493
ROCHDALE BOROUGH COUNCIL,06/02/2015,ECONOMY AND ENVIRONMENT,OAH LAW LIMITED,06/02/2015,5245.1,EQUIPMENT - GENERAL,V000871494
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,ROCHDALE DEVELOPMENT AGENCY,04/02/2015,29750,GRANTS TO OTHER BODIES,V000871502
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,ROCHDALE DEVELOPMENT AGENCY,04/02/2015,18750,CAPITAL BUDGET ALLOCATION,V000871503
ROCHDALE BOROUGH COUNCIL,20/02/2015,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,20/02/2015,516.32,PRINTING,V000871520
ROCHDALE BOROUGH COUNCIL,11/02/2015,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,11/02/2015,1196.91,PRINTING & STATIONERY,V000871539
ROCHDALE BOROUGH COUNCIL,04/02/2015,EARLY HELP AND SCHOOLS,THE AWARDS SCHEME LTD,04/02/2015,812.5,PROJECT & ACTIVITIES,V000871557
ROCHDALE BOROUGH COUNCIL,12/02/2015,EARLY HELP AND SCHOOLS,KEYS CHILDCARE,12/02/2015,-2880,OTHER LA`S - SEN PROVISION,V000871560
ROCHDALE BOROUGH COUNCIL,03/02/2015,FINANCE SERVICES,NORTHGATE INFORMATION SOLUTIONS UK LTD,03/02/2015,3120,SOFTWARE,V000871563
ROCHDALE BOROUGH COUNCIL,06/02/2015,PUBLIC HEALTH,REACH TRAINING UK LTD,06/02/2015,540,TRAINING,V000871565
ROCHDALE BOROUGH COUNCIL,02/02/2015,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,02/02/2015,500,DIRECT PAYMENTS,V000871570
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,ADVANCED CHILDCARE LIMITED,03/02/2015,13285.67,EDB PLACEMENTS,V000871571
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,03/02/2015,630,FOSTER PARENTS BASIC ALLOWANCE,V000871574
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,03/02/2015,722,FOSTER PARENTS BASIC ALLOWANCE,V000871575
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,03/02/2015,685.9,FOSTER PARENTS BASIC ALLOWANCE,V000871576
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,03/02/2015,685.9,FOSTER PARENTS BASIC ALLOWANCE,V000871577
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,03/02/2015,780,FOSTER PARENTS BASIC ALLOWANCE,V000871578
ROCHDALE BOROUGH COUNCIL,04/02/2015,CHILDREN’S SOCIAL CARE,THE TOGETHER TRUST,04/02/2015,10181.02,EDB PLACEMENTS,V000871579
ROCHDALE BOROUGH COUNCIL,04/02/2015,CHILDREN’S SOCIAL CARE,THE TOGETHER TRUST,04/02/2015,10185.67,EDB PLACEMENTS,V000871581
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,WELCOME FOSTER CARE,03/02/2015,10369.71,FOSTER PARENTS BASIC ALLOWANCE,V000871582
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,WELCOME FOSTER CARE,03/02/2015,4805,FOSTER PARENTS BASIC ALLOWANCE,V000871583
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,WELCOME FOSTER CARE,03/02/2015,4805,FOSTER PARENTS BASIC ALLOWANCE,V000871584
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,03/02/2015,6800,EDB PLACEMENTS,V000871585
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,03/02/2015,10400,EDB PLACEMENTS,V000871586
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,F NEEDHAM,03/02/2015,676.76,CLEANING EQUIPMENT,V000871593
ROCHDALE BOROUGH COUNCIL,06/02/2015,ECONOMY AND ENVIRONMENT,BETTAPRINT GARMENT DECORATIONS LIMITED,06/02/2015,1648.4,"CLOTHES, UNIFORM AND LAUNDRY",V000871625
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LIMITED,02/02/2015,1568.29,PRINTING,V000871632
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LIMITED,02/02/2015,1767.39,PRINTING,V000871633
ROCHDALE BOROUGH COUNCIL,02/02/2015,CUSTOMERS & CORPORATE SERVICES,JONATHAN EASTON,02/02/2015,990,PROFESSIONAL FEES,V000871635
ROCHDALE BOROUGH COUNCIL,02/02/2015,PROPERTY AND HIGHWAYS,GROUNDWORK LANDSCAPES LIMITED,02/02/2015,8961.94,TRANSACTIONS-EXPENDITURE,V000871638
ROCHDALE BOROUGH COUNCIL,02/02/2015,ECONOMY AND ENVIRONMENT,GROUNDWORK LANDSCAPES LIMITED,02/02/2015,44809.72,IMPROVEMENTS-MODERNISATION,V000871638
ROCHDALE BOROUGH COUNCIL,06/02/2015,CHILDREN’S SOCIAL CARE,FOSTER CARES LTD,06/02/2015,800,FOSTER PARENTS BASIC ALLOWANCE,V000871639
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,03/02/2015,874,FOSTER PARENTS BASIC ALLOWANCE,V000871641
ROCHDALE BOROUGH COUNCIL,06/02/2015,CHILDREN’S SOCIAL CARE,CLASSIC FOSTER CARE LIMITED,06/02/2015,1539,FOSTER PARENTS BASIC ALLOWANCE,V000871642
ROCHDALE BOROUGH COUNCIL,06/02/2015,CHILDREN’S SOCIAL CARE,CLASSIC FOSTER CARE LIMITED,06/02/2015,3020,FOSTER PARENTS BASIC ALLOWANCE,V000871643
ROCHDALE BOROUGH COUNCIL,06/02/2015,CHILDREN’S SOCIAL CARE,CLASSIC FOSTER CARE LIMITED,06/02/2015,1520,FOSTER PARENTS BASIC ALLOWANCE,V000871644
ROCHDALE BOROUGH COUNCIL,12/02/2015,PHYSICAL DIS & OLDER PEOPLE,ARCO GROUP LIMITED,12/02/2015,1829.1,"CLOTHES, UNIFORM AND LAUNDRY",V000871645
ROCHDALE BOROUGH COUNCIL,06/02/2015,CHILDREN’S SOCIAL CARE,FOSTER CARES LTD,06/02/2015,1300,FOSTER PARENTS BASIC ALLOWANCE,V000871646
ROCHDALE BOROUGH COUNCIL,06/02/2015,CHILDREN’S SOCIAL CARE,FOSTER CARES LTD,06/02/2015,800,FOSTER PARENTS BASIC ALLOWANCE,V000871647
ROCHDALE BOROUGH COUNCIL,05/02/2015,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,05/02/2015,12400,EDB PLACEMENTS,V000871648
ROCHDALE BOROUGH COUNCIL,10/02/2015,PROPERTY AND HIGHWAYS,GREEN ZONE SURVEYS UK LTD,10/02/2015,960,PROPERTY - WORKS ELEMENT,V000871653
ROCHDALE BOROUGH COUNCIL,02/02/2015,ECONOMY AND ENVIRONMENT,LAE VEHICLE RENTAL LTD,02/02/2015,662.8,TRANSACTIONS-EXPENDITURE,V000871660
ROCHDALE BOROUGH COUNCIL,05/02/2015,PHYSICAL DIS & OLDER PEOPLE,TUNSTALL HEALTHCARE (UK) LTD,05/02/2015,1090,EQUIPMENT - GENERAL,V000871662
ROCHDALE BOROUGH COUNCIL,27/02/2015,CHILDREN’S SOCIAL CARE,BEDSPACE RESOURCE,27/02/2015,1250,EDB PLACEMENTS,V000871667
ROCHDALE BOROUGH COUNCIL,06/02/2015,CHILDREN’S SOCIAL CARE,STEP AHEAD,06/02/2015,850,EDB PLACEMENTS,V000871670
ROCHDALE BOROUGH COUNCIL,06/02/2015,CHILDREN’S SOCIAL CARE,STEP AHEAD,06/02/2015,850,EDB PLACEMENTS,V000871671
ROCHDALE BOROUGH COUNCIL,06/02/2015,PHYSICAL DIS & OLDER PEOPLE,BROADWAY BUILDING CONTRACTORS OLDHAM LTD,06/02/2015,5805,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V000871678
ROCHDALE BOROUGH COUNCIL,02/02/2015,CHILDREN’S SOCIAL CARE,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,02/02/2015,3606.92,AGENCY STAFF,V000871683
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,INSPIREDSPACES ROCHDALE LTD,02/02/2015,5028.3,PURCHASE OF ICT HARDWARE,V000871694
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,INSPIREDSPACES ROCHDALE LTD,02/02/2015,7868.42,PURCHASE OF ICT HARDWARE,V000871698
ROCHDALE BOROUGH COUNCIL,02/02/2015,EARLY HELP AND SCHOOLS,INSPIREDSPACES ROCHDALE LTD,02/02/2015,4155.36,PURCHASE OF ICT HARDWARE,V000871699
ROCHDALE BOROUGH COUNCIL,02/02/2015,CHILDREN’S SOCIAL CARE,1 CLICK MOVE PROPERTY MANAGEMENT,02/02/2015,750,ALLOWANCES,V000871706
ROCHDALE BOROUGH COUNCIL,10/02/2015,ECONOMY AND ENVIRONMENT,STRAIGHT PLC,10/02/2015,5822.28,PURCHASE OF OTHER EQUIPMENT,V000871707
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,RIVERSIDE TRUCK RENTAL,03/02/2015,3875,TRANSACTIONS-EXPENDITURE,V000871708
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,E MARLAND CHILDRENS RESPITE CARE LIMITED,03/02/2015,1792,DISABILITY PLACEMENTS,V000871720
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,E MARLAND CHILDRENS RESPITE CARE LIMITED,03/02/2015,1792,DISABILITY PLACEMENTS,V000871721
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,E MARLAND CHILDRENS RESPITE CARE LIMITED,03/02/2015,1792,DISABILITY PLACEMENTS,V000871722
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,E MARLAND CHILDRENS RESPITE CARE LIMITED,03/02/2015,1792,DISABILITY PLACEMENTS,V000871724
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,E MARLAND CHILDRENS RESPITE CARE LIMITED,03/02/2015,1792,DISABILITY PLACEMENTS,V000871725
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,E MARLAND CHILDRENS RESPITE CARE LIMITED,03/02/2015,1792,DISABILITY PLACEMENTS,V000871726
ROCHDALE BOROUGH COUNCIL,06/02/2015,ECONOMY AND ENVIRONMENT,REDACTED - PERSONAL DATA,06/02/2015,1434,TAXI HIRE,V000871733
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,REDACTED - PERSONAL DATA,03/02/2015,2006.5,TAXI HIRE,V000871734
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,REDACTED - PERSONAL DATA,03/02/2015,960,TAXI HIRE,V000871736
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,REDACTED - PERSONAL DATA,03/02/2015,500,TAXI HIRE,V000871741
ROCHDALE BOROUGH COUNCIL,06/02/2015,FINANCE SERVICES,REDACTED - PERSONAL DATA,06/02/2015,599.06,TRANSACTIONS-EXPENDITURE,V000871767
ROCHDALE BOROUGH COUNCIL,06/02/2015,FINANCE SERVICES,REDACTED - PERSONAL DATA,06/02/2015,774.3,TRANSACTIONS-EXPENDITURE,V000871788
ROCHDALE BOROUGH COUNCIL,12/02/2015,CHILDREN’S SOCIAL CARE,EC SAFEGUARDING CONSULTANCY LTD,12/02/2015,4767.5,AGENCY STAFF,V000871796
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,PROFESSIONAL PATHWAYS LIMITED,13/02/2015,600,TRAINING,V000871797
ROCHDALE BOROUGH COUNCIL,12/02/2015,CHILDREN’S SOCIAL CARE,SWP CONSULTING,12/02/2015,1725,AGENCY STAFF,V000871798
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,MISS LORRAINE CAVANAGH,03/02/2015,720,PROFESSIONAL FEES,V000871804
ROCHDALE BOROUGH COUNCIL,03/02/2015,CHILDREN’S SOCIAL CARE,MISS SONIA GAL,03/02/2015,720,PROFESSIONAL FEES,V000871805
ROCHDALE BOROUGH COUNCIL,25/02/2015,CHILDREN’S SOCIAL CARE,TAMESIDE METROPOLITAN BOROUGH COUNCIL,25/02/2015,1937,FEES / COMMISSION,V000871812
ROCHDALE BOROUGH COUNCIL,03/02/2015,PROPERTY AND HIGHWAYS,J C MILLS & SON LIMITED,03/02/2015,1797.26,TRANSACTIONS-EXPENDITURE,V000871814
ROCHDALE BOROUGH COUNCIL,03/02/2015,PROPERTY AND HIGHWAYS,J C MILLS & SON LIMITED,03/02/2015,8986.32,IMPROVEMENTS-MODERNISATION,V000871814
ROCHDALE BOROUGH COUNCIL,06/02/2015,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,06/02/2015,828.47,ROADWORKS,V000871822
ROCHDALE BOROUGH COUNCIL,06/02/2015,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,06/02/2015,540,ROADWORKS,V000871824
ROCHDALE BOROUGH COUNCIL,26/02/2015,CUSTOMERS & CORPORATE SERVICES,BURY MBC,26/02/2015,9600,PROJECT & ACTIVITIES,V000871833
ROCHDALE BOROUGH COUNCIL,03/02/2015,EARLY HELP AND SCHOOLS,J C MILLS & SON LIMITED,03/02/2015,1610.48,IMPROVEMENTS-MODERNISATION,V000871848
ROCHDALE BOROUGH COUNCIL,10/02/2015,ECONOMY AND ENVIRONMENT,EMO OIL LIMITED,10/02/2015,26438.12,TRANSACTIONS-EXPENDITURE,V000871851
ROCHDALE BOROUGH COUNCIL,03/02/2015,PUBLIC HEALTH,THE LIFE CHANNEL GROUP LIMITED,03/02/2015,1891.78,PROJECT & ACTIVITIES,V000871865
ROCHDALE BOROUGH COUNCIL,03/02/2015,PHYSICAL DIS & OLDER PEOPLE,HIGH BARN CONSTRUCTION LIMITED,03/02/2015,7890,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V000871867
ROCHDALE BOROUGH COUNCIL,03/02/2015,PHYSICAL DIS & OLDER PEOPLE,TERRY GROUP LTD,03/02/2015,7300,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V000871872
ROCHDALE BOROUGH COUNCIL,06/02/2015,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,06/02/2015,674.35,SHORT TERM CARE - RESIDENTIAL,V000871873
ROCHDALE BOROUGH COUNCIL,03/02/2015,PHYSICAL DIS & OLDER PEOPLE,BROADWAY BUILDING CONTRACTORS OLDHAM LTD,03/02/2015,3597.99,TRANSACTIONS-EXPENDITURE,V000871874
ROCHDALE BOROUGH COUNCIL,05/02/2015,FINANCE SERVICES,GRANT THORNTON UK LLP,05/02/2015,1470,FEES / COMMISSION,V000871875
ROCHDALE BOROUGH COUNCIL,09/02/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,09/02/2015,2360.22,SHORT TERM CARE - RESIDENTIAL,V000871876
ROCHDALE BOROUGH COUNCIL,06/02/2015,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,06/02/2015,1573.48,SHORT TERM CARE - RESIDENTIAL,V000871877
ROCHDALE BOROUGH COUNCIL,03/02/2015,PHYSICAL DIS & OLDER PEOPLE,HIGH BARN CONSTRUCTION LIMITED,03/02/2015,15705,TRANSACTIONS-EXPENDITURE,V000871878
ROCHDALE BOROUGH COUNCIL,03/02/2015,PHYSICAL DIS & OLDER PEOPLE,MICK TAYLOR LIMITED,03/02/2015,3925,TRANSACTIONS-EXPENDITURE,V000871879
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,THE BACK DOOR MUSIC PROJECT,03/02/2015,8000,PROJECT & ACTIVITIES,V000871880
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,THE BACK DOOR MUSIC PROJECT,03/02/2015,6424,PROJECT & ACTIVITIES,V000871883
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,TREE HEROES LTD,03/02/2015,900,ENVIRONMENTAL IMPROVEMENT SCHEMES - ENV,V000871884
ROCHDALE BOROUGH COUNCIL,03/02/2015,CUSTOMERS & CORPORATE SERVICES,DAC BEACHCROFT LLP,03/02/2015,1426,PROFESSIONAL FEES,V000871888
ROCHDALE BOROUGH COUNCIL,03/02/2015,CUSTOMERS & CORPORATE SERVICES,DAC BEACHCROFT LLP,03/02/2015,4984,PROFESSIONAL FEES,V000871889
ROCHDALE BOROUGH COUNCIL,03/02/2015,CUSTOMERS & CORPORATE SERVICES,DAC BEACHCROFT LLP,03/02/2015,898,PROFESSIONAL FEES,V000871890
ROCHDALE BOROUGH COUNCIL,03/02/2015,ECONOMY AND ENVIRONMENT,THE BACK DOOR MUSIC PROJECT,03/02/2015,15822,PROJECT & ACTIVITIES,V000871894
ROCHDALE BOROUGH COUNCIL,12/02/2015,ECONOMY AND ENVIRONMENT,GO PLANT LIMITED,12/02/2015,4496.5,TRANSACTIONS-EXPENDITURE,V000871896
ROCHDALE BOROUGH COUNCIL,12/02/2015,ECONOMY AND ENVIRONMENT,GO PLANT LIMITED,12/02/2015,500,TRANSACTIONS-EXPENDITURE,V000871899
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,REDACTED - PERSONAL DATA,04/02/2015,1816.4,TAXI HIRE,V000871904
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,REDACTED - PERSONAL DATA,04/02/2015,2232.5,TAXI HIRE,V000871905
ROCHDALE BOROUGH COUNCIL,04/02/2015,ECONOMY AND ENVIRONMENT,REDACTED - PERSONAL DATA,04/02/2015,1895.25,TAXI HIRE,V000871906
ROCHDALE BOROUGH COUNCIL,12/02/2015,ECONOMY AND ENVIRONMENT,REDACTED - PERSONAL DATA,12/02/2015,950,TAXI HIRE,V000871907
ROCHDALE BOROUGH COUNCIL,12/02/2015,ECONOMY AND ENVIRONMENT,REDACTED - PERSONAL DATA,12/02/2015,1330,TAXI HIRE,V000871908
ROCHDALE BOROUGH COUNCIL,09/02/2015,ECONOMY AND ENVIRONMENT,REDACTED - PERSONAL DATA,09/02/2015,1710,TAXI HIRE,V000871909
ROCHDALE BOROUGH COUNCIL,09/02/2015,ECONOMY AND ENVIRONMENT,REDACTED - PERSONAL DATA,09/02/2015,1710,TAXI HIRE,V000871910
